Group,Serum TNFα,Lung TNFα,Ileum TNFα,Serum IL17A,Lung IL17A,Ileum IL17A,Serum IL10,Lung IL10,Ileum IL10,Serum IL6,Lung IL6,Ileum IL6,Serum IL1β,Lung IL1β,Ileum IL1β,Lung Bacterial Load (log10 CFU),Lung Pathology Score,MLN_treg_CD25+FOXP3+(%),MLN_TH17_CD8-IL-17A+(%),Lung treg_CD25+FOXP3+(%),Lung TH17_CD8-IL-17A+(%)
Control,1.98462328,361.6144007,2.33998432,57.5607571,2740.902842,36.6713291,1.19275424,213.431065,2.47350464,1.45783491,190.476216,2.61698739,94.34310306,3064.459544,2.253595441,0.301029996,0.0,3.52%,4.13%,4.25%,10.48%
Control,2.00664232,244.2919295,2.332263,48.4570651,2549.421012,206.3341411,1.24268736,124.4790135,1.526666,1.12702331,98.69606691,1.99669731,194.6048095,2224.254547,2.791755348,4.146128036,0.0,4.65%,3.76%,1.73%,7.31%
Control,1.97922612,378.5313965,2.54700532,43.1036275,2800.121865,38.1225136,1.01016194,237.6460815,1.8685685,0.73611875,208.4007802,2.79193404,245.6982511,2835.351978,2.358814337,4.225309282,0.0,3.73%,13.51%,4.61%,7.37%
Control,1.947747,,4.44645508,44.8790419,,126.55276,0.95093184,,2.03993666,0.898191,,5.47706019,103.9446509,,2.594485423,,0.0,5.15%,13.90%,3.06%,5.01%
Control,1.973872,,2.411413,47.55916,,28.9437104,1.07020904,,1.95366434,1.25879619,,2.27054259,230.2572833,,40.64765431,,0.0,5.58%,3.72%,5.23%,11.44%
Control,2.01225468,289.743375,23.89698628,44.8790419,2840.34475,241.35419,0.89251874,155.9606765,11.371944,1.62496496,136.8354148,16.13096499,296.2766249,2424.634824,230.976967,3.954242509,5.0,,,4.00%,10.42%
Model,1.95806788,179.2598509,239.402992,141.12844,1547.564829,1848.577789,0.89251874,81.259754,116.1925702,3.53926251,74.97971696,107.9055005,700.1335919,2861.103041,18.76760532,6.866877814,21.0,1.09%,47.41%,4.78%,25.33%
Model,1.82526528,179.2598509,82.79480728,92.8798211,1707.451597,769.0991275,0.77814354,96.91311464,45.50130344,2.30498016,76.04763104,38.16012459,1055.736504,2927.175572,686.390134,6.662757832,13.0,2.73%,32.62%,2.59%,17.54%
Model,1.89405952,164.850298,240.2621303,82.9451891,1569.695925,1273.05893,0.82350146,82.21669986,112.7154374,2.16750576,58.31505884,108.2188958,782.3836506,2757.09513,327.7103686,6.892094603,21.0,2.69%,72.56%,5.18%,23.83%
Model,1.85828512,182.6140771,233.715,82.6179376,1436.41936,1743.21475,0.81211296,85.79788194,110.9108743,3.07423964,72.68861724,134.8625296,1866.432033,2520.09114,3148.445631,7.108565024,16.0,3.93%,54.65%,2.86%,20.11%
Model,2.04096208,209.5059395,181.865982,67.5211475,1631.304285,936.3681931,0.91578594,95.55672306,17.68072296,4.45537776,75.51284636,81.21064259,2247.82412,3116.772127,2951.453678,6.579783597,14.0,3.57%,48.10%,3.36%,34.28%
Model,1.86260628,,55.42718068,94.8939419,,684.3969664,0.85786304,,23.91672306,2.96803019,,24.36943664,826.2912405,,2879.022412,,20.0,8.14%,50.61%,3.34%,13.13%
LVX,1.84143088,221.5813919,3.085975,45.1758256,2456.158188,71.9598979,0.82350146,120.4341498,2.59794624,0.86568459,93.93665475,4.56724275,127.7747191,3095.775742,2.046586652,4.565847819,19.0,4.24%,44.11%,4.85%,9.38%
