"Analysis","Variable","Group","N","Mean","SD","SEM","Median","Median_CI_low","Median_CI_high","Q1","Q3","Min","Max"
"01_cytokine","Ileum IL10","Control",6,3.53904735666667,3.84943116919395,1.57152369408174,1.9968005,1.69761725,6.92272432,1.88984246,2.365112645,1.526666,11.371944
"01_cytokine","Ileum IL10","Model",6,71.15293856,47.0855550305246,19.2225973467538,78.20608887,20.79872301,114.4540038,29.312868155,112.264296625,17.68072296,116.1925702
"01_cytokine","Ileum IL10","LVX",6,25.8544733033333,50.6167763364044,20.6642124081288,2.01626985,1.34438368,74.20276638,1.405366365,15.92506728,1.29314336,128.0380918
"01_cytokine","Ileum IL10","HQQD-L",6,6.45590234,7.65814233802476,3.12642351762754,1.68232349,1.38310804,16.30227549,1.48073594,11.874951065,1.31856744,17.36616594
"01_cytokine","Ileum IL10","HQQD-M",6,5.90228334333333,7.65504899796054,3.1251606668345,1.65510201,1.50026152,14.5514865,1.53331614,6.96273402,1.47385704,20.40497346
"01_cytokine","Ileum IL10","HQQD-H",6,12.9858887866667,27.5707952819592,11.255730040589,1.64765938,1.31269345,35.99731353,1.43537778,2.48080886,1.24268736,69.254184
"01_cytokine","Ileum IL17A","Control",6,112.9964407,93.6673913433042,38.2395523881136,82.3376368,32.80751975,223.84416555,37.034125225,186.388795825,28.9437104,241.35419
"01_cytokine","Ileum IL17A","Model",6,1209.11929266667,498.316732821634,203.436954283969,1104.71356155,726.74804695,1795.8962695,810.9163939,1625.675795,684.3969664,1848.577789
"01_cytokine","Ileum IL17A","LVX",6,532.002006483333,712.882466262554,291.03304815335,270.52162315,42.13837275,1283.34602355,61.391061775,631.048929925,26.4086291,1881.65459
"01_cytokine","Ileum IL17A","HQQD-L",6,181.669124216667,173.564645436836,70.857469784555,147.60870055,31.93844575,365.46022635,35.300446675,281.6312221,29.2266451,441.4009411
"01_cytokine","Ileum IL17A","HQQD-M",6,269.20903875,227.988565972218,93.0759423034655,236.11222555,50.49871375,521.01617695,71.347978075,451.075088125,42.5138371,561.3600064
"01_cytokine","Ileum IL17A","HQQD-H",6,231.194913066667,382.974176184766,156.348552719237,63.31791175,45.7984759,584.46835155,52.315653025,137.8343911,41.3372779,1007.874926
"01_cytokine","Ileum IL1β","Control",6,46.9372119765,91.4430400048952,37.3314647568171,2.6931203855,2.306204889,135.812310655,2.4177321085,31.1836795695,2.253595441,230.976967
