"Analysis","Variable","Group","N","Shapiro_P"
"01_cytokine","Serum TNFα","Control",6,0.749271227041117
"01_cytokine","Serum TNFα","Model",6,0.402820082888991
"01_cytokine","Serum TNFα","LVX",6,0.195689993508312
"01_cytokine","Serum TNFα","HQQD-L",6,0.210973058377657
"01_cytokine","Serum TNFα","HQQD-M",6,0.491146663140488
"01_cytokine","Serum TNFα","HQQD-H",6,0.836779208872579
"01_cytokine","Lung TNFα","Control",4,0.540573074337504
"01_cytokine","Lung TNFα","Model",5,0.29568704092372
"01_cytokine","Lung TNFα","LVX",6,0.0323836996631854
"01_cytokine","Lung TNFα","HQQD-L",6,0.0986729946039967
"01_cytokine","Lung TNFα","HQQD-M",5,0.426830659827522
"01_cytokine","Lung TNFα","HQQD-H",6,0.871960635008588
"01_cytokine","Ileum TNFα","Control",6,0.000147199006422485
"01_cytokine","Ileum TNFα","Model",6,0.0698937055606595
"01_cytokine","Ileum TNFα","LVX",6,0.00256069006495791
"01_cytokine","Ileum TNFα","HQQD-L",6,0.00230201610982259
"01_cytokine","Ileum TNFα","HQQD-M",6,0.000678301205269818
"01_cytokine","Ileum TNFα","HQQD-H",6,2.72173520023304e-05
"01_cytokine","Serum IL17A","Control",6,0.0940382488925669
"01_cytokine","Serum IL17A","Model",6,0.130708163003908
"01_cytokine","Serum IL17A","LVX",6,0.80468940326906
"01_cytokine","Serum IL17A","HQQD-L",6,0.145446670693082
"01_cytokine","Serum IL17A","HQQD-M",6,0.338790394549948
"01_cytokine","Serum IL17A","HQQD-H",6,0.980369387948589
"01_cytokine","Lung IL17A","Control",4,0.355721361455846
"01_cytokine","Lung IL17A","Model",5,0.971207944620069
"01_cytokine","Lung IL17A","LVX",6,0.808566195461497
"01_cytokine","Lung IL17A","HQQD-L",6,0.765780682298162
"01_cytokine","Lung IL17A","HQQD-M",5,0.494365251856195
"01_cytokine","Lung IL17A","HQQD-H",6,0.132227153985078
"01_cytokine","Ileum IL17A","Control",6,0.131313705874269
"01_cytokine","Ileum IL17A","Model",6,0.322601042630058
"01_cytokine","Ileum IL17A","LVX",6,0.0351583659159087
"01_cytokine","Ileum IL17A","HQQD-L",6,0.134392368905518
"01_cytokine","Ileum IL17A","HQQD-M",6,0.210352891738712
"01_cytokine","Ileum IL17A","HQQD-H",6,0.000278007311005535
"01_cytokine","Serum IL10","Control",6,0.752848785768436
"01_cytokine","Serum IL10","Model",6,0.888054401696076
"01_cytokine","Serum IL10","LVX",6,0.833481667456044
"01_cytokine","Serum IL10","HQQD-L",6,0.626847774380549
"01_cytokine","Serum IL10","HQQD-M",6,0.548064153330623
"01_cytokine","Serum IL10","HQQD-H",6,0.0969361074242562
"01_cytokine","Lung IL10","Control",4,0.687446326371921
"01_cytokine","Lung IL10","Model",5,0.179012784955399
"01_cytokine","Lung IL10","LVX",6,0.00848989945718821
"01_cytokine","Lung IL10","HQQD-L",6,0.653078594332529
"01_cytokine","Lung IL10","HQQD-M",5,0.72574023642163
"01_cytokine","Lung IL10","HQQD-H",6,0.855378064486979
"01_cytokine","Ileum IL10","Control",6,0.000205173050972453
"01_cytokine","Ileum IL10","Model",6,0.05611499058692
"01_cytokine","Ileum IL10","LVX",6,0.000344736686717896
"01_cytokine","Ileum IL10","HQQD-L",6,0.0046495798662179
"01_cytokine","Ileum IL10","HQQD-M",6,0.0046665336753754
"01_cytokine","Ileum IL10","HQQD-H",6,3.44288471208679e-05
"01_cytokine","Serum IL6","Control",6,0.938415384572163
"01_cytokine","Serum IL6","Model",6,0.663978456986586
