"Analysis","Variable","Endpoint_Type","Recommended_Test","Significant_pairwise_within_endpoint","group1","group2","comparison","estimate","statistic","p_raw","p_adjusted_within_endpoint","p_adjust_method"
"01_cytokine","Serum TNFα","continuous_cytokine","One-way ANOVA + Bonferroni vs Model",FALSE,"Control","Model","Control - Model",0.0775198733333333,2.28608611855216,0.0453143320126006,0.226571660063003,"Bonferroni"
"01_cytokine","Serum TNFα","continuous_cytokine","One-way ANOVA + Bonferroni vs Model",FALSE,"LVX","Model","LVX - Model",0.0639882466666666,1.90422769511328,0.0860204872150812,0.430102436075406,"Bonferroni"
"01_cytokine","Serum TNFα","continuous_cytokine","One-way ANOVA + Bonferroni vs Model",FALSE,"HQQD-L","Model","HQQD-L - Model",0.0750163799999999,2.2619347487014,0.0472130961798622,0.236065480899311,"Bonferroni"
"01_cytokine","Serum TNFα","continuous_cytokine","One-way ANOVA + Bonferroni vs Model",FALSE,"HQQD-M","Model","HQQD-M - Model",0.0586929666666667,1.78061500008894,0.105321740694694,0.526608703473472,"Bonferroni"
"01_cytokine","Serum TNFα","continuous_cytokine","One-way ANOVA + Bonferroni vs Model",FALSE,"HQQD-H","Model","HQQD-H - Model",0.0830202733333334,2.51306918409286,0.0307504425237779,0.153752212618889,"Bonferroni"
"01_cytokine","Lung TNFα","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"Control","Model","Control - Model",146.41903695,9,0.00269979606326019,0.00269979606326019,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Lung TNFα","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",FALSE,"LVX","Model","LVX - Model",27.83509655,2.39555555555556,0.121680515285648,0.121680515285648,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Lung TNFα","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",FALSE,"HQQD-L","Model","HQQD-L - Model",-10.4127786,0.0523809523809523,0.818970848901759,0.818970848901759,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Lung TNFα","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",FALSE,"HQQD-M","Model","HQQD-M - Model",-49.7154366,3.6,0.0577795711235975,0.0577795711235975,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Lung TNFα","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"HQQD-H","Model","HQQD-H - Model",-37.600905,4.41222222222222,0.0356823293433023,0.0356823293433023,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Ileum TNFα","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"Control","Model","Control - Model",-205.31128184,12,0.00053200550513925,0.00053200550513925,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Ileum TNFα","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"LVX","Model","LVX - Model",-205.04585134,5.33333333333333,0.0209213353377941,0.0209213353377941,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Ileum TNFα","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"HQQD-L","Model","HQQD-L - Model",-205.450313,5.33333333333333,0.0209213353377941,0.0209213353377941,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Ileum TNFα","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"HQQD-M","Model","HQQD-M - Model",-205.48833856,5.33333333333333,0.0209213353377941,0.0209213353377941,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Ileum TNFα","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"HQQD-H","Model","HQQD-H - Model",-205.4427208,5.33333333333333,0.0209213353377941,0.0209213353377941,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Serum IL17A","continuous_cytokine","One-way ANOVA + Bonferroni vs Model",TRUE,"Control","Model","Control - Model",-45.9246306166667,-4.37197822803752,0.00139477501836835,0.00697387509184177,"Bonferroni"
