"Analysis","Variable","Endpoint_Type","Recommended_Test","P_global","Normality_All_Groups","Min_N","Max_N","Plot_Type","Notes","P_global_adjust_method","Significant_global"
"01_cytokine","Serum TNFα","continuous_cytokine","One-way ANOVA + Bonferroni vs Model",4.47526464785261e-08,TRUE,6,6,"scatter plot with mean +/- SD","All group Shapiro p > 0.05; thesis-style parametric workflow","none; one global test per endpoint",TRUE
"01_cytokine","Lung TNFα","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",0.0134981263240632,FALSE,4,6,"scatter plot with median and 95% CI","Normality not established; thesis-style nonparametric workflow","none; one global test per endpoint",TRUE
"01_cytokine","Ileum TNFα","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",0.0241531343686754,FALSE,6,6,"scatter plot with median and 95% CI","Normality not established; thesis-style nonparametric workflow","none; one global test per endpoint",TRUE
"01_cytokine","Serum IL17A","continuous_cytokine","One-way ANOVA + Bonferroni vs Model",9.63033078370864e-07,TRUE,6,6,"scatter plot with mean +/- SD","All group Shapiro p > 0.05; thesis-style parametric workflow","none; one global test per endpoint",TRUE
"01_cytokine","Lung IL17A","continuous_cytokine","One-way ANOVA + Bonferroni vs Model",5.7107305101908e-05,TRUE,4,6,"scatter plot with mean +/- SD","All group Shapiro p > 0.05; thesis-style parametric workflow","none; one global test per endpoint",TRUE
"01_cytokine","Ileum IL17A","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",0.0152911285731564,FALSE,6,6,"scatter plot with median and 95% CI","Normality not established; thesis-style nonparametric workflow","none; one global test per endpoint",TRUE
"01_cytokine","Serum IL10","continuous_cytokine","One-way ANOVA + Bonferroni vs Model",0.162749611137645,TRUE,6,6,"scatter plot with mean +/- SD","All group Shapiro p > 0.05; thesis-style parametric workflow","none; one global test per endpoint",FALSE
"01_cytokine","Lung IL10","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",0.0237669644279777,FALSE,4,6,"scatter plot with median and 95% CI","Normality not established; thesis-style nonparametric workflow","none; one global test per endpoint",TRUE
"01_cytokine","Ileum IL10","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",0.0395937598539607,FALSE,6,6,"scatter plot with median and 95% CI","Normality not established; thesis-style nonparametric workflow","none; one global test per endpoint",TRUE
"01_cytokine","Serum IL6","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",0.00408162873676254,FALSE,6,6,"scatter plot with median and 95% CI","Normality not established; thesis-style nonparametric workflow","none; one global test per endpoint",TRUE
"01_cytokine","Lung IL6","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",0.0269698072118098,FALSE,4,6,"scatter plot with median and 95% CI","Normality not established; thesis-style nonparametric workflow","none; one global test per endpoint",TRUE
"01_cytokine","Ileum IL6","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",0.00896153156401965,FALSE,6,6,"scatter plot with median and 95% CI","Normality not established; thesis-style nonparametric workflow","none; one global test per endpoint",TRUE
"01_cytokine","Serum IL1β","continuous_cytokine","One-way ANOVA + Bonferroni vs Model",2.40894453529465e-06,TRUE,6,6,"scatter plot with mean +/- SD","All group Shapiro p > 0.05; thesis-style parametric workflow","none; one global test per endpoint",TRUE
"01_cytokine","Lung IL1β","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",0.405342414973655,FALSE,4,6,"scatter plot with median and 95% CI","Normality not established; thesis-style nonparametric workflow","none; one global test per endpoint",FALSE
"01_cytokine","Ileum IL1β","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",0.0324189758103735,FALSE,6,6,"scatter plot with median and 95% CI","Normality not established; thesis-style nonparametric workflow","none; one global test per endpoint",TRUE
