"Analysis","Variable","Group","N","Mean","SD","SEM","Median","Median_CI_low","Median_CI_high","Q1","Q3","Min","Max"
"02_lung_pathology","Lung Bacterial Load (log10 CFU)","Control",4,3.15667745575,1.90716358845396,0.953581794226981,4.0501852725,0.301029996,4.225309282,3.04093938075,4.1659233475,0.301029996,4.225309282
"02_lung_pathology","Lung Bacterial Load (log10 CFU)","Model",5,6.822015774,0.208010599036906,0.0930251678973949,6.866877814,6.579783597,7.108565024,6.662757832,6.892094603,6.579783597,7.108565024
"02_lung_pathology","Lung Bacterial Load (log10 CFU)","LVX",6,4.17245646566667,0.645479047252271,0.263515717570983,4.3512152685,3.5481072925,4.618046836,4.2201009475,4.5247359995,2.903089987,4.670245853
"02_lung_pathology","Lung Bacterial Load (log10 CFU)","HQQD-L",5,3.9710798476,1.52460286594223,0.681823129387566,4.459392488,1.301029996,5.076276255,4.255272505,4.763427994,1.301029996,5.076276255
"02_lung_pathology","Lung Bacterial Load (log10 CFU)","HQQD-M",5,6.9543697422,0.524513622273575,0.234569622905672,6.907411361,6.225309282,7.681241237,6.84260924,7.115277591,6.225309282,7.681241237
"02_lung_pathology","Lung Bacterial Load (log10 CFU)","HQQD-H",5,6.6885217656,0.373298180139287,0.166944021333682,6.709269961,6.133538908,7.158362492,6.606381365,6.835056102,6.133538908,7.158362492
"02_lung_pathology","Lung Pathology Score","Control",6,0.833333333333333,2.04124145231932,0.833333333333333,0,0,2.5,0,0,0,5
"02_lung_pathology","Lung Pathology Score","Model",6,17.5,3.61939221417077,1.47761068395343,18,13.5,21,14.5,20.75,13,21
"02_lung_pathology","Lung Pathology Score","LVX",6,13.6666666666667,2.94392028877595,1.20185042515466,13,11.5,16.5,13,13.75,10,19
"02_lung_pathology","Lung Pathology Score","HQQD-L",5,11.8,1.30384048104053,0.58309518948453,12,10,13,11,13,10,13
"02_lung_pathology","Lung Pathology Score","HQQD-M",6,9.66666666666667,2.65832027165025,1.08525470640665,8.5,7.5,13,8,12,7,13
"02_lung_pathology","Lung Pathology Score","HQQD-H",5,11.4,6.34822809924155,2.83901391331568,10,5,21,7,14,5,21
