"Analysis","Variable","Endpoint_Type","Recommended_Test","Significant_pairwise_within_endpoint","group1","group2","comparison","estimate","statistic","p_raw","p_adjusted_within_endpoint","p_adjust_method"
"02_lung_pathology","Lung Bacterial Load (log10 CFU)","continuous_log10_cfu","Kruskal-Wallis + pairwise median test vs Model",TRUE,"Control","Model","Control - Model",-2.8166925415,5.76,0.0163950718491923,0.0163950718491923,"Pairwise median test; unadjusted thesis-style"
"02_lung_pathology","Lung Bacterial Load (log10 CFU)","continuous_log10_cfu","Kruskal-Wallis + pairwise median test vs Model",TRUE,"LVX","Model","LVX - Model",-2.5156625455,11,0.000911118877153713,0.000911118877153713,"Pairwise median test; unadjusted thesis-style"
"02_lung_pathology","Lung Bacterial Load (log10 CFU)","continuous_log10_cfu","Kruskal-Wallis + pairwise median test vs Model",TRUE,"HQQD-L","Model","HQQD-L - Model",-2.407485326,10,0.00156540225800255,0.00156540225800255,"Pairwise median test; unadjusted thesis-style"
"02_lung_pathology","Lung Bacterial Load (log10 CFU)","continuous_log10_cfu","Kruskal-Wallis + pairwise median test vs Model",FALSE,"HQQD-M","Model","HQQD-M - Model",0.0405335469999999,0.4,0.527089256865538,0.527089256865538,"Pairwise median test; unadjusted thesis-style"
"02_lung_pathology","Lung Bacterial Load (log10 CFU)","continuous_log10_cfu","Kruskal-Wallis + pairwise median test vs Model",FALSE,"HQQD-H","Model","HQQD-H - Model",-0.157607853,0.4,0.527089256865538,0.527089256865538,"Pairwise median test; unadjusted thesis-style"
"02_lung_pathology","Lung Pathology Score","ordinal_score","Kruskal-Wallis + pairwise median test vs Model",TRUE,"Control","Model","Control - Model",-18,12,0.00053200550513925,0.00053200550513925,"Pairwise median test; unadjusted thesis-style"
"02_lung_pathology","Lung Pathology Score","ordinal_score","Kruskal-Wallis + pairwise median test vs Model",FALSE,"LVX","Model","LVX - Model",-5,3.08571428571429,0.0789825792637832,0.0789825792637832,"Pairwise median test; unadjusted thesis-style"
"02_lung_pathology","Lung Pathology Score","ordinal_score","Kruskal-Wallis + pairwise median test vs Model",TRUE,"HQQD-L","Model","HQQD-L - Model",-6,7.63888888888889,0.00571230936938259,0.00571230936938259,"Pairwise median test; unadjusted thesis-style"
"02_lung_pathology","Lung Pathology Score","ordinal_score","Kruskal-Wallis + pairwise median test vs Model",TRUE,"HQQD-M","Model","HQQD-M - Model",-9.5,8.57142857142857,0.00341479117811781,0.00341479117811781,"Pairwise median test; unadjusted thesis-style"
"02_lung_pathology","Lung Pathology Score","ordinal_score","Kruskal-Wallis + pairwise median test vs Model",FALSE,"HQQD-H","Model","HQQD-H - Model",-8,2.39555555555556,0.121680515285648,0.121680515285648,"Pairwise median test; unadjusted thesis-style"
