"Analysis","Variable","Group","N","Mean","SD","SEM","Median","Median_CI_low","Median_CI_high","Q1","Q3","Min","Max"
"03_flow_cytometry","Lung Ratio","Control",6,2.45327495993455,0.962352843318286,0.392878903107728,2.32663142503655,1.6179766917613,3.41521676300578,1.77478630075357,2.57022058823529,1.59869848156182,4.22543352601156
"03_flow_cytometry","Lung Ratio","Model",6,6.30612287681726,2.25779725262567,0.921741868598438,6.03568197605854,4.2657619124685,8.61692474192474,4.77508037026865,6.96665159165159,3.9311377245509,10.202380952381
"03_flow_cytometry","Lung Ratio","LVX",6,2.00010297659152,1.2554614676607,0.512539997915732,1.81026427753232,0.989947622834858,3.20009702940737,1.26437284586019,1.99274160784115,0.856234096692112,4.38787878787879
"03_flow_cytometry","Lung Ratio","HQQD-L",5,2.91132552816876,2.24780821294468,1.00525039290533,1.78362573099415,1.06151142355009,6.65652173913044,1.75421686746988,3.30075187969925,1.06151142355009,6.65652173913044
"03_flow_cytometry","Lung Ratio","HQQD-M",6,3.54017204066469,2.06862574584042,0.844512924348887,3.25154752396166,1.99255189255189,5.37641670548052,3.1499255952381,3.43834289914897,0.858119658119658,7.26315789473684
"03_flow_cytometry","Lung Ratio","HQQD-H",5,3.09614805608479,0.486744370746997,0.217678700131129,3.256,2.56342182890855,3.59126984126984,2.59587020648968,3.47417840375587,2.56342182890855,3.59126984126984
"03_flow_cytometry","Lung Th17","Control",6,8.67166666666667,2.48783774926474,1.0156555080888,8.895,6.16,10.96,7.325,10.465,5.01,11.44
"03_flow_cytometry","Lung Th17","Model",6,22.37,7.30144369285965,2.98080190552811,21.97,15.335,29.805,18.1825,24.955,13.13,34.28
"03_flow_cytometry","Lung Th17","LVX",6,9.8,2.78848345879978,1.13839360504177,8.94,7.45,13.01,8.2525,11,6.73,14.48
"03_flow_cytometry","Lung Th17","HQQD-L",5,10.19,3.93277891572867,1.75879219920945,9.15,6.04,15.31,7.28,13.17,6.04,15.31
"03_flow_cytometry","Lung Th17","HQQD-M",6,9.87666666666667,2.57151058070284,1.04981479848167,10.66,7.145,11.825,9.5225,11.625,5.02,11.83
"03_flow_cytometry","Lung Th17","HQQD-H",5,9.896,2.76152675163577,1.23499230766835,8.8,8.14,14.8,8.69,9.05,8.14,14.8
"03_flow_cytometry","Lung Treg","Control",6,3.81333333333333,1.24699104514293,0.509081962403349,4.125,2.395,4.92,3.295,4.52,1.73,5.23
"03_flow_cytometry","Lung Treg","Model",6,3.685,1.05245902533068,0.429664597874513,3.35,2.725,4.98,2.98,4.425,2.59,5.18
"03_flow_cytometry","Lung Treg","LVX",6,5.89666666666667,2.64295793887581,1.07898306031394,4.945,3.68,9.065,4.2575,7.155,3.3,10.27
"03_flow_cytometry","Lung Treg","HQQD-L",5,4.252,1.29692713750619,0.580003448265612,4.15,2.3,5.69,3.99,5.13,2.3,5.69
"03_flow_cytometry","Lung Treg","HQQD-M",6,3.425,1.41569417601401,0.577954727177369,3.26,2.2,4.815,2.9425,3.6825,1.52,5.85
"03_flow_cytometry","Lung Treg","HQQD-H",5,3.212,0.732714132523729,0.327679721679569,3.39,2.5,4.26,2.52,3.39,2.5,4.26
"03_flow_cytometry","MLN Ratio","Control",5,1.79391546243449,1.3026671076187,0.582570440937688,1.17329545454545,0.666666666666667,3.62198391420912,0.808602150537634,2.69902912621359,0.666666666666667,3.62198391420912
"03_flow_cytometry","MLN Ratio","Model",6,19.3357991630686,13.65680099541,5.57536565958131,13.6896208865225,9.08308133308133,35.234695269602,12.329885800474,23.7069463757012,6.21744471744472,43.4954128440367
"03_flow_cytometry","MLN Ratio","LVX",6,5.53898528256139,3.64714677008408,1.48894143395762,4.21964560862866,2.2956592956593,10.1016509433962,2.84845916795069,8.46363636363636,2.12162162162162,10.4033018867925
"03_flow_cytometry","MLN Ratio","HQQD-L",5,5.15113846990301,2.33429891013978,1.04393020857525,5.55056179775281,2.34717607973422,7.875,3.21613832853026,6.76681614349776,2.34717607973422,7.875
"03_flow_cytometry","MLN Ratio","HQQD-M",6,5.9066743607615,3.83303860051165,1.56483145594088,4.11080437540292,3.17439498984563,10.4348237170359,3.38400248217845,7.19172623974716,3.0955710955711,12.7624309392265
"03_flow_cytometry","MLN Ratio","HQQD-H",5,2.74734585446428,1.00411426642946,0.449053551382722,3.11602209944751,1.46223224351747,3.95718654434251,1.99286733238231,3.20842105263158,1.46223224351747,3.95718654434251
"03_flow_cytometry","MLN Th17","Control",5,7.804,5.39098599515896,2.41092223018496,4.13,3.72,13.9,3.76,13.51,3.72,13.9
