"Analysis","Variable","Group","N","Shapiro_P"
"03_flow_cytometry","MLN Treg","Control",5,0.576096874756715
"03_flow_cytometry","MLN Treg","Model",6,0.188614847959856
"03_flow_cytometry","MLN Treg","LVX",6,0.768353795172286
"03_flow_cytometry","MLN Treg","HQQD-L",5,0.090712806948332
"03_flow_cytometry","MLN Treg","HQQD-M",6,0.454544296112931
"03_flow_cytometry","MLN Treg","HQQD-H",5,0.9547539546933
"03_flow_cytometry","MLN Th17","Control",5,0.0137697992442436
"03_flow_cytometry","MLN Th17","Model",6,0.59406140489732
"03_flow_cytometry","MLN Th17","LVX",6,0.416035979069281
"03_flow_cytometry","MLN Th17","HQQD-L",5,0.925040444865112
"03_flow_cytometry","MLN Th17","HQQD-M",6,0.699351094093068
"03_flow_cytometry","MLN Th17","HQQD-H",5,0.372760186290373
"03_flow_cytometry","MLN Ratio","Control",5,0.239740385241608
"03_flow_cytometry","MLN Ratio","Model",6,0.170311873675246
"03_flow_cytometry","MLN Ratio","LVX",6,0.104825564655007
"03_flow_cytometry","MLN Ratio","HQQD-L",5,0.679562313001879
"03_flow_cytometry","MLN Ratio","HQQD-M",6,0.0518345127133842
"03_flow_cytometry","MLN Ratio","HQQD-H",5,0.697391047230046
"03_flow_cytometry","Lung Treg","Control",6,0.68257254924883
"03_flow_cytometry","Lung Treg","Model",6,0.263151301392046
"03_flow_cytometry","Lung Treg","LVX",6,0.301264360534807
"03_flow_cytometry","Lung Treg","HQQD-L",5,0.737731240390926
"03_flow_cytometry","Lung Treg","HQQD-M",6,0.612825793748589
"03_flow_cytometry","Lung Treg","HQQD-H",5,0.339729387296391
"03_flow_cytometry","Lung Th17","Control",6,0.406882950527775
"03_flow_cytometry","Lung Th17","Model",6,0.918890355225317
"03_flow_cytometry","Lung Th17","LVX",6,0.565014473350455
"03_flow_cytometry","Lung Th17","HQQD-L",5,0.592275238584569
"03_flow_cytometry","Lung Th17","HQQD-M",6,0.0661889504712055
"03_flow_cytometry","Lung Th17","HQQD-H",5,0.00427544435955038
"03_flow_cytometry","Lung Ratio","Control",6,0.160471995234139
"03_flow_cytometry","Lung Ratio","Model",6,0.511479849991162
"03_flow_cytometry","Lung Ratio","LVX",6,0.0881734188975888
"03_flow_cytometry","Lung Ratio","HQQD-L",5,0.135495836665337
"03_flow_cytometry","Lung Ratio","HQQD-M",6,0.117604420589921
"03_flow_cytometry","Lung Ratio","HQQD-H",5,0.180726723364446
