"Analysis","Variable","Endpoint_Type","Recommended_Test","Significant_pairwise_within_endpoint","group1","group2","comparison","estimate","statistic","p_raw","p_adjusted_within_endpoint","p_adjust_method"
"03_flow_cytometry","MLN Treg","percentage","One-way ANOVA + Bonferroni vs Model",FALSE,"Control","Model","Control - Model",0.834333333333333,0.733966641635929,0.481651357562624,1,"Bonferroni"
"03_flow_cytometry","MLN Treg","percentage","One-way ANOVA + Bonferroni vs Model",FALSE,"LVX","Model","LVX - Model",-1.41833333333333,-1.18109060402605,0.264894738348347,1,"Bonferroni"
"03_flow_cytometry","MLN Treg","percentage","One-way ANOVA + Bonferroni vs Model",FALSE,"HQQD-L","Model","HQQD-L - Model",-1.54633333333333,-1.31129110577688,0.222225276320223,1,"Bonferroni"
"03_flow_cytometry","MLN Treg","percentage","One-way ANOVA + Bonferroni vs Model",FALSE,"HQQD-M","Model","HQQD-M - Model",-1.68333333333333,-1.48759484854262,0.167695787793328,0.838478938966641,"Bonferroni"
"03_flow_cytometry","MLN Treg","percentage","One-way ANOVA + Bonferroni vs Model",FALSE,"HQQD-H","Model","HQQD-H - Model",-2.17433333333333,-1.57025098965031,0.150803995525721,0.754019977628605,"Bonferroni"
"03_flow_cytometry","MLN Th17","percentage","Kruskal-Wallis + pairwise median test vs Model",TRUE,"Control","Model","Control - Model",-45.225,7.63888888888889,0.00571230936938259,0.00571230936938259,"Pairwise median test; unadjusted thesis-style"
"03_flow_cytometry","MLN Th17","percentage","Kruskal-Wallis + pairwise median test vs Model",TRUE,"LVX","Model","LVX - Model",-26.575,5.33333333333333,0.0209213353377941,0.0209213353377941,"Pairwise median test; unadjusted thesis-style"
"03_flow_cytometry","MLN Th17","percentage","Kruskal-Wallis + pairwise median test vs Model",TRUE,"HQQD-L","Model","HQQD-L - Model",-24.655,7.63888888888889,0.00571230936938259,0.00571230936938259,"Pairwise median test; unadjusted thesis-style"
"03_flow_cytometry","MLN Th17","percentage","Kruskal-Wallis + pairwise median test vs Model",TRUE,"HQQD-M","Model","HQQD-M - Model",-23.92,5.33333333333333,0.0209213353377941,0.0209213353377941,"Pairwise median test; unadjusted thesis-style"
"03_flow_cytometry","MLN Th17","percentage","Kruskal-Wallis + pairwise median test vs Model",TRUE,"HQQD-H","Model","HQQD-H - Model",-35.385,7.63888888888889,0.00571230936938259,0.00571230936938259,"Pairwise median test; unadjusted thesis-style"
"03_flow_cytometry","MLN Ratio","ratio","One-way ANOVA + Bonferroni vs Model",FALSE,"Control","Model","Control - Model",-17.5418837006341,-2.83565205407439,0.0195413157622333,0.0977065788111666,"Bonferroni"
"03_flow_cytometry","MLN Ratio","ratio","One-way ANOVA + Bonferroni vs Model",FALSE,"LVX","Model","LVX - Model",13.7968138805072,2.3908148091396,0.0379058115794305,0.189529057897153,"Bonferroni"
"03_flow_cytometry","MLN Ratio","ratio","One-way ANOVA + Bonferroni vs Model",FALSE,"HQQD-L","Model","HQQD-L - Model",14.1846606931656,2.27485457744221,0.0489728140610323,0.244864070305162,"Bonferroni"
"03_flow_cytometry","MLN Ratio","ratio","One-way ANOVA + Bonferroni vs Model",FALSE,"HQQD-M","Model","HQQD-M - Model",13.4291248023071,2.31904361700462,0.0428424957835424,0.214212478917712,"Bonferroni"
"03_flow_cytometry","MLN Ratio","ratio","One-way ANOVA + Bonferroni vs Model",FALSE,"HQQD-H","Model","HQQD-H - Model",16.5884533086043,2.68547042719413,0.024981185596167,0.124905927980835,"Bonferroni"
"03_flow_cytometry","Lung Treg","percentage","One-way ANOVA + Bonferroni vs Model",FALSE,"Control","Model","Control - Model",0.128333333333333,0.192644899377323,0.851093209638241,1,"Bonferroni"
"03_flow_cytometry","Lung Treg","percentage","One-way ANOVA + Bonferroni vs Model",FALSE,"LVX","Model","LVX - Model",-2.21166666666667,-1.90433478359381,0.0860052898985632,0.430026449492816,"Bonferroni"
"03_flow_cytometry","Lung Treg","percentage","One-way ANOVA + Bonferroni vs Model",FALSE,"HQQD-L","Model","HQQD-L - Model",-0.567,-0.802064890472143,0.443177326591712,1,"Bonferroni"
