"Group","Index","N","Mean","SD","Median","Min","Max"
"Control","ACE",6,6558.2663,380.4582,6658.2272,5886.0087,6921.0609
"Control","Chao1",6,6550.7204,379.0805,6649.0034,5882.061,6916.4686
"Control","Shannon",6,5.6063,0.5407,5.7096,4.5399,6.005
"Control","Simpson",6,0.9764,0.0325,0.9882,0.9103,0.9922
"Control","goods_Coverage",6,1,0,1,1,1
"Control","pielou_evenness",6,0.6379,0.0583,0.6497,0.5231,0.682
"Model","ACE",6,6750.4787,367.8323,6683.3061,6310.4693,7399.9589
"Model","Chao1",6,6740.1901,367.5304,6673.2582,6300.2659,7389.6071
"Model","Shannon",6,5.6972,0.0509,5.6776,5.6394,5.7802
"Model","Simpson",6,0.9895,5e-04,0.9893,0.989,0.9901
"Model","goods_Coverage",6,1,0,1,1,1
"Model","pielou_evenness",6,0.6464,0.007,0.645,0.6375,0.6578
"LVX","ACE",6,3403.5795,378.8306,3434.6686,2721.8881,3773.3577
"LVX","Chao1",6,3400.6395,378.9569,3431.4643,2718.521,3771.125
"LVX","Shannon",6,3.2685,0.342,3.3572,2.7607,3.5958
"LVX","Simpson",6,0.7291,0.0556,0.7312,0.6622,0.7987
"LVX","goods_Coverage",6,1,0,1,1,1
"LVX","pielou_evenness",6,0.4023,0.042,0.4179,0.3404,0.4409
"HQQD","ACE",6,6459.574,283.6248,6390.4701,6072.4083,6889.2059
"HQQD","Chao1",6,6451.916,283.1702,6382.0549,6065.8755,6881.4082
"HQQD","Shannon",6,5.8411,0.1443,5.8854,5.5974,5.9673
"HQQD","Simpson",6,0.9894,0.0023,0.9897,0.986,0.9927
"HQQD","goods_Coverage",6,1,0,1,1,1
"HQQD","pielou_evenness",6,0.666,0.0164,0.6728,0.6393,0.6808
