"PC","Variance_Explained"
"PC1",40.5446684928838
"PC2",14.6985180866888
"PC3",7.45078507615519
"PC4",4.56483183653941
"PC5",3.79439914536718
"PC6",3.45162510968698
"PC7",2.99850180270677
"PC8",2.82204701839708
"PC9",2.5158803680116
"PC10",2.2998614933092
"PC11",1.93550827424891
"PC12",1.90975887009723
"PC13",1.67651903693058
"PC14",1.55544683516113
"PC15",1.28615031398735
"PC16",1.24971782721658
"PC17",1.09288882675921
"PC18",0.878714917133422
"PC19",0.816943555216846
"PC20",0.749048048773125
"PC21",0.617592959434
"PC22",0.589980696894405
"PC23",0.500611408401067
