"PC","Variance_Explained"
"PC1",74.38077076674
"PC2",10.7650300659409
"PC3",5.98378807527592
"PC4",3.0185087203843
"PC5",2.92233644280414
"PC6",1.31630994416062
"PC7",0.872768988114512
"PC8",0.612512561825551
"PC9",0.378036276463652
"PC10",0.302320927784369
"PC11",0.227792445606472
"PC12",0.18828286261101
"PC13",0.121187112588654
"PC14",0.0625959576416809
"PC15",0.0210267170593217
"PC16",0
"PC17",-0.00197201416228359
"PC18",-0.00858472436335838
"PC19",-0.0243700102155129
"PC20",-0.0813453175319715
"PC21",-0.126518125455403
"PC22",-0.184348383075169
"PC23",-0.219717834812323
"PC24",-0.526411455385216
