"Group","Mean","SD","SE","PC","Method"
"Control",-0.0897738916658443,0.0273452457848226,0.011163649843968,"Axis.1","Binary Jaccard"
"Model",-0.134592936265268,0.0143233911917713,0.00584749996768578,"Axis.1","Binary Jaccard"
"LVX",0.325427084743361,0.0377847705044175,0.0154255679639978,"Axis.1","Binary Jaccard"
"HQQD",-0.101060256812248,0.00976433681723026,0.00398627381314761,"Axis.1","Binary Jaccard"
"Control",-0.159580017848798,0.135739028811584,0.0554152264615543,"Axis.2","Binary Jaccard"
"Model",0.0836101853574797,0.0119902485261232,0.00489499846302666,"Axis.2","Binary Jaccard"
"LVX",0.0121262330305809,0.00649934893774477,0.00265334809296243,"Axis.2","Binary Jaccard"
"HQQD",0.0638435994607372,0.0131164705582946,0.00535477668234335,"Axis.2","Binary Jaccard"
"Control",-0.0320813193679427,0.0540718313594567,0.0220747327147485,"Axis.3","Binary Jaccard"
"Model",-0.0794304683447126,0.0206668148410699,0.00843719182819997,"Axis.3","Binary Jaccard"
"LVX",-0.00628955807831461,0.0141157814109888,0.00576274362959776,"Axis.3","Binary Jaccard"
"HQQD",0.11780134579097,0.0526947949873188,0.0215125599699166,"Axis.3","Binary Jaccard"
"Control",-0.129170588068743,0.0513538894031936,0.0209651375575241,"Axis.1","Bray-Curtis"
"Model",-0.180711944662701,0.00520267082483928,0.00212398147008685,"Axis.1","Bray-Curtis"
"LVX",0.433165891538053,0.0383292532246194,0.0156478521037074,"Axis.1","Bray-Curtis"
"HQQD",-0.123283358806609,0.0162597805215886,0.00663802760125617,"Axis.1","Bray-Curtis"
"Control",-0.102015620369486,0.146768452487476,0.059917969822039,"Axis.2","Bray-Curtis"
"Model",0.0102473724152337,0.0069373328396138,0.00283215427215115,"Axis.2","Bray-Curtis"
"LVX",0.00998454304068317,0.0212719102825679,0.008684221007759,"Axis.2","Bray-Curtis"
"HQQD",0.0817837049135691,0.0403780558737748,0.0164842722827229,"Axis.2","Bray-Curtis"
"Control",0.0547869632386203,0.113382975362456,0.0462884058594291,"Axis.3","Bray-Curtis"
"Model",-0.00324068328502938,0.0139147901932521,0.00568068930855849,"Axis.3","Bray-Curtis"
"LVX",0.00771687777413096,0.0125330356135574,0.00511659036355753,"Axis.3","Bray-Curtis"
"HQQD",-0.0592631577277219,0.0599256009464519,0.0244645241414087,"Axis.3","Bray-Curtis"
