"PC","Variance_Explained","Method"
"PC1",40.5446684928838,"Binary Jaccard"
"PC2",14.6985180866888,"Binary Jaccard"
"PC3",7.45078507615519,"Binary Jaccard"
"PC4",4.56483183653941,"Binary Jaccard"
"PC5",3.79439914536718,"Binary Jaccard"
"PC6",3.45162510968698,"Binary Jaccard"
"PC7",2.99850180270677,"Binary Jaccard"
"PC8",2.82204701839708,"Binary Jaccard"
"PC9",2.5158803680116,"Binary Jaccard"
"PC10",2.2998614933092,"Binary Jaccard"
"PC11",1.93550827424891,"Binary Jaccard"
"PC12",1.90975887009723,"Binary Jaccard"
"PC13",1.67651903693058,"Binary Jaccard"
"PC14",1.55544683516113,"Binary Jaccard"
"PC15",1.28615031398735,"Binary Jaccard"
"PC16",1.24971782721658,"Binary Jaccard"
"PC17",1.09288882675921,"Binary Jaccard"
"PC18",0.878714917133422,"Binary Jaccard"
"PC19",0.816943555216846,"Binary Jaccard"
"PC20",0.749048048773125,"Binary Jaccard"
"PC21",0.617592959434,"Binary Jaccard"
"PC22",0.589980696894405,"Binary Jaccard"
"PC23",0.500611408401067,"Binary Jaccard"
"PC1",74.38077076674,"Bray-Curtis"
"PC2",10.7650300659409,"Bray-Curtis"
"PC3",5.98378807527592,"Bray-Curtis"
"PC4",3.0185087203843,"Bray-Curtis"
"PC5",2.92233644280414,"Bray-Curtis"
"PC6",1.31630994416062,"Bray-Curtis"
"PC7",0.872768988114512,"Bray-Curtis"
"PC8",0.612512561825551,"Bray-Curtis"
"PC9",0.378036276463652,"Bray-Curtis"
"PC10",0.302320927784369,"Bray-Curtis"
"PC11",0.227792445606472,"Bray-Curtis"
"PC12",0.18828286261101,"Bray-Curtis"
"PC13",0.121187112588654,"Bray-Curtis"
"PC14",0.0625959576416809,"Bray-Curtis"
"PC15",0.0210267170593217,"Bray-Curtis"
"PC16",0,"Bray-Curtis"
"PC17",-0.00197201416228359,"Bray-Curtis"
"PC18",-0.00858472436335838,"Bray-Curtis"
"PC19",-0.0243700102155129,"Bray-Curtis"
"PC20",-0.0813453175319715,"Bray-Curtis"
"PC21",-0.126518125455403,"Bray-Curtis"
"PC22",-0.184348383075169,"Bray-Curtis"
"PC23",-0.219717834812323,"Bray-Curtis"
"PC24",-0.526411455385216,"Bray-Curtis"
