"PC","Variance_Explained"
"PC1",47.4189738052173
"PC2",10.8811779884805
"PC3",8.57165142544203
"PC4",7.44871399588765
"PC5",5.54166304596139
"PC6",4.59699210781088
"PC7",3.78231586970326
"PC8",2.99995172397741
"PC9",2.44860497297775
"PC10",2.1678212745827
"PC11",1.3585944344425
"PC12",0.980690085076847
"PC13",0.866533381586434
"PC14",0.800509857890389
"PC15",0.657467244726825
"PC16",0.288490448921503
"PC17",0.119849693461442
"PC18",0.101176193467496
"PC19",0.0382914535703763
"PC20",0
"PC21",-0.0839744966418668
"PC22",-0.140945136286985
"PC23",-0.287996024469691
"PC24",-0.556553345786234
