"PC","Variance_Explained"
"PC1",81.8636092645064
"PC2",15.6968316918983
"PC3",3.80554477311084
"PC4",2.30360739580975
"PC5",1.91412610413397
"PC6",0.710303817108074
"PC7",0.565110122684641
"PC8",0.340274607891413
"PC9",0.20272457374207
"PC10",0.0639093675602934
"PC11",0.00538882400414668
"PC12",0
"PC13",-0.000368424926677806
"PC14",-0.0109596861935959
"PC15",-0.0256629337600867
"PC16",-0.0385162402897979
"PC17",-0.0680646711390099
"PC18",-0.153316126411005
"PC19",-0.22319345267433
"PC20",-0.431683083701767
"PC21",-0.534208569993436
"PC22",-1.00524985858248
"PC23",-1.36666064788572
"PC24",-3.61354684689212
