"Group","Mean","SD","SE","PC","Method"
"Control",-0.0757271117873018,0.0485296502490584,0.0198121467509873,"Axis.1","Binary Jaccard"
"Model",-0.127951273615489,0.0122053925538877,0.00498283064456504,"Axis.1","Binary Jaccard"
"LVX",0.277523406643411,0.0177326691979031,0.00723933188540512,"Axis.1","Binary Jaccard"
"HQQD",-0.07384502124062,0.0348501306849232,0.0142275062745621,"Axis.1","Binary Jaccard"
"Control",-0.0845381757662939,0.0788520378397619,0.0321912096476746,"Axis.2","Binary Jaccard"
"Model",0.0261567877358243,0.0187296417010913,0.00764634420547122,"Axis.2","Binary Jaccard"
"LVX",0.00878774905632619,0.0893980050114812,0.0364965827168171,"Axis.2","Binary Jaccard"
"HQQD",0.0495936389741434,0.052161826987084,0.0212949766949488,"Axis.2","Binary Jaccard"
"Control",-0.0146795609000466,0.0586783364209614,0.0239553305311209,"Axis.3","Binary Jaccard"
"Model",0.0735587254747776,0.0146635378527008,0.00598636426051723,"Axis.3","Binary Jaccard"
"LVX",0.0121603366322759,0.0451870434452437,0.0184475332376371,"Axis.3","Binary Jaccard"
"HQQD",-0.071039501207007,0.0687663646380026,0.0280737508048792,"Axis.3","Binary Jaccard"
"Control",-0.146458246099325,0.0553923983392655,0.0226138519266984,"Axis.1","Bray-Curtis"
"Model",-0.175672391323242,0.0137530061229289,0.00561464123842479,"Axis.1","Bray-Curtis"
"LVX",0.370813320345366,0.0139664534336142,0.00570178073811613,"Axis.1","Bray-Curtis"
"HQQD",-0.0486826829227993,0.0671040939657909,0.0273951316446606,"Axis.1","Bray-Curtis"
"Control",0.0156057971123762,0.080049773241066,0.0326801830776851,"Axis.2","Bray-Curtis"
"Model",-0.0713038346869321,0.0110022654189034,0.00449165604849699,"Axis.2","Bray-Curtis"
"LVX",-0.0411807416269018,0.088466550303691,0.0361163179247172,"Axis.2","Bray-Curtis"
"HQQD",0.0968787792014577,0.10816212215563,0.0441570014629794,"Axis.2","Bray-Curtis"
"Control",-0.0226645626069538,0.0335843851517881,0.0137107678244974,"Axis.3","Bray-Curtis"
"Model",-0.0177002042297348,0.0111641874002153,0.00455776042055611,"Axis.3","Bray-Curtis"
"LVX",-0.00558761278052409,0.0607004132451252,0.0247808399377724,"Axis.3","Bray-Curtis"
"HQQD",0.0459523796172127,0.050888497043849,0.0207751419224267,"Axis.3","Bray-Curtis"
