"PC","Variance_Explained","Method"
"PC1",47.4189738052173,"Binary Jaccard"
"PC2",10.8811779884805,"Binary Jaccard"
"PC3",8.57165142544203,"Binary Jaccard"
"PC4",7.44871399588765,"Binary Jaccard"
"PC5",5.54166304596139,"Binary Jaccard"
"PC6",4.59699210781088,"Binary Jaccard"
"PC7",3.78231586970326,"Binary Jaccard"
"PC8",2.99995172397741,"Binary Jaccard"
"PC9",2.44860497297775,"Binary Jaccard"
"PC10",2.1678212745827,"Binary Jaccard"
"PC11",1.3585944344425,"Binary Jaccard"
"PC12",0.980690085076847,"Binary Jaccard"
"PC13",0.866533381586434,"Binary Jaccard"
"PC14",0.800509857890389,"Binary Jaccard"
"PC15",0.657467244726825,"Binary Jaccard"
"PC16",0.288490448921503,"Binary Jaccard"
"PC17",0.119849693461442,"Binary Jaccard"
"PC18",0.101176193467496,"Binary Jaccard"
"PC19",0.0382914535703763,"Binary Jaccard"
"PC20",0,"Binary Jaccard"
"PC21",-0.0839744966418668,"Binary Jaccard"
"PC22",-0.140945136286985,"Binary Jaccard"
"PC23",-0.287996024469691,"Binary Jaccard"
"PC24",-0.556553345786234,"Binary Jaccard"
"PC1",81.8636092645064,"Bray-Curtis"
"PC2",15.6968316918983,"Bray-Curtis"
"PC3",3.80554477311084,"Bray-Curtis"
"PC4",2.30360739580975,"Bray-Curtis"
"PC5",1.91412610413397,"Bray-Curtis"
"PC6",0.710303817108074,"Bray-Curtis"
"PC7",0.565110122684641,"Bray-Curtis"
"PC8",0.340274607891413,"Bray-Curtis"
"PC9",0.20272457374207,"Bray-Curtis"
"PC10",0.0639093675602934,"Bray-Curtis"
"PC11",0.00538882400414668,"Bray-Curtis"
"PC12",0,"Bray-Curtis"
"PC13",-0.000368424926677806,"Bray-Curtis"
"PC14",-0.0109596861935959,"Bray-Curtis"
"PC15",-0.0256629337600867,"Bray-Curtis"
"PC16",-0.0385162402897979,"Bray-Curtis"
"PC17",-0.0680646711390099,"Bray-Curtis"
"PC18",-0.153316126411005,"Bray-Curtis"
"PC19",-0.22319345267433,"Bray-Curtis"
"PC20",-0.431683083701767,"Bray-Curtis"
"PC21",-0.534208569993436,"Bray-Curtis"
"PC22",-1.00524985858248,"Bray-Curtis"
"PC23",-1.36666064788572,"Bray-Curtis"
"PC24",-3.61354684689212,"Bray-Curtis"
