"PC","Variance_Explained"
"PC1",39.5458267826514
"PC2",14.7676479894344
"PC3",8.76633746850011
"PC4",4.93401411751929
"PC5",3.72024199818594
"PC6",3.61812360346766
"PC7",2.92108116047602
"PC8",2.5875260535189
"PC9",2.49044417097089
"PC10",2.32317901872958
"PC11",2.15043012388954
"PC12",2.0339162446265
"PC13",1.77805676689644
"PC14",1.26027546063569
"PC15",1.03205824950789
"PC16",0.980023188288133
"PC17",0.898847120936981
"PC18",0.838384426712919
"PC19",0.791919677488692
"PC20",0.709737347678982
"PC21",0.666411468232224
"PC22",0.61054506149198
"PC23",0.574972500159755
