"PC","Variance_Explained"
"PC1",67.6681927784534
"PC2",9.3090446845099
"PC3",7.63102770960371
"PC4",4.88242229074226
"PC5",3.19744416599846
"PC6",2.03116564182778
"PC7",1.52522431106338
"PC8",1.02951093378701
"PC9",0.944449198465186
"PC10",0.638968061344639
"PC11",0.473182618699817
"PC12",0.4133651537715
"PC13",0.200104851110386
"PC14",0.10603400294365
"PC15",0.0410791531922655
"PC16",0.0373917052931129
"PC17",0.0214309003383068
"PC18",0.0127448012500359
"PC19",0.00760151734829566
"PC20",0
"PC21",-0.00151260903805905
"PC22",-0.0196609429445797
"PC23",-0.0682006441515219
"PC24",-0.0810102836089951
