"Group","Mean","SD","SE","PC","Method"
"Control",-0.0901895778169105,0.0316826458341632,0.0129343859991692,"Axis.1","Binary Jaccard"
"Model",-0.164347014350854,0.0153439545067468,0.00626414319633468,"Axis.1","Binary Jaccard"
"LVX",0.366328541937452,0.0426988940730793,0.0174317505100322,"Axis.1","Binary Jaccard"
"HQQD",-0.111791949769687,0.0168771460686449,0.00689006603043318,"Axis.1","Binary Jaccard"
"Control",-0.18469652313842,0.157742751614483,0.0643982086796784,"Axis.2","Binary Jaccard"
"Model",0.0973828313954447,0.00989610561391681,0.00404006819913138,"Axis.2","Binary Jaccard"
"LVX",0.0252985430430572,0.00647246273864591,0.00264237184814325,"Axis.2","Binary Jaccard"
"HQQD",0.062015148699918,0.00369954902489885,0.00151033456490221,"Axis.2","Binary Jaccard"
"Control",0.036210052411786,0.04468121778168,0.0182410307752144,"Axis.3","Binary Jaccard"
"Model",0.103379700507167,0.0268159468474833,0.0109475644576549,"Axis.3","Binary Jaccard"
"LVX",0.0126903287302873,0.01375624815806,0.00561596479372467,"Axis.3","Binary Jaccard"
"HQQD",-0.15228008164924,0.0615594119558679,0.0251315246929438,"Axis.3","Binary Jaccard"
"Control",-0.144342373237137,0.029090552814389,0.011876168455123,"Axis.1","Bray-Curtis"
"Model",-0.198306942417401,0.00592908247259771,0.00242053778345727,"Axis.1","Bray-Curtis"
"LVX",0.465562598917187,0.0176483590293961,0.00720491240324343,"Axis.1","Bray-Curtis"
"HQQD",-0.122913283262649,0.0274331000832637,0.0111995162111165,"Axis.1","Bray-Curtis"
"Control",-0.0635878299528525,0.058859853631174,0.02402943462188,"Axis.2","Bray-Curtis"
"Model",-0.0699639375099652,0.00931173907075416,0.00380150155688095,"Axis.2","Bray-Curtis"
"LVX",-0.0163014734562166,0.011367888962901,0.00464092123528735,"Axis.2","Bray-Curtis"
"HQQD",0.149853240919034,0.0824742821694117,0.0336699847028966,"Axis.2","Bray-Curtis"
"Control",-0.110278363234523,0.128517099875637,0.0524668863196022,"Axis.3","Bray-Curtis"
"Model",0.0732694372368643,0.0093015559461778,0.00379734431368107,"Axis.3","Bray-Curtis"
"LVX",0.0109127414913141,0.0260161374768373,0.0106210436493917,"Axis.3","Bray-Curtis"
"HQQD",0.0260961845063447,0.0214683508411994,0.00876441752999807,"Axis.3","Bray-Curtis"
