"PC","Variance_Explained","Method"
"PC1",39.5458267826514,"Binary Jaccard"
"PC2",14.7676479894344,"Binary Jaccard"
"PC3",8.76633746850011,"Binary Jaccard"
"PC4",4.93401411751929,"Binary Jaccard"
"PC5",3.72024199818594,"Binary Jaccard"
"PC6",3.61812360346766,"Binary Jaccard"
"PC7",2.92108116047602,"Binary Jaccard"
"PC8",2.5875260535189,"Binary Jaccard"
"PC9",2.49044417097089,"Binary Jaccard"
"PC10",2.32317901872958,"Binary Jaccard"
"PC11",2.15043012388954,"Binary Jaccard"
"PC12",2.0339162446265,"Binary Jaccard"
"PC13",1.77805676689644,"Binary Jaccard"
"PC14",1.26027546063569,"Binary Jaccard"
"PC15",1.03205824950789,"Binary Jaccard"
"PC16",0.980023188288133,"Binary Jaccard"
"PC17",0.898847120936981,"Binary Jaccard"
"PC18",0.838384426712919,"Binary Jaccard"
"PC19",0.791919677488692,"Binary Jaccard"
"PC20",0.709737347678982,"Binary Jaccard"
"PC21",0.666411468232224,"Binary Jaccard"
"PC22",0.61054506149198,"Binary Jaccard"
"PC23",0.574972500159755,"Binary Jaccard"
"PC1",67.6681927784534,"Bray-Curtis"
"PC2",9.3090446845099,"Bray-Curtis"
"PC3",7.63102770960371,"Bray-Curtis"
"PC4",4.88242229074226,"Bray-Curtis"
"PC5",3.19744416599846,"Bray-Curtis"
"PC6",2.03116564182778,"Bray-Curtis"
"PC7",1.52522431106338,"Bray-Curtis"
"PC8",1.02951093378701,"Bray-Curtis"
"PC9",0.944449198465186,"Bray-Curtis"
"PC10",0.638968061344639,"Bray-Curtis"
"PC11",0.473182618699817,"Bray-Curtis"
"PC12",0.4133651537715,"Bray-Curtis"
"PC13",0.200104851110386,"Bray-Curtis"
"PC14",0.10603400294365,"Bray-Curtis"
"PC15",0.0410791531922655,"Bray-Curtis"
"PC16",0.0373917052931129,"Bray-Curtis"
"PC17",0.0214309003383068,"Bray-Curtis"
"PC18",0.0127448012500359,"Bray-Curtis"
"PC19",0.00760151734829566,"Bray-Curtis"
"PC20",0,"Bray-Curtis"
"PC21",-0.00151260903805905,"Bray-Curtis"
"PC22",-0.0196609429445797,"Bray-Curtis"
"PC23",-0.0682006441515219,"Bray-Curtis"
"PC24",-0.0810102836089951,"Bray-Curtis"
