"Taxon","Taxa_Full","p_Model_vs_Control","p_HQQD_vs_Model","p_Model_vs_LVX","LDA_Model_Control","LDA_HQQD_Model","LDA_avg","Trend_Model_vs_Control","Trend_HQQD_vs_Model","q_Model_vs_Control","q_HQQD_vs_Model","FDR_corrected_callback"
"Roseburia","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia",0.00507486809794025,0.00507486809794025,0.00507486809794025,3.32656180071171,3.79115550050379,3.55885865060775,"Down","Up",0.0450371806827959,0.0483381186328809,TRUE
"Lachnoclostridium","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium",0.00507486809794025,0.00507486809794025,0.00823901882572464,3.07069322781628,3.17033951329474,3.12051637055551,"Down","Up",0.0450371806827959,0.0483381186328809,TRUE
"Dorea","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea",0.00507486809794025,0.00507486809794025,0.0202405705770775,2.85278222003373,3.03370783597219,2.94324502800296,"Down","Up",0.0450371806827959,0.0483381186328809,TRUE
"Schaedlerella","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Schaedlerella",0.00507486809794025,0.00507486809794025,0.0926958025578126,2.7494307870205,3.06449305033536,2.90696191867793,"Down","Up",0.0450371806827959,0.0483381186328809,TRUE
"Acetatifactor","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Acetatifactor",0.00507486809794025,0.00507486809794025,0.128205275030392,2.76831005626215,2.94647084443561,2.85739045034888,"Down","Up",0.0450371806827959,0.0483381186328809,TRUE
"Butyrivibrio","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio",0.00507486809794025,0.00507486809794025,0.0202405705770775,2.7103213781591,2.93333695384955,2.82182916600433,"Down","Up",0.0450371806827959,0.0483381186328809,TRUE
"Subdoligranulum","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Subdoligranulum",0.00507486809794025,0.00507486809794025,0.00507486809794025,2.32252030650953,3.28374308755054,2.80313169703004,"Down","Up",0.0450371806827959,0.0483381186328809,TRUE
"Coprococcus","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus",0.00507486809794025,0.00507486809794025,0.0202405705770775,2.38414408652313,2.61147932095719,2.49781170374016,"Down","Up",0.0450371806827959,0.0483381186328809,TRUE
"Eisenbergiella","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Eisenbergiella",0.00507486809794025,0.00507486809794025,0.00507486809794025,2.33859303493483,2.53081470939126,2.43470387216305,"Down","Up",0.0450371806827959,0.0483381186328809,TRUE
"Paraprevotella","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella",0.00507486809794025,0.00507486809794025,0.00507486809794025,2.32159373042565,2.52533610809875,2.4234649192622,"Up","Down",0.0450371806827959,0.0483381186328809,TRUE
"Anaerostipes","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes",0.00507486809794025,0.00507486809794025,0.229766270461138,2.16649589397876,2.23766935277758,2.20208262337817,"Down","Up",0.0450371806827959,0.0483381186328809,TRUE
