"Taxon","Taxa_Full","p_Model_vs_Control","p_HQQD_vs_Model","p_Model_vs_LVX","LDA_Model_Control","LDA_HQQD_Model","LDA_avg","Trend_Model_vs_Control","Trend_HQQD_vs_Model","q_Model_vs_Control","q_HQQD_vs_Model","FDR_corrected_callback"
"bacterium_0.1xD8_71","k__Bacteria|p__Unclassified|c__Unclassified|o__Unclassified|f__Unclassified|g__Unclassified|s__bacterium_0.1xD8_71",0.00823901882572464,0.00507486809794025,0.00507486809794025,3.5743145022438,3.7086412463288,3.6414778742863,"Down","Up",0.0583006854355806,0.0483946245171647,FALSE
"bacterium_1xD42_87","k__Bacteria|p__Unclassified|c__Unclassified|o__Unclassified|f__Unclassified|g__Unclassified|s__bacterium_1xD42_87",0.00507486809794025,0.00823901882572464,0.00507486809794025,3.85470519439281,3.27091741971993,3.56281130705637,"Down","Up",0.0446435491284371,0.0602425165169608,FALSE
"Eubacterium_plexicaudatum","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_plexicaudatum",0.00507486809794025,0.00507486809794025,0.936186293473059,3.50594428131843,3.04783893879659,3.27689161005751,"Down","Up",0.0446435491284371,0.0483946245171647,TRUE
"Clostridium_sp._CAG_508","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp._CAG_508",0.00507486809794025,0.00507486809794025,0.00507486809794025,3.31372333610607,3.15075547866533,3.2322394073857,"Up","Down",0.0446435491284371,0.0483946245171647,TRUE
"Lachnospiraceae_bacterium_A4","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Unclassified|s__Lachnospiraceae_bacterium_A4",0.00507486809794025,0.00507486809794025,0.0926958025578126,3.39586034064372,3.03579949307102,3.21582991685737,"Down","Up",0.0446435491284371,0.0483946245171647,TRUE
"bacterium_1XD8_92","k__Bacteria|p__Unclassified|c__Unclassified|o__Unclassified|f__Unclassified|g__Unclassified|s__bacterium_1XD8_92",0.00507486809794025,0.00507486809794025,0.0306389879377033,2.96034251091206,3.29698279114702,3.12866265102954,"Down","Up",0.0446435491284371,0.0483946245171647,TRUE
"Bacteroidales_bacterium_43_36","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Unclassified|g__Unclassified|s__Bacteroidales_bacterium_43_36",0.00507486809794025,0.00507486809794025,0.00499812476508246,2.96435815174035,3.24458980602884,3.10447397888459,"Up","Down",0.0446435491284371,0.0483946245171647,TRUE
"Bacteroidales_bacterium_52_46","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Unclassified|g__Unclassified|s__Bacteroidales_bacterium_52_46",0.00507486809794025,0.00823901882572464,0.00499812476508246,2.92143719921258,3.0652251879186,2.99333119356559,"Up","Down",0.0446435491284371,0.0602425165169608,FALSE
"Muribaculaceae_bacterium_Isolate_002__NCI_","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Unclassified|s__Muribaculaceae_bacterium_Isolate_002__NCI_",0.00507486809794025,0.00507486809794025,0.00499812476508246,2.91738345914395,3.02244009863135,2.96991177888765,"Up","Down",0.0446435491284371,0.0483946245171647,TRUE
"Clostridium_sp._CAG_567","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp._CAG_567",0.00507486809794025,0.00507486809794025,0.00507486809794025,3.04719195958299,2.83863875914042,2.9429153593617,"Up","Down",0.0446435491284371,0.0483946245171647,TRUE
"bacterium_0.1xD8_82","k__Bacteria|p__Unclassified|c__Unclassified|o__Unclassified|f__Unclassified|g__Unclassified|s__bacterium_0.1xD8_82",0.00507486809794025,0.00507486809794025,0.173485468321478,2.79266562932012,3.02318066094929,2.9079231451347,"Down","Up",0.0446435491284371,0.0483946245171647,TRUE
"Schaedlerella_arabinosiphila","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Schaedlerella|s__Schaedlerella_arabinosiphila",0.00507486809794025,0.00507486809794025,0.0926958025578126,2.73549760366979,3.04863996721883,2.89206878544431,"Down","Up",0.0446435491284371,0.0483946245171647,TRUE
"Acetatifactor_muris","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Acetatifactor|s__Acetatifactor_muris",0.00507486809794025,0.00507486809794025,0.128205275030392,2.75945912450687,2.94174025446855,2.85059968948771,"Down","Up",0.0446435491284371,0.0483946245171647,TRUE
"Lachnospiraceae_bacterium_28_4","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Unclassified|s__Lachnospiraceae_bacterium_28_4",0.00507486809794025,0.00507486809794025,0.0453275620779722,2.76137568388526,2.92414437776623,2.84276003082574,"Down","Up",0.0446435491284371,0.0483946245171647,TRUE
"Roseburia_sp._1XD42_69","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp._1XD42_69",0.00507486809794025,0.00507486809794025,0.810181236410474,2.80548362813067,2.8604408858687,2.83296225699968,"Down","Up",0.0446435491284371,0.0483946245171647,TRUE
"Prevotella_sp._MGM2","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp._MGM2",0.00823901882572464,0.00507486809794025,0.00499812476508246,2.70380547832275,2.94046145607409,2.82213346719842,"Up","Down",0.0583006854355806,0.0483946245171647,FALSE
"Lachnospiraceae_bacterium_A2","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Unclassified|s__Lachnospiraceae_bacterium_A2",0.00507486809794025,0.00507486809794025,0.810181236410474,2.86773757830172,2.71988182530054,2.79380970180113,"Down","Up",0.0446435491284371,0.0483946245171647,TRUE
"Lachnospiraceae_bacterium_MD335","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Unclassified|s__Lachnospiraceae_bacterium_MD335",0.00507486809794025,0.00507486809794025,0.013065226764426,2.80664624467096,2.76256105093941,2.78460364780519,"Down","Up",0.0446435491284371,0.0483946245171647,TRUE
"bacterium_1XD21_70","k__Bacteria|p__Unclassified|c__Unclassified|o__Unclassified|f__Unclassified|g__Unclassified|s__bacterium_1XD21_70",0.00507486809794025,0.00507486809794025,0.00507486809794025,2.66566356715835,2.86645819632327,2.76606088174081,"Down","Up",0.0446435491284371,0.0483946245171647,TRUE
"Lachnospiraceae_bacterium_3_1","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Unclassified|s__Lachnospiraceae_bacterium_3_1",0.00507486809794025,0.00507486809794025,0.688920555804461,2.66492085806576,2.80739082957376,2.73615584381976,"Down","Up",0.0446435491284371,0.0483946245171647,TRUE
"Ruminococcus_sp._1xD21_23","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_sp._1xD21_23",0.00507486809794025,0.00507486809794025,0.229766270461138,2.63792723306143,2.78614241019689,2.71203482162916,"Down","Up",0.0446435491284371,0.0483946245171647,TRUE
"uncultured_Clostridium_sp.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__uncultured_Clostridium_sp.",0.00507486809794025,0.00507486809794025,0.013065226764426,2.52843118901165,2.84974071503505,2.68908595202335,"Down","Up",0.0446435491284371,0.0483946245171647,TRUE
"Eubacterium_sp._14_2","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp._14_2",0.00507486809794025,0.00507486809794025,0.229766270461138,2.46496843631618,2.8733214894858,2.66914496290099,"Down","Up",0.0446435491284371,0.0483946245171647,TRUE
"Dorea_sp._5_2","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp._5_2",0.00507486809794025,0.00507486809794025,0.00823901882572464,2.52493853490023,2.76027558539573,2.64260706014798,"Down","Up",0.0446435491284371,0.0483946245171647,TRUE
"uncultured_Bacteroides_sp.","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__uncultured_Bacteroides_sp.",0.00507486809794025,0.00507486809794025,0.00507486809794025,2.67689967739268,2.58223101290046,2.62956534514657,"Up","Down",0.0446435491284371,0.0483946245171647,TRUE
"bacterium_C_53","k__Bacteria|p__Unclassified|c__Unclassified|o__Unclassified|f__Unclassified|g__Unclassified|s__bacterium_C_53",0.00507486809794025,0.00507486809794025,0.471169998490056,2.51942874128525,2.70032449536862,2.60987661832693,"Down","Up",0.0446435491284371,0.0483946245171647,TRUE
"Prevotella_sp._CAG_279","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp._CAG_279",0.00507486809794025,0.00507486809794025,0.00499812476508246,2.55572301879833,2.5768497800048,2.56628639940156,"Up","Down",0.0446435491284371,0.0483946245171647,TRUE
"Prevotella_sp._P3_122","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp._P3_122",0.00507486809794025,0.00507486809794025,0.00433691328645908,2.47165692804388,2.63685225685866,2.55425459245127,"Up","Down",0.0446435491284371,0.0483946245171647,TRUE
"Enterocloster_clostridioformis","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_clostridioformis",0.00823901882572464,0.00507486809794025,0.00507486809794025,2.44801165193011,2.65517438443987,2.55159301818499,"Down","Up",0.0583006854355806,0.0483946245171647,FALSE
"[Eubacterium]_rectale","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Unclassified|s__[Eubacterium]_rectale",0.00507486809794025,0.00507486809794025,0.128205275030392,2.35078188447434,2.58778573761092,2.46928381104263,"Down","Up",0.0446435491284371,0.0483946245171647,TRUE
"Lachnospiraceae_bacterium_M18_1","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Unclassified|s__Lachnospiraceae_bacterium_M18_1",0.00823901882572464,0.00507486809794025,0.0306389879377033,2.28322771417393,2.62235163946215,2.45278967681804,"Down","Up",0.0583006854355806,0.0483946245171647,FALSE
"Roseburia_intestinalis","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis",0.00507486809794025,0.00507486809794025,0.688920555804461,2.10381353687878,2.76234434480344,2.43307894084111,"Down","Up",0.0446435491284371,0.0483946245171647,TRUE
"Lachnospiraceae_bacterium_MD308","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Unclassified|s__Lachnospiraceae_bacterium_MD308",0.00823901882572464,0.00823901882572464,0.0926958025578126,2.23684867666334,2.42354694674643,2.33019781170488,"Down","Up",0.0583006854355806,0.0602425165169608,FALSE
"[Ruminococcus]_gnavus","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__[Ruminococcus]_gnavus",0.00507486809794025,0.00823901882572464,0.0202405705770775,2.23306836847023,2.42053928494044,2.32680382670534,"Down","Up",0.0446435491284371,0.0602425165169608,FALSE
"Roseburia_inulinivorans","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans",0.00823901882572464,0.00507486809794025,0.297953061608168,2.0132382342147,2.60117474319956,2.30720648870713,"Down","Up",0.0583006854355806,0.0483946245171647,FALSE
"Paraprevotella_clara","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_clara",0.00507486809794025,0.00507486809794025,0.00499812476508246,2.13825457811605,2.31240101237538,2.22532779524572,"Up","Down",0.0446435491284371,0.0483946245171647,TRUE
"Enterocloster_bolteae","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_bolteae",0.00823901882572464,0.00823901882572464,0.00507486809794025,2.09044268542392,2.30223021905224,2.19633645223808,"Down","Up",0.0583006854355806,0.0602425165169608,FALSE
"Flavobacteriales_bacterium","k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Unclassified|g__Unclassified|s__Flavobacteriales_bacterium",0.00507486809794025,0.00507486809794025,0.00433691328645908,2.17719673186586,2.16389519046997,2.17054596116792,"Up","Down",0.0446435491284371,0.0483946245171647,TRUE
"Lachnospiraceae_bacterium","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Unclassified|s__Lachnospiraceae_bacterium",0.00507486809794025,0.00507486809794025,0.00507486809794025,2.02176797814135,2.24367560461107,2.13272179137621,"Down","Up",0.0446435491284371,0.0483946245171647,TRUE
"bacterium_1XD42_8","k__Bacteria|p__Unclassified|c__Unclassified|o__Unclassified|f__Unclassified|g__Unclassified|s__bacterium_1XD42_8",0.00507486809794025,0.00507486809794025,0.00823901882572464,2.08289416656492,2.17456354505161,2.12872885580827,"Down","Up",0.0446435491284371,0.0483946245171647,TRUE
"Acetivibrio_ethanolgignens","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Acetivibrio|s__Acetivibrio_ethanolgignens",0.00507486809794025,0.00507486809794025,0.688920555804461,2.05420804437565,2.18507668970482,2.11964236704023,"Down","Up",0.0446435491284371,0.0483946245171647,TRUE
