"Taxon","descrition","eggNOG_Class","Category","Taxa_Full","p_Model_vs_Control","p_HQQD_vs_Model","p_Model_vs_LVX","q_Model_vs_Control","q_HQQD_vs_Model","FDR_corrected_callback","LDA_Model_Control","LDA_HQQD_Model","LDA_avg","Trend_Model_vs_Control","Trend_HQQD_vs_Model"
"COG3385","transposase","[L]: Replication, recombination and repair","INFORMATION STORAGE AND PROCESSING","NOG__COG3385",0.00507486809794025,0.00823901882572464,0.00499812476508246,0.0274612115367139,0.0406336540645987,TRUE,2.89695881186013,2.99755390844458,2.94725636015236,"Up","Down"
"COG0534","Mate efflux family protein","[V]: Defense mechanisms","CELLULAR PROCESSES AND SIGNALING","NOG__COG0534",0.00823901882572464,0.00507486809794025,0.00507486809794025,0.0376135109574338,0.0313145627133993,TRUE,2.70453328483229,2.81027590737761,2.75740459610495,"Down","Up"
"COG2972","Histidine kinase","[T]: Signal transduction mechanisms","CELLULAR PROCESSES AND SIGNALING","NOG__COG2972",0.00507486809794025,0.00507486809794025,0.00507486809794025,0.0274612115367139,0.0313145627133993,TRUE,2.63512157291579,2.71452035983206,2.67482096637393,"Down","Up"
"COG3279","regulator","[T]: Signal transduction mechanisms","CELLULAR PROCESSES AND SIGNALING","NOG__COG3279",0.00507486809794025,0.00507486809794025,0.00507486809794025,0.0274612115367139,0.0313145627133993,TRUE,2.64597941806911,2.62376771856885,2.63487356831898,"Down","Up"
"COG0745","regulatoR","[T]: Signal transduction mechanisms","CELLULAR PROCESSES AND SIGNALING","NOG__COG0745",0.00507486809794025,0.00507486809794025,0.0926958025578126,0.0274612115367139,0.0313145627133993,TRUE,2.52709592696367,2.71817153630909,2.62263373163638,"Down","Up"
"COG0395","Binding-protein-dependent transport systems inner membrane component","[G]: Carbohydrate transport and metabolism","METABOLISM","NOG__COG0395",0.00507486809794025,0.00507486809794025,0.00507486809794025,0.0274612115367139,0.0313145627133993,TRUE,2.5344203322235,2.66666925253353,2.60054479237851,"Down","Up"
"COG0642","Histidine kinase","[T]: Signal transduction mechanisms","CELLULAR PROCESSES AND SIGNALING","NOG__COG0642",0.00507486809794025,0.00507486809794025,0.00823901882572464,0.0274612115367139,0.0313145627133993,TRUE,2.50900486480692,2.65270277395518,2.58085381938105,"Down","Up"
"COG0641","radical SAM domain protein","[R]: General function prediction only","POORLY CHARACTERIZED","NOG__COG0641",0.00507486809794025,0.00507486809794025,0.00507486809794025,0.0274612115367139,0.0313145627133993,TRUE,2.51573773081373,2.61961890547964,2.56767831814668,"Up","Down"
"COG1132","(ABC) transporter","[V]: Defense mechanisms","CELLULAR PROCESSES AND SIGNALING","NOG__COG1132",0.00507486809794025,0.00507486809794025,0.00823901882572464,0.0274612115367139,0.0313145627133993,TRUE,2.66982368918161,2.43256798731609,2.55119583824885,"Down","Up"
"COG1175","binding-protein-dependent transport systems inner membrane Component","[P]: Inorganic ion transport and metabolism","METABOLISM","NOG__COG1175",0.00507486809794025,0.00507486809794025,0.00507486809794025,0.0274612115367139,0.0313145627133993,TRUE,2.49486479976649,2.56481205760919,2.52983842868784,"Down","Up"
"COG0840","Methyl-accepting chemotaxis","--","--","NOG__COG0840",0.00507486809794025,0.00507486809794025,0.128205275030392,0.0274612115367139,0.0313145627133993,TRUE,2.49714042490603,2.55825165722741,2.52769604106672,"Down","Up"
"COG2207","Transcriptional regulator, ARAC family","[K]: Transcription","INFORMATION STORAGE AND PROCESSING","NOG__COG2207",0.00507486809794025,0.013065226764426,0.00507486809794025,0.0274612115367139,0.050146586083754,FALSE,2.45140640322761,2.59325165896286,2.52232903109524,"Down","Up"
"COG1653","extracellular solute-binding protein family 1","[G]: Carbohydrate transport and metabolism","METABOLISM","NOG__COG1653",0.00507486809794025,0.00507486809794025,0.00507486809794025,0.0274612115367139,0.0313145627133993,TRUE,2.48748604215424,2.55574695997583,2.52161650106504,"Down","Up"
"NOG45121","Transposase (IS4","[L]: Replication, recombination and repair","INFORMATION STORAGE AND PROCESSING","NOG__NOG45121",0.013065226764426,0.00823901882572464,0.00499812476508246,0.047452250173271,0.0406336540645987,TRUE,2.3847503854277,2.48754401901923,2.43614720222346,"Up","Down"
"COG2204","two component, sigma54 specific, transcriptional regulator, Fis family","[T]: Signal transduction mechanisms","CELLULAR PROCESSES AND SIGNALING","NOG__COG2204",0.00823901882572464,0.00507486809794025,0.00507486809794025,0.0376135109574338,0.0313145627133993,TRUE,2.3320911502568,2.53462860080082,2.43335987552881,"Up","Down"
"COG3943","Toxin-antitoxin system, toxin component, Fic family","[S]: Function unknown","POORLY CHARACTERIZED","NOG__COG3943",0.00507486809794025,0.00507486809794025,0.00507486809794025,0.0274612115367139,0.0313145627133993,TRUE,2.48094780677426,2.382977040671,2.43196242372263,"Up","Down"
"COG4753","Transcriptional regulator (AraC family)","[T]: Signal transduction mechanisms","CELLULAR PROCESSES AND SIGNALING","NOG__COG4753",0.00507486809794025,0.00507486809794025,0.00507486809794025,0.0274612115367139,0.0313145627133993,TRUE,2.34959316622324,2.51426608000863,2.43192962311593,"Down","Up"
"COG1609","Transcriptional regulator","[K]: Transcription","INFORMATION STORAGE AND PROCESSING","NOG__COG1609",0.00507486809794025,0.00507486809794025,0.0306389879377033,0.0274612115367139,0.0313145627133993,TRUE,2.39098502710489,2.43436549085067,2.41267525897778,"Down","Up"
"COG0732","restriction modification system DNA specificity","[V]: Defense mechanisms","CELLULAR PROCESSES AND SIGNALING","NOG__COG0732",0.00823901882572464,0.00823901882572464,0.00507486809794025,0.0376135109574338,0.0406336540645987,TRUE,2.44389538096395,2.3438895928845,2.39389248692423,"Up","Down"
"COG1136","(ABC) transporter","[V]: Defense mechanisms","CELLULAR PROCESSES AND SIGNALING","NOG__COG1136",0.00507486809794025,0.00507486809794025,0.128205275030392,0.0274612115367139,0.0313145627133993,TRUE,2.32787124949109,2.37609732390371,2.3519842866974,"Down","Up"
"COG4804","Conserved protein","[S]: Function unknown","POORLY CHARACTERIZED","NOG__COG4804",0.00507486809794025,0.00507486809794025,0.00507486809794025,0.0274612115367139,0.0313145627133993,TRUE,2.19909423263064,2.49817307561912,2.34863365412488,"Up","Down"
"COG1307","degv family","[S]: Function unknown","POORLY CHARACTERIZED","NOG__COG1307",0.00507486809794025,0.00507486809794025,0.00507486809794025,0.0274612115367139,0.0313145627133993,TRUE,2.2760412325598,2.37136845896021,2.32370484576,"Down","Up"
"NOG00011","Histidine kinase","[T]: Signal transduction mechanisms","CELLULAR PROCESSES AND SIGNALING","NOG__NOG00011",0.00823901882572464,0.00507486809794025,0.0453275620779722,0.0376135109574338,0.0313145627133993,TRUE,2.1600209585479,2.48506843381584,2.32254469618187,"Down","Up"
"COG4974","Site-specific tyrosine recombinase, which acts by catalyzing the cutting and rejoining of the recombining DNA molecules. The XerC-XerD complex is essential to convert dimers of the bacterial chromosome into monomers to permit their segregation at cell division. It also contributes to the segregational stability of plasmids (By similarity)","[L]: Replication, recombination and repair","INFORMATION STORAGE AND PROCESSING","NOG__COG4974",0.00507486809794025,0.00507486809794025,0.00507486809794025,0.0274612115367139,0.0313145627133993,TRUE,2.16973148331804,2.4543243077367,2.31202789552737,"Up","Down"
"COG0366","alpha amylase, catalytic","[G]: Carbohydrate transport and metabolism","METABOLISM","NOG__COG0366",0.00507486809794025,0.00823901882572464,0.00507486809794025,0.0274612115367139,0.0406336540645987,TRUE,2.44012378656583,2.13768666269945,2.28890522463264,"Down","Up"
"COG0526","Thioredoxin","[O]: Posttranslational modification, protein turnover, chaperones","CELLULAR PROCESSES AND SIGNALING","NOG__COG0526",0.00507486809794025,0.00507486809794025,0.810181236410474,0.0274612115367139,0.0313145627133993,TRUE,2.10919451592177,2.46188927186594,2.28554189389386,"Up","Down"
"COG1022","Amp-dependent synthetase and ligase","[I]: Lipid transport and metabolism","METABOLISM","NOG__COG1022",0.00507486809794025,0.00823901882572464,0.00507486809794025,0.0274612115367139,0.0406336540645987,TRUE,2.25752116395099,2.2886654951747,2.27309332956284,"Up","Down"
"COG1397","ADP-ribosylation Crystallin J1","[O]: Posttranslational modification, protein turnover, chaperones","CELLULAR PROCESSES AND SIGNALING","NOG__COG1397",0.00507486809794025,0.00507486809794025,0.00507486809794025,0.0274612115367139,0.0313145627133993,TRUE,2.32052141995828,2.16671119575249,2.24361630785538,"Up","Down"
"COG0612","peptidase'","[O]: Posttranslational modification, protein turnover, chaperones","CELLULAR PROCESSES AND SIGNALING","NOG__COG0612",0.00823901882572464,0.00823901882572464,0.00507486809794025,0.0376135109574338,0.0406336540645987,TRUE,2.11400642723836,2.36156765772356,2.23778704248096,"Up","Down"
"NOG20373","--","[S]: Function unknown","POORLY CHARACTERIZED","NOG__NOG20373",0.00507486809794025,0.00507486809794025,0.00277843011009903,0.0274612115367139,0.0313145627133993,TRUE,2.16998496602717,2.28393761992736,2.22696129297727,"Up","Down"
"COG1538","Membrane","[M]: Cell wall/membrane/envelope biogenesis","CELLULAR PROCESSES AND SIGNALING","NOG__COG1538",0.00823901882572464,0.00507486809794025,0.00507486809794025,0.0376135109574338,0.0313145627133993,TRUE,2.06956032355426,2.37359104403317,2.22157568379371,"Up","Down"
"COG0789","Transcriptional regulator","[K]: Transcription","INFORMATION STORAGE AND PROCESSING","NOG__COG0789",0.00507486809794025,0.00507486809794025,0.00507486809794025,0.0274612115367139,0.0313145627133993,TRUE,2.08365927636749,2.35323820860308,2.21844874248528,"Down","Up"
