Genus,K1,K2,K3,K4,K5,K6,M1,M2,M3,M4,M5,M6,Y1,Y2,Y3,Y4,Y5,Y6,Z1,Z2,Z3,Z4,Z5,Z6
Unclassified,0.678534981290396,0.685741586155643,0.645795438645586,0.657547081420407,0.684654808561954,0.631144642225628,0.583862474833514,0.531178785995442,0.626960352422907,0.602884082085413,0.573910719059075,0.589886079466518,0.344265952699688,0.256992084432718,0.366796837794076,0.314034444851594,0.365520554526114,0.388848660391021,0.608609151745343,0.543976515750254,0.753302611367128,0.698621514445773,0.729821442999111,0.605737479361585
Acutalibacter,0.00306157160675814,0.0048837456205542,0.0100041975654121,0.00918204815890565,0.010611998794091,0.00542260992573382,0.00495586185535078,0.00290035218562254,0.00211453744493392,0.00582362728785358,0.00106923282544774,0.00166712975826619,0.107764390896921,0.207563764291996,0.334317554052767,0.387565652864297,0.316587742776748,0.25866924129053,0.00397901971423404,0.00553234729592413,0.00112647209421403,0.00623151003965506,0.00331259594408984,0.00543478260869565
Anaerotruncus,0.00113391540991042,0.000318505149166578,0.00104939135301525,0.0007495549517474,0.00066324992463069,0.00259342213839444,0.00557534458726963,0.00828672053035011,0.00299559471365639,0.00221852468108708,0.00614808874632451,0.00444567935537649,0.313364569388666,0.356552330694811,0.150204781407753,0.163307682911934,0.140210006176652,0.221015367286186,0.000813890396093326,0.0120808400135486,0.00112647209421403,0.000692390004406118,0,0.00130709961474959
Roseburia,0.053860981970745,0.0532965282938741,0.0738771512522737,0.062400449732971,0.066324992463069,0.0607096546033243,0.036549481183212,0.068779780401906,0.053215859030837,0.0415973377703827,0.0513231756214916,0.0608502361767158,0.000334672021419009,0,0,0,0.000137258938988402,0.000321827982943117,0.129499005245071,0.0923563283278763,0.0844854070660522,0.048278466670863,0.0451240203603458,0.144400110071547
Clostridium,0.072797369316249,0.0620023357044272,0.02798376941374,0.0282956994284643,0.0300271329514622,0.119533184015089,0.0275669815703887,0.0988191423244251,0.0348898678414097,0.026344980587909,0.0489174017642342,0.045290358432898,0.0131637661758144,0.0019349164467898,0.000761977331174398,0.0234518138512276,0.00267654931027383,0.00168959691045136,0.0308374027853138,0.0747431410184035,0.0227342549923195,0.0414175111726569,0.043063747273168,0.0312328013208586
Oscillibacter,0.0141739426238803,0.0198534876313834,0.0570169301804953,0.0553733720603392,0.0585468797105819,0.0155605328303666,0.0765061173919777,0.0439196188108556,0.0669603524229075,0.0590682196339434,0.0441058540497193,0.0461239233120311,0.0147255689424364,0.00879507475813544,0.00504809981903038,0.00513008427995603,0.0427561594948871,0.0395043849062676,0.035449448363176,0.0846787851416958,0.00849974398361495,0.0370743375086549,0.0178960976003878,0.0505641166758393
Eubacterium,0.0636126544959746,0.0575432636160951,0.113124387855044,0.103251194603204,0.0667470605969249,0.0280561122244489,0.028496205668267,0.0250673296043091,0.0345374449339207,0.0316139767054908,0.0261962042234697,0.0252848013337038,0.0118250780901383,0.00140721196130167,0.0495285265263358,0.0031757664590204,0.0317068149063208,0.0221256738273393,0.0156447820582384,0.0665010725979451,0.0128008192524322,0.00522439730597344,0.005696049123374,0.0185745734727573
Desulfovibrio,0.0156480326567638,0.00966132285805287,0.0158807891422975,0.00627752272088448,0.00886343081097377,0.00695508664387599,0.0627226266067833,0.0631862440439196,0.0401762114537445,0.0574043261231281,0.0692328254477412,0.0694637399277577,0,0,0,0,0,0,0.0189907759088443,0.00959692898272553,0.0231438812083973,0.027254988355259,0.0251272521612669,0.0161667583929554
Ruminococcus,0.021657784329289,0.0220830236755494,0.0135021687421296,0.0107748524313689,0.0115164305094965,0.0425556996345632,0.019358835372464,0.0111870727159727,0.025726872246696,0.0188574597892402,0.0189788826516974,0.0208391219783273,0.0448460508701473,0.00246262093227792,0.0311458234117535,0.0218639306217174,0.0280008235536339,0.00949392549682195,0.0170012660517273,0.00779044823303602,0.00829493087557604,0.0114559073456285,0.00674638442271956,0.0169922949917446
Escherichia,0,0,0,0,0,0,0.0455319807960353,0.0161591050341827,0.0343612334801762,0.0579589572933999,0.0510558674151296,0.0489024729091414,0,0,0,0,0,0,0.0548923856031832,0.0335327989161116,0.014336917562724,0.0162396928306162,0.0139371414720853,0.0341221794166208
Blautia,0.000680349245946252,0.002017199278055,0.00020987827060305,0.000468471844842125,0,0.0108452198514676,0.00820814619792473,0.0211311373523928,0.00352422907488987,0.0138657792567942,0.00775193798449612,0.00555709919422062,0.000780901383311022,0.000527704485488127,0.000380988665587199,0.000610724319042384,0.00336284400521584,0.00112639794030091,0.00958582022065473,0,0.0266257040450589,0.0484043557625732,0.0595055344590773,0.00742982938910292
Hydrogenoanaerobacterium,0.000340174622973126,0,0.0002798376941374,0.0003747774758737,0.000482363581549593,0,0,0.000207168013258753,0,0.000554631170271769,0,0,0.0570058009817046,0.0817941952506596,0.00666730164777598,0.0200317576645902,0.00610802278498387,0.00168959691045136,0,0,0,0.000125889091710203,0,0
Mucispirillum,0.0168953396076653,0.0222953604416605,0,0,0,0,0.0238500851788756,0.0370830743733168,0.0123348017621145,0.0146977260122019,0.0213846565089548,0.017782717421506,0,0,0,0,0,0,0,0,0,0,0,0
Enterocloster,0.00771062478739086,0.00583926106805393,0.00188890443542745,0.00140541553452637,0.000904431715405487,0.00106094542025227,0.00418150844045222,0.0124300807955252,0.00352422907488987,0.00166389351081531,0.0117615610799252,0.0116699083078633,0.0121597501115573,0.0121372031662269,0.00600057148299838,0.00451935996091364,0.00130395992038982,0.00933301150535039,0.0169108337854947,0.0105001693575703,0.00174091141833077,0.00528734185182854,0.00238345317928416,0.0143093010456797
Phascolarctobacterium,0.00510261934459689,0.00541458753583183,0.000489715964740451,0.0014991099034948,0.00072354537232439,0.00353648473417423,0.0128542666873161,0.0130515848353014,0.0079295154185022,0.0149750415973378,0.020850040096231,0.0161155876632398,0,0,0,0,0,0,0.00434074877916441,0.00530653720221294,0.00225294418842806,0.00446906275571222,0.00222186313323099,0.00330214639515685
Flavonifractor,0,0,0.0002798376941374,0.0026234423311159,0.00120590895387398,0.00176824236708712,0.00542047390428992,0.00165734410607002,0.00105726872246696,0,0.00400962309542903,0.00166712975826619,0.00981704596162427,0.0311345646437995,0.0151442994570912,0.0152681079760596,0.0107748267105895,0,0.00126605172725628,0.000903240374844756,0.000204813108038914,0.000503556366840813,0.000323180092106326,0.000481563015960374
Neglecta,0,0,0,0,0,0,0,0,0,0,0,0,0.0172913877733155,0.0212840809146878,0.00704829031336318,0.00818370587516795,0.0113238624665431,0.0249416686780916,0,0,0,0,0,0
Helicobacter,0.000453566163964168,0,0.00853504967119071,0.0211749273868641,0.0177871570696412,0.0259342213839444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butyricicoccus,0.0021544392788298,0.00212336766111052,0.00216874212956485,0.00421624660357912,0.00554718118782032,0.000943062595779795,0.00511073253833049,0.00207168013258753,0.00370044052863436,0.00166389351081531,0.00187115744453355,0.00111141983884412,0.00178491744756805,0.000703605980650836,0.00380988665587199,0.00390863564187126,0.0104316793631185,0.00378147879958162,0.00425031651293181,0.00146776560912273,0.00122887864823349,0.00151066910052244,0.000888745253292397,0.00350853054485416
Acetatifactor,0.00374192085270439,0.00297271472555473,0.0033580523296488,0.00468471844842125,0.00446186312933374,0.00389013320759165,0.00154870682979712,0.00497203231821007,0.00158590308370044,0.000554631170271769,0.00347500668270516,0.00277854959711031,0.000446229361892012,0,0,0.000122144863808477,0,0,0.00425031651293181,0.00372586654623462,0.00276497695852535,0.0039655063888714,0.00242385069079745,0.0042652724270776
Anaerosporobacter,0,0.000318505149166578,0.00020987827060305,0.0003747774758737,0.000120590895387398,0,0.000464612048939136,0.000621504039776259,0.00123348017621145,0.000554631170271769,0.00106923282544774,0.000555709919422062,0,0,0,0,0,0,0.00307469705190812,0.000903240374844756,0.00962621607782898,0.013596021904702,0.0162801971398562,0.00316455696202532
Schaedlerella,0.00158748157387459,0.00233570442722157,0.00314817405904575,0.003747774758737,0.00295447693699126,0.00106094542025227,0.000929224097878272,0.00103584006629376,0,0.00221852468108708,0,0,0,0,0,0,0,0,0.00488334237655996,0.000338715140566783,0.00634920634920635,0.00478378548498773,0.00553445907732084,0.00529719317556412
Dorea,0.000680349245946252,0.00116785221361079,0.0018189450118931,0.00056216621381055,0.00223093156466687,0.00436166450548155,0.0012389654638377,0,0.00123348017621145,0.00305047143649473,0,0.00111141983884412,0.00189647478804105,0,0.000285741499190399,0.00415292536948821,0,0,0.00633025863628143,0.00158067065597832,0.000307219662058372,0.0037766727513061,0.00371657105922275,0.0066042927903137
Marasmitruncus,0.000340174622973126,0.000637010298333156,0.00020987827060305,0,0.000301477238468496,0,0.00201331887873626,0.00165734410607002,0.000704845814977974,0.00138657792567942,0.00213846565089548,0.00138927479855515,0.00323516287371709,0.000351802990325418,0.00314315649109439,0,0.0141376707158054,0.00683884463754123,0.00135648399348888,0.00338715140566783,0.000614439324116743,0.000566500912695915,0,0.000963126031920749
Anaerovorax,0.00408209547567751,0.00477757723749867,0,0.0003747774758737,0.000180886343081097,0,0.00542047390428992,0.00227884814584628,0.00704845814977974,0.00610094287298946,0.00427693130179096,0.00388996943595443,0,0,0,0,0.000137258938988402,0,0,0.00191938579654511,0.000512032770097286,0,0,0.000206384149697303
Lachnoclostridium,0.0013606984918925,0.00233570442722157,0.00454736252973276,0.0059964396139792,0.00602954476936991,0.0045974301544265,0.00216818956171597,0.0035218562253988,0.000352422907488987,0.000554631170271769,0.00106923282544774,0.00111141983884412,0.000334672021419009,0.000879507475813544,0,0,0,0.000241370987207338,0.00235123892204739,0,0.00112647209421403,0.000314722729275508,0,0.00206384149697303
Kineothrix,0.00113391540991042,0.00212336766111052,0.00356793060025185,0.00384146912770542,0.00410009044317154,0.00365436755864671,0.00154870682979712,0.00248601615910503,0.0026431718061674,0.000831946755407654,0.00160384923817161,0.00111141983884412,0,0,0,0,0,0,0.00289383251944294,0.00338715140566783,0.000409626216077829,0.00144772455466734,0.000767552718752525,0.00295817281232801
Faecalibaculum,0,0,0,0,0,0,0.000929224097878272,0.00310752019888129,0.000881057268722467,0.00110926234054354,0,0.000833564879133093,0,0,0,0,0,0,0.0055163682401881,0.00327424635881224,0.00665642601126472,0.00547617548939384,0.00488809889310818,0.00282058337919648
Intestinibacillus,0.000226783081982084,0.000424673532222104,0.00118931020008395,0.000468471844842125,0.000180886343081097,0,0.00108409478085798,0,0.00052863436123348,0.000554631170271769,0.000534616412723871,0.000833564879133093,0.00591253904506917,0.00105540897097625,0.00352414515668159,0.00732869182850861,0.00109807151190721,0.000724112961622013,0.000633025863628142,0.00146776560912273,0.000204813108038914,0.00182539182979795,0.00105033529934556,0.000756741882223445
Pygmaiobacter,0,0,0.00104939135301525,0.00121802679658952,0.00180886343081097,0.000707296946834846,0.0026328016106551,0.00145017609281127,0.00281938325991189,0.00110926234054354,0.00160384923817161,0.00166712975826619,0,0.000703605980650836,0.00238117915991999,0.00207646268474411,0.00363736188319264,0.000724112961622013,0.000452161331162959,0.00225810093711189,0.000307219662058372,0.000944168187826525,0.000403975115132908,0.00130709961474959
Romboutsia,0.00102052386891938,0.000849347064444209,0.0001399188470687,0.0003747774758737,0.000422068133855894,0.0041258988565366,0.00108409478085798,0,0.000704845814977974,0.00194120909595119,0.00106923282544774,0.000833564879133093,0.00145024542614904,0.0019349164467898,0.0015239546623488,0.000977158910467815,0.00116670098140141,0.00305736583795961,0.00235123892204739,0.00135486056226713,0.000819252432155658,0.00100711273368163,0.000969540276318979,0.00137589433131536
