Genus,K1,K2,K3,K4,K5,K6,M1,M2,M3,M4,M5,M6,Y1,Y2,Y3,Y4,Y5,Y6,Z1,Z2,Z3,Z4,Z5,Z6
Unclassified,0.490339523541549,0.518386491557223,0.582183186951067,0.507628524046435,0.563636363636364,0.297279450607501,0.360623299530052,0.34622144112478,0.365660709053619,0.334144363341444,0.344009042954032,0.335243553008596,0.269739192568775,0.184982186900521,0.230700778642937,0.149747358750574,0.313357884164714,0.324320050600886,0.444938623020815,0.410666113301515,0.433514774494557,0.369560131024801,0.361003549532107,0.49021880886828
Clostridium,0.120052522978803,0.0984990619136961,0.0610623170221665,0.0558872305140962,0.0545454545454545,0.0258848388800845,0.197872866683156,0.192267135325132,0.174919425725168,0.195458231954582,0.215146948003014,0.224314367580843,0.138442300821722,0.212661003014525,0.0947719688542825,0.122186495176849,0.0682959491128222,0.0241935483870968,0.075253513609678,0.212699730234488,0.128499222395023,0.19220870379036,0.181106808647951,0.0695551369366758
Roseburia,0.0686550365785031,0.075046904315197,0.0302523351456852,0.0328358208955224,0.0318486882245272,0.0187533016376123,0.0366064803363839,0.0622144112478032,0.046000585994726,0.0446066504460665,0.0489826676714393,0.0495292672943103,0.0117899249732047,0.00438476294875308,0.0146829810901001,0.00780891134588884,0.0132239705390023,0.00996204933586338,0.0935776552214908,0.0684789375389085,0.0915629860031104,0.0659803462798315,0.0663117134559535,0.0989711635994783
Ruminococcus,0.0485837553929844,0.05046904315197,0.0379199776941308,0.0822553897180763,0.0544234289200732,0.0471473851030111,0.0479841701706653,0.0260105448154657,0.0750073249340756,0.0575831305758313,0.0376789751318764,0.0442079410560786,0.0234012147195427,0.00274047684297068,0.0411568409343715,0.10335323840147,0.030967525945765,0.0128083491461101,0.0225938445116527,0.0329943971778377,0.0386858475894246,0.0417641553579785,0.0432397547595999,0.0236197652514128
Subdoligranulum,0.00112549240292628,0.000938086303939962,0.000418235048097031,0.00066334991708126,0.000976205003050641,0.00264131008980454,0.00123670541676973,0,0.000585994726047466,0.0008110300081103,0,0,0.104322972490175,0.198958618799671,0.149054505005562,0.13114377583831,0.129896216940074,0.259803921568627,0.00177904287493329,0,0.000388802488335925,0.00233972859148339,0.00112939657954179,0.00231850456455586
Lactobacillus,0.0384543237666479,0.024015009380863,0.0209117524048515,0.0285240464344942,0.0198901769371568,0.43608029582673,0.054167697254514,0.0186291739894552,0.0550835042484618,0.0628548256285483,0.0418236623963828,0.0450266066311912,0.00785994998213648,0.0084954782132091,0.0017797552836485,0.00987597611391824,0.00518915299631738,0.00268817204301075,0.0371819960861057,0.0122432039842291,0.00213841368584759,0.00128685072531586,0.00137141013230074,0.0127517751050572
Acutalibacter,0.0065653723504033,0.00600375234521576,0.0231423393280357,0.0238805970149254,0.023672971323978,0.00330163761225568,0.0170665347514222,0.0221441124780316,0.0167008496923528,0.0117599351175994,0.0229841748304446,0.0135079819893573,0.0285816362986781,0.0301452452726774,0.200222469410456,0.266192007349564,0.0821894877803817,0.0583491461100569,0.0161892901618929,0.0190910977381199,0.0106920684292379,0.0136874122601778,0.00572765408196192,0.0199971018692943
Eubacterium,0.0450196961170512,0.0431519699812383,0.0469817370695664,0.066832504145937,0.0503965832824893,0.0213946117274168,0.0187979223348998,0.0579964850615114,0.0240257837679461,0.021492295214923,0.039939713639789,0.0413426115431846,0.00321543408360129,0,0.0509454949944383,0.0119430408819476,0.0677937730164044,0.0297280202403542,0.0346913360611991,0.0468976966175555,0.0437402799377916,0.0398923724847918,0.0496934494998387,0.0318794377626431
Blautia,0.0174451322453573,0.0198874296435272,0.0302523351456852,0.0266998341625207,0.0226967663209274,0.0187533016376123,0.00816225575068019,0.0365553602811951,0.0111338997949018,0.0145985401459854,0.0139412207987943,0.0151453131395825,0.0037513397642015,0.00383666758015895,0.000667408231368187,0.000459347726228755,0.00485436893203883,0.00110689437065149,0.0416296032734389,0.0153558829632704,0.0274105754276827,0.0501871782873187,0.0542917070022588,0.0404289233444428
Paenibacillus,0.00543987994747702,0.00694183864915572,0.0013941168269901,0.00265339966832504,0.00268456375838926,0.00356576862123613,0.00667820925055652,0.0123022847100176,0.00292997363023733,0.0016220600162206,0.00904295403165034,0.00654932460090053,0.0984280100035727,0.152096464784873,0.0182424916573971,0.0438677078548461,0.0217609641781051,0.00664136622390892,0.00942892723714642,0.00228263125129695,0.0235225505443235,0.0084230229293402,0.00726040658276864,0.00956383132879293
