#ID,name,HMDB_ID,CAS,kingdom(HMDB),super_class(HMDB),class(HMDB),sub_class(HMDB)
neg_10000,Cucurbic acid,HMDB0029388,58240-50-9,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives
neg_10011,5a-Tetrahydrocorticosterone,HMDB0000449,600-63-5,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids
neg_10020,Calenduloside B,HMDB0039413,34381-98-1,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides
neg_10024,Fosteabine,HMDB0252470,--,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
neg_10025,Cyclohexanecarboxylic acid,HMDB0031342,98-89-5,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids
neg_10026,"16alpha-Hydroxyandrost-4-ene-3,17-dione",HMDB0006774,1963/2/5,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids
neg_10030,Methyl-delta-ionone,HMDB0032397,7784-98-7,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids
neg_10038,Annuolide G,HMDB0034605,--,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene lactones
neg_10042,Pregnanolone,HMDB0062782,128-20-1,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids
neg_10044,Ajmalicine,HMDB0248072,--,Organic compounds,Alkaloids and derivatives,Yohimbine alkaloids,--
neg_10045,"DG(10:0/20:4(6E,8Z,11Z,13E)-2OH(5S,15S)/0:0)",HMDB0294549,--,--,--,--,--
neg_10051,Glycerylphosphorylethanolamine,HMDB0000114,1190-00-7,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines
neg_10053,4-Hydroxyantipyrine,HMDB0060878,--,Organic compounds,Organoheterocyclic compounds,Azoles,Pyrazoles
neg_10054,13(S)-HpODE,HMDB0003871,33964-75-9,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives
neg_10058,Monoketocholic acid,HMDB0254862,--,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives"
neg_10063,Gentamicin C2,HMDB0252691,--,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
neg_10068,"(2S,4R)-p-Mentha-1(7),5-dien-2-ol",HMDB0035277,29332-98-7,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids
neg_10069,Loteprednol,HMDB0015011,82034-46-6,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids
neg_10080,Serotonin,HMDB0000259,50-67-9,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Tryptamines and derivatives
neg_10081,N-Linoleoyl Proline,HMDB0241983,--,--,--,--,--
neg_10082,4-Heptyloxyphenol,HMDB0246434,--,Organic compounds,Benzenoids,Phenols,4-alkoxyphenols
neg_10083,"PC(17:2(9Z,12Z)/0:0)",HMDB0256157,--,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines
neg_10089,Lithocholate 3-O-glucuronide,HMDB0002513,75239-91-7,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroidal glycosides
neg_10092,Palustrine,HMDB0256095,--,Organic compounds,Phenylpropanoids and polyketides,Macrolactams,--
neg_10094,Peramine,HMDB0256303,--,Organic compounds,Organoheterocyclic compounds,Pyrrolopyrazines,--
neg_10099,Piperochromanoic acid,HMDB0040634,110979-03-8,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids
neg_10102,Sterebin A,HMDB0035337,107647-14-3,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids
neg_10103,Octadecyl fumarate,HMDB0038073,1741-93-1,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
neg_10104,trans-2-trans-4-Heptadien-1-ol,HMDB0032301,33467-79-7,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols
neg_10107,Xanthosine,HMDB0000299,146-80-5,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,--
neg_10108,MG(PGE1/0:0/0:0),HMDB0260509,--,--,--,--,--
neg_10110,alpha-Tocopheryloxyacetic acid,HMDB0248242,--,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Quinone and hydroquinone lipids
neg_10111,Piperdial,HMDB0035798,100288-36-6,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols
neg_10112,"1,2-Anthraquinone",HMDB0244055,--,Organic compounds,Benzenoids,Anthracenes,Anthraquinones
neg_10121,Avocadyne 2-acetate,HMDB0031047,37139-04-1,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols
neg_10123,"5b-Cholestane-3a,7a,12a,23S,25-pentol",HMDB0000483,59906-15-9,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives"
neg_10124,Fluoroazomycin arabinoside,HMDB0259428,--,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
neg_10128,Hoduloside III,HMDB0039072,146503-30-2,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
neg_10130,Nootkatol,HMDB0013688,53643-07-5,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids
neg_10134,Diplosporin,HMDB0030680,69199-05-9,Organic compounds,Organoheterocyclic compounds,Pyrans,Pyranones and derivatives
neg_10137,L-Glutamine,HMDB0000641,56-85-9,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
neg_10144,Ganoderic acid A,HMDB0034931,81907-62-2,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids
neg_10145,octanoate,HMDB0304443,--,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
neg_10148,7-Ketodeoxycholic acid,HMDB0000391,911-40-0,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives"
