#ID,name,HMDB_ID,CAS,kingdom(HMDB),super_class(HMDB),class(HMDB),sub_class(HMDB)
pos_10000,Gibberellin A25,HMDB0303460,--,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids
pos_10004,11-beta-Hydroxyandrosterone-3-glucuronide,HMDB0010351,--,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Hydroxyindoles
pos_1001,Formyl-5-hydroxykynurenamine,HMDB0012948,958733-17-0,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
pos_10011,3'-DEOXY-3'-FLUOROTHYMIDINE,HMDB0246092,--,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,"Pyrimidine 2',3'-dideoxyribonucleosides"
pos_1004,Capsi-amide,HMDB0040940,64317-66-4,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives
pos_10041,N-Oleoyl Arginine,HMDB0241954,--,--,--,--,--
pos_10060,Dopexamine,HMDB0041882,86197-47-9,Organic compounds,Benzenoids,Phenols,Benzenediols
pos_10061,PA(14:1(9Z)/6 keto-PGF1alpha),HMDB0263086,--,--,--,--,--
pos_1007,Sonchuionoside C,HMDB0035212,126585-76-0,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides
pos_10072,Roxithromycin,HMDB0014916,80214-83-1,Organic compounds,Benzenoids,Benzene and substituted derivatives,--
pos_10073,Macrocin,HMDB0039122,55750-86-2,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids
pos_10077,Solanine,HMDB0034202,20562-02-1,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,--
pos_10080,4-Methyl-4-penten-2-one,HMDB0031564,3744/2/3,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
pos_10081,2-Butoxyethanol,HMDB0031327,111-76-2,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers
pos_10082,Brincidofovir,HMDB0249384,--,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives
