#ID,name,KEGG_annotation,KEGG_pathway_annotation
neg_10000,Cucurbic acid,C08482,--
neg_10013,Gentamicin C1,C07656,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
neg_10024,Fosteabine,C21596,--
neg_10025,Cyclohexanecarboxylic acid,C09822,Metabolic pathways(ko01100)
neg_10026,"16alpha-Hydroxyandrost-4-ene-3,17-dione",C05140,Steroid hormone biosynthesis(ko00140)
neg_10042,Pregnanolone,C05480,Steroid hormone biosynthesis(ko00140);;Metabolic pathways(ko01100)
neg_10044,Ajmalicine,C09024,Metabolic pathways(ko01100)
neg_10054,13(S)-HpODE,C04717,Linoleic acid metabolism(ko00591);;Metabolic pathways(ko01100)
neg_10056,"3alpha-Hydroxy-3,5-dihydromonacolin L acid",C20852,Metabolic pathways(ko01100)
neg_10063,Gentamicin C2,C02033,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
neg_10064,(3R)-11-cis-3-Hydroxyretinal,C18195,Phototransduction - fly(ko04745)
neg_10070,Myriocin,C19914,--
neg_10080,Serotonin,C00780,Tryptophan metabolism(ko00380);;Metabolic pathways(ko01100);;cAMP signaling pathway(ko04024);;Neuroactive ligand-receptor interaction(ko04080);;Axon regeneration(ko04361);;Gap junction(ko04540);;Synaptic vesicle cycle(ko04721);;Serotonergic synapse(ko04726);;Taste transduction(ko04742);;Inflammatory mediator regulation of TRP channels(ko04750);;Bile secretion(ko04976);;Chemical carcinogenesis - receptor activation(ko05207)
neg_10082,4-Heptyloxyphenol,C14236,--
neg_10084,20-Oxo-5-O-beta-mycaminosyltylactone,C20760,Metabolic pathways(ko01100)
neg_10092,Palustrine,C10608,--
neg_10107,Xanthosine,C01762,Purine metabolism(ko00230);;Caffeine metabolism(ko00232);;Metabolic pathways(ko01100);;Nucleotide metabolism(ko01232);;ABC transporters(ko02010)
neg_10111,Piperdial,C09711,--
neg_10130,Nootkatol,C17915,--
neg_10137,L-Glutamine,C00064,"Arginine biosynthesis(ko00220);;Purine metabolism(ko00230);;Pyrimidine metabolism(ko00240);;Alanine, aspartate and glutamate metabolism(ko00250);;D-Amino acid metabolism(ko00470);;Glyoxylate and dicarboxylate metabolism(ko00630);;Vitamin B6 metabolism(ko00750);;Nitrogen metabolism(ko00910);;Aminoacyl-tRNA biosynthesis(ko00970);;Metabolic pathways(ko01100);;Biosynthesis of amino acids(ko01230);;Nucleotide metabolism(ko01232);;Biosynthesis of cofactors(ko01240);;ABC transporters(ko02010);;Glutamatergic synapse(ko04724);;GABAergic synapse(ko04727);;Proximal tubule bicarbonate reclamation(ko04964);;Protein digestion and absorption(ko04974);;Mineral absorption(ko04978);;Central carbon metabolism in cancer(ko05230)"
neg_10139,(S)-DNPA,C12434,Metabolic pathways(ko01100)
neg_10145,octanoate,C06423,Fatty acid biosynthesis(ko00061);;Lipoic acid metabolism(ko00785);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
neg_10167,20-COOH-Leukotriene B4,C05950,Arachidonic acid metabolism(ko00590)
neg_10213,"11beta,17alpha,21-Trihydroxy-5beta-pregnane-3,20-dione",C05471,Steroid hormone biosynthesis(ko00140)
neg_10219,Geldanamycin,C11222,--
neg_10243,Allopregnanolone,C13712,Steroid hormone biosynthesis(ko00140)
neg_10256,Leukotriene D4,C05951,Arachidonic acid metabolism(ko00590);;Metabolic pathways(ko01100);;Neuroactive ligand-receptor interaction(ko04080);;Fc epsilon RI signaling pathway(ko04664);;Asthma(ko05310)
neg_10295,(Z)-3-Ureidoacrylate peracid,C20231,Pyrimidine metabolism(ko00240);;Metabolic pathways(ko01100)
neg_10296,"L-Arabinono-1,4-lactone",C01114,Ascorbate and aldarate metabolism(ko00053);;Metabolic pathways(ko01100)
neg_10383,2-n-Propyl-4-pentenoic acid,C16648,Drug metabolism - cytochrome P450(ko00982)
neg_10405,Biochanin A,C00814,Metabolic pathways(ko01100)
neg_10572,L-Norvaline,C01826,--
neg_10576,Nebramine,C21259,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
neg_10580,Brassinolide,C08814,Metabolic pathways(ko01100)
neg_10596,Juvenile hormone III acid,C16504,Insect hormone biosynthesis(ko00981)
neg_10605,Taurine,C00245,Primary bile acid biosynthesis(ko00120);;Taurine and hypotaurine metabolism(ko00430);;Sulfur metabolism(ko00920);;Metabolic pathways(ko01100);;ABC transporters(ko02010);;Neuroactive ligand-receptor interaction(ko04080)
neg_10622,Etherolenic acid,C16319,alpha-Linolenic acid metabolism(ko00592)
neg_10658,"5-(N-Methyl-4,5-dihydro-1H-pyrrol-2-yl)pyridin-2-ol",C21075,Nicotinate and nicotinamide metabolism(ko00760);;Metabolic pathways(ko01100)
neg_10659,Cannabigerolate,C20406,Metabolic pathways(ko01100)
neg_10705,Taurodeoxycholic acid,C05463,--
neg_10709,Urate,C00366,Purine metabolism(ko00230);;Metabolic pathways(ko01100);;Bile secretion(ko04976)
neg_10720,"4-Hydroxy-2,2'-bipyrrole-5-carbaldehyde",C21569,Metabolic pathways(ko01100)
neg_10725,Parthenin,C09523,--
neg_10730,Glycocholate,C01921,Primary bile acid biosynthesis(ko00120);;Metabolic pathways(ko01100);;Bile secretion(ko04976);;Cholesterol metabolism(ko04979)
neg_10736,Prodigiosin,C21565,Metabolic pathways(ko01100)
neg_10763,Cannabidiolic acid,C10784,Metabolic pathways(ko01100)
neg_10784,Caprylic acid,C06423,Fatty acid biosynthesis(ko00061);;Lipoic acid metabolism(ko00785);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
neg_10837,Glycocholic acid,C01921,Primary bile acid biosynthesis(ko00120);;Metabolic pathways(ko01100);;Bile secretion(ko04976);;Cholesterol metabolism(ko04979)
neg_10846,2-(4'-Methylthio)butylmalic acid,C17218,2-Oxocarboxylic acid metabolism(ko01210)
neg_10849,5(S)-HpETE,C05356,Arachidonic acid metabolism(ko00590);;Metabolic pathways(ko01100);;Serotonergic synapse(ko04726);;Ovarian steroidogenesis(ko04913)
neg_10851,strophanthidin,C19988,--
neg_10868,Reduced riboflavin,C01007,Riboflavin metabolism(ko00740);;Metabolic pathways(ko01100)
neg_10882,PGD2,C00696,Arachidonic acid metabolism(ko00590);;Metabolic pathways(ko01100);;Neuroactive ligand-receptor interaction(ko04080);;Fc epsilon RI signaling pathway(ko04664);;Serotonergic synapse(ko04726);;African trypanosomiasis(ko05143);;Asthma(ko05310)
neg_10890,Nebramycin factor 4,C18000,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
neg_10919,Fenpyroximate,C11098,--
neg_10957,Fumitremorgin B,C20630,Metabolic pathways(ko01100)
neg_10961,5(S)-HETE,C04805,Arachidonic acid metabolism(ko00590);;Metabolic pathways(ko01100);;Inflammatory mediator regulation of TRP channels(ko04750)
neg_10980,NORETHINDRONE ACETATE,C08152,--
neg_10982,Dronabinol,C06972,Metabolic pathways(ko01100)
neg_10983,Leukotriene B4,C02165,Arachidonic acid metabolism(ko00590);;Metabolic pathways(ko01100);;PPAR signaling pathway(ko03320);;Neuroactive ligand-receptor interaction(ko04080);;Serotonergic synapse(ko04726);;Inflammatory mediator regulation of TRP channels(ko04750);;Bile secretion(ko04976)
neg_11010,Sphingosine 1-phosphate,C06124,Sphingolipid metabolism(ko00600);;Metabolic pathways(ko01100);;Calcium signaling pathway(ko04020);;Sphingolipid signaling pathway(ko04071);;Phospholipase D signaling pathway(ko04072);;Neuroactive ligand-receptor interaction(ko04080);;Apelin signaling pathway(ko04371);;Fc gamma R-mediated phagocytosis(ko04666);;Tuberculosis(ko05152)
neg_11013,Neurosporaxanthin,C08607,Metabolic pathways(ko01100)
neg_11029,4-Hydroxynonenal,C21642,Pathways in cancer(ko05200);;Hepatocellular carcinoma(ko05225)
neg_11030,2(R)-HOT,C16342,alpha-Linolenic acid metabolism(ko00592)
neg_1105,Glycerone,C00184,Glycerolipid metabolism(ko00561);;Metabolic pathways(ko01100);;Carbon metabolism(ko01200)
neg_11054,Taurolithocholic acid 3-sulfate,C03642,Bile secretion(ko04976)
neg_11105,"9,10-Epoxyoctadecanoic acid",C19418,"Cutin, suberine and wax biosynthesis(ko00073)"
neg_11109,Ricinoleic acid,C08365,--
neg_11113,Retinal,C00376,Retinol metabolism(ko00830);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240);;Phototransduction(ko04744);;Vitamin digestion and absorption(ko04977)
neg_11141,3-Methyldioxyindole,C05834,Tryptophan metabolism(ko00380)
neg_11142,3-Succinoylpyridine,C19569,Nicotinate and nicotinamide metabolism(ko00760);;Metabolism of xenobiotics by cytochrome P450(ko00980);;Metabolic pathways(ko01100);;Chemical carcinogenesis - DNA adducts(ko05204)
neg_11152,13(S)-HODE,C14762,Linoleic acid metabolism(ko00591);;PPAR signaling pathway(ko03320)
neg_11154,Sphinganine 1-phosphate,C01120,Sphingolipid metabolism(ko00600);;Metabolic pathways(ko01100);;Neuroactive ligand-receptor interaction(ko04080)
neg_11166,"L-alpha-Acetyl-N,N-dinormethadol",C16662,Drug metabolism - cytochrome P450(ko00982)
neg_11167,bufalin,C16922,--
neg_11181,Resolvin D2,C18179,--
neg_11182,Lathosterol,C01189,Steroid biosynthesis(ko00100);;Metabolic pathways(ko01100)
neg_11215,9(S)-HpODE,C14827,Linoleic acid metabolism(ko00591);;Metabolic pathways(ko01100)
neg_11226,22alpha-Hydroxy-campesterol,C15795,Metabolic pathways(ko01100)
neg_11300,(-)-alpha-Bisabolol,C09621,Metabolic pathways(ko01100)
neg_11304,"2,3-Dinor-8-iso prostaglandin F2alpha",C14794,Arachidonic acid metabolism(ko00590)
neg_11305,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate",C04722,Primary bile acid biosynthesis(ko00120);;Metabolic pathways(ko01100)
neg_11338,Dihydrostreptomycin 6-phosphate,C01221,Metabolic pathways(ko01100)
neg_11355,Mifepristone,C07652,--
neg_11359,10-Deoxymethymycin,C11994,Metabolic pathways(ko01100)
neg_11361,Taurolithocholic acid,C02592,--
neg_11406,"di-trans,poly-cis-Undecaprenyl diphosphate",C04574,Terpenoid backbone biosynthesis(ko00900)
neg_11422,(9Z)-Hexadecenoic acid,C08362,Fatty acid biosynthesis(ko00061);;Metabolic pathways(ko01100)
neg_11459,6beta-Hydroxy-17beta-estradiol,C03935,Steroid hormone biosynthesis(ko00140)
