#ID,name,KEGG_annotation,KEGG_pathway_annotation
pos_1000,"3-[(1E,4R)-4-Hydroxycyclohex-2-en-1-ylidene]-2-oxopropanoate",C21085,Metabolic pathways(ko01100)
pos_1001,Formyl-5-hydroxykynurenamine,C05647,Tryptophan metabolism(ko00380)
pos_10014,(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate,C04546,Butanoate metabolism(ko00650);;Metabolic pathways(ko01100)
pos_1002,2-(Hydroxymethyl)-3-(acetamidomethylene)succinate,C04690,Vitamin B6 metabolism(ko00750)
pos_10021,"(4R,5R)-4,5-Dihydroxycyclohexa-1(6),2-diene-1-carboxylate",C20710,"Phenylalanine, tyrosine and tryptophan biosynthesis(ko00400)"
pos_1004,Capsi-amide,C17515,--
pos_10072,Roxithromycin,C13173,--
pos_10073,Macrocin,C00744,Metabolic pathways(ko01100)
pos_10075,Avermectin A1b,C11968,Metabolic pathways(ko01100)
pos_10077,Solanine,C10820,--
pos_10081,2-Butoxyethanol,C19355,--
pos_10108,"2-Hydroxy-3-carboxy-6-oxo-7-methylocta-2,4-dienoate",C06581,Metabolic pathways(ko01100)
pos_10116,Obtusifoliol,C01943,Steroid biosynthesis(ko00100);;Metabolic pathways(ko01100)
pos_10180,Geranyl diphosphate,C00341,Ubiquinone and other terpenoid-quinone biosynthesis(ko00130);;Terpenoid backbone biosynthesis(ko00900);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
pos_10190,o-Xylene,C07212,Metabolic pathways(ko01100)
pos_10194,"L-Fucono-1,5-lactone",C18028,Fructose and mannose metabolism(ko00051);;Metabolic pathways(ko01100)
pos_10211,Dodecanoic acid,C02679,Fatty acid biosynthesis(ko00061);;Metabolic pathways(ko01100)
pos_10222,1-Cyclohexene-1-carboxylic acid,C12101,--
pos_10229,Delta4-Dafachronic acid,C21076,Longevity regulating pathway - worm(ko04212)
pos_10234,4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone,C16453,Metabolism of xenobiotics by cytochrome P450(ko00980);;Chemical carcinogenesis - DNA adducts(ko05204);;Chemical carcinogenesis - receptor activation(ko05207);;Chemical carcinogenesis - reactive oxygen species(ko05208)
pos_10242,L-Urobilin,C05793,Porphyrin metabolism(ko00860)
pos_10255,Angiotensin A,C20970,Renin-angiotensin system(ko04614)
pos_10256,Angiotensin II,C02135,Renin-angiotensin system(ko04614);;Renin secretion(ko04924);;Coronavirus disease - COVID-19(ko05171);;Diabetic cardiomyopathy(ko05415)
pos_10258,Glutethimide,C07489,--
pos_10274,Avermectin A1a monosaccharide,C11982,Metabolic pathways(ko01100)
pos_10284,2-Phenylethanol,C05853,Phenylalanine metabolism(ko00360)
pos_10292,Ectocarpen,C16993,--
pos_10304,Punicic acid,C08364,--
pos_10320,3beta-[(Tetrahydro-2H-pyran-2-yl)oxy]androst-5-en-17beta-ol,C15345,--
pos_10321,Sodium deoxycholate,C11171,--
pos_10324,3''-Deamino-3''-hydroxykanamycin B,C21254,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
pos_10325,Rhizocticin B,C17940,Phosphonate and phosphinate metabolism(ko00440)
pos_10352,"3-Hydroxy-6,7,8-trimethoxy-2-naphthoate",C21322,Metabolic pathways(ko01100)
pos_10371,L-Asparagine,C00152,"Alanine, aspartate and glutamate metabolism(ko00250);;Aminoacyl-tRNA biosynthesis(ko00970);;Metabolic pathways(ko01100);;Biosynthesis of amino acids(ko01230);;Protein digestion and absorption(ko04974);;Mineral absorption(ko04978);;Central carbon metabolism in cancer(ko05230)"
pos_10377,Aspartame,C11045,Taste transduction(ko04742)
pos_10386,Triamcinolone Diacetate,C08184,--
pos_10390,Hordatine B,C08308,Metabolic pathways(ko01100)
pos_10416,ANETHOLE,C10428,--
pos_10417,Tartaric acid,C00898,Glyoxylate and dicarboxylate metabolism(ko00630);;Metabolic pathways(ko01100)
pos_10456,"5S,8R-DiHODE",C20186,Linoleic acid metabolism(ko00591)
pos_10474,Cyclopamine,C10798,--
pos_10500,n-Butylbenzene,C18150,--
pos_10504,Methyl farnesoate,C16503,Insect hormone biosynthesis(ko00981)
pos_10506,Norlinolenic acid,C16344,alpha-Linolenic acid metabolism(ko00592)
pos_10511,Lividamine,C21255,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
