ID,name,K1,K2,K3,K4,K5,K6,M1,M2,M3,M4,M5,M6,Y1,Y2,Y3,Y4,Y5,Y6,Z1,Z2,Z3,Z4,Z5,Z6,QC-1,QC-2,QC-3,QC-4
neg_10000,Cucurbic acid,176.3978073,19.74778268,127.9884988,77.23027765,190.8849726,350.0088403,5.47E-08,205.2116316,107.2357248,0.84412802,54.10666776,7.340783217,64.27005531,5.47E-08,7.035901316,107.0541682,371.5235953,254.5611649,15.57322432,211.0843478,521.3283819,5.47E-08,327.2211341,33.09375403,119.9172752,119.0887254,72.98073257,132.0495338
neg_10011,5a-Tetrahydrocorticosterone,620.2678145,617.4254421,114.8242597,288.9588885,61.16060229,67.08726136,171.546358,891.5947875,2535.061256,143.7448772,243.3501229,56.02828242,249.1221482,366.6498444,25.7832942,193.7982281,1369.375866,36.90134876,41.14139198,79.44349825,88.67748308,189.8156003,339.2406216,619.7034294,425.2256945,391.0743725,434.3020364,399.7863974
neg_10013,Gentamicin C1,35966.10924,100634.7707,36186.62946,64662.37123,25006.77383,13730.02926,3555.07401,324198.228,123524.4146,21727.45506,20317.20051,28371.50674,48641.75106,16297.00928,3658.942816,30347.96281,27724.90572,11638.99302,19997.32912,20912.32844,20365.82687,35037.50453,7846.949789,39556.29071,43153.28621,42816.40234,41698.00359,43333.23917
neg_10020,Calenduloside B,2545.874863,1279.216506,1873.97547,2303.651015,1754.378388,1934.076218,665.112311,1420.371222,189.4418056,369.9064058,572.7810274,1282.36924,1756.334278,632.2871852,458.461332,1713.503353,2258.176484,2078.926835,688.6254903,2144.61352,1105.44762,489.5667887,640.6970171,2709.505905,1350.401143,1362.042107,1303.139806,1386.907985
neg_10024,Fosteabine,1028.4218,2454.865542,1416.838603,3622.986269,1037.952513,2264.992054,1438.598711,1905.840597,1438.464975,1959.268414,1890.425306,544.0784976,497.4969965,858.0885599,1285.507503,1308.072354,1377.044432,649.7587223,864.5526791,766.0389986,440.9364332,1923.823582,1054.631765,534.0049879,1395.192435,1316.713391,1271.19452,1382.420459
neg_10025,Cyclohexanecarboxylic acid,554.7355215,435.787007,625.4677659,522.4110885,640.9660911,930.0186515,7.034466521,117.4625007,216.5096228,343.5280831,610.5721527,695.6065731,208.146958,818.5066037,156.4173997,935.008167,1901.665336,831.5616261,202.1294753,348.6421522,373.6847834,146.3633411,1050.431404,398.1537701,589.0254715,546.2951026,555.96975,583.2137159
neg_10026,"16alpha-Hydroxyandrost-4-ene-3,17-dione",49.42867354,55.29424705,114.3575549,410.7527321,399.2340323,206.7611003,19.58600613,5.47E-08,17.24760775,62.2507098,49.96085479,192.7313651,61.67745221,87.29577752,55.93156294,163.6586157,209.323362,150.0743155,134.8675299,114.350057,24.68852955,32.22068689,35.92192577,5.47E-08,134.6960837,139.6660794,119.8682764,139.3516169
neg_10030,Methyl-delta-ionone,5.47E-08,5.47E-08,5.47E-08,12.92797674,5.47E-08,108.0681293,5.47E-08,5.47E-08,5.47E-08,5.47E-08,6.512999393,5.47E-08,5.47E-08,6.751255471,5.47E-08,5.396383555,6.935767919,5.47E-08,1417.328639,1379.683221,1409.933827,2167.29722,5.47E-08,1622.448627,283.23742,279.7905538,304.0889554,277.5324909
neg_10038,Annuolide G,793.1589929,798.0173929,870.6561597,1011.647616,992.298536,852.6785063,988.208856,713.0599229,1134.997109,1116.241451,1063.209845,876.7093977,1050.657502,933.8254833,1028.424163,922.8078584,941.3608131,1125.960957,1003.528288,964.1260061,923.7350041,1148.153424,824.9912987,981.3433249,974.8383784,888.8530709,808.0960658,1037.200088
neg_10042,Pregnanolone,220.7482174,2.438559501,119.194856,17.37833088,1.248096757,14.60103504,5.47E-08,5.47E-08,582.3408183,113.0279589,70.12024766,646.2628568,23.19870471,0.253308471,186.3678092,4.37967367,0.010631811,5.47E-08,0.000106625,3.475980402,157.9650293,24.16825243,5.47E-08,4.124704228,61.72990758,64.00672444,52.78920142,64.16635437
neg_10044,Ajmalicine,267.4378747,470.6968618,107.5578511,265.6514328,393.97085,437.2578973,5.289201835,249.7030508,12.76895504,48.80655534,39.85341874,196.8944938,182.1882376,82.7735367,57.01761515,178.0406149,240.3218782,361.1421876,49.69538992,187.0666118,186.9259087,41.6015714,79.18068336,167.2588104,191.5356958,171.5406937,185.6595779,186.2625094
neg_10045,"DG(10:0/20:4(6E,8Z,11Z,13E)-2OH(5S,15S)/0:0)",482.5984526,456.7436498,938.2179826,532.7876788,275.5230347,358.0381115,929.7901229,320.721132,719.005791,552.4885813,805.2470854,1822.12545,942.0525495,1557.840614,836.146357,786.6445124,935.6120301,487.9832621,751.7781852,808.1900324,421.1873617,1184.314967,881.4197481,739.8633904,689.4374836,725.1672011,747.2405804,650.2467178
neg_10051,Glycerylphosphorylethanolamine,5.47E-08,5.47E-08,5.47E-08,5.47E-08,5.47E-08,5.47E-08,5.47E-08,5.47E-08,5.47E-08,5.47E-08,5.47E-08,5.47E-08,5.47E-08,5.47E-08,5.47E-08,5.47E-08,5.47E-08,5.47E-08,5.47E-08,5.47E-08,5.47E-08,5.47E-08,5.47E-08,5.47E-08,23.78606213,23.8304603,20.20698104,24.9268351
neg_10053,4-Hydroxyantipyrine,160.3850714,135.8074993,50.29646174,41.68702075,166.0931,83.1173267,193.4882443,86.46501996,224.5909244,126.5141081,122.7769903,239.9950787,164.4880385,76.76136201,170.9846669,133.7466808,183.1845221,132.5031448,200.8116311,135.023204,172.7752411,64.99021881,61.58126835,152.0757863,253.404797,248.4252806,257.4859453,249.1822122
neg_10054,13(S)-HpODE,1683.6163,1050.49481,529.6080237,785.5247612,1213.342781,700.5948338,413.1234201,224.6796607,199.6537667,402.1523549,279.4757859,359.7794041,478.2520833,294.7479605,182.605609,515.9359496,616.2876786,599.4665335,213.2941768,443.884076,1043.026285,390.7589567,426.8267291,485.9705912,603.9496152,599.1045758,588.2542867,604.8583218
neg_10056,"3alpha-Hydroxy-3,5-dihydromonacolin L acid",188.2495096,112.4235636,387.5578018,264.6720477,275.7401493,410.4328282,332.8012654,154.0581429,73.00216737,257.6520489,99.05390728,154.4382398,144.8807589,110.2335984,84.83018459,273.7871398,274.2917829,284.1324888,126.8417459,232.311166,383.2334835,386.9220435,237.6649838,197.3887483,311.0226882,289.9279373,213.8631279,333.3157773
