Taxon,K1,K2,K3,K4,K5,K6,M1,M2,M3,M4,M5,M6,Y1,Y2,Y3,Y4,Y5,Y6,Z1,Z2,Z3,Z4,Z5,Z6
Unassigned,0.100620707717,0.0997634905399,0.0932365153981,0.0961771325843,0.0940691610419,0.0642896934862,0.0939142793336,0.0967969603436,0.096651694576,0.101884532302,0.0940364758045,0.0943030549326,0.0807817033407,0.0853346819652,0.082986983636,0.105388135244,0.0705391232429,0.0685025838952,0.0997638127258,0.111699498285,0.109753729875,0.10699760271,0.0987260604772,0.094552577973
Abditibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51206217755e-07,6.09994330103e-07,1.47132389724e-06,0,0,0,0,0,0,0,0
Abiotrophia,1.98792798813e-05,2.19951964935e-05,5.60044101606e-07,1.6521959088e-06,8.52920413712e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absicoccus,2.6262534889e-05,2.54574033489e-05,6.90721058648e-06,5.7826856808e-06,7.39197691884e-06,8.80961587192e-06,2.29539758438e-05,3.01445167027e-05,2.3794074185e-05,2.36956005361e-05,1.98049705525e-05,2.07771828499e-05,3.17859349488e-05,4.91688704857e-06,2.04348100584e-05,1.19177235677e-05,3.88900645932e-05,1.48847543803e-05,5.28295758651e-05,3.42297345508e-05,4.79267363716e-05,6.47780489789e-05,6.57624956336e-05,5.2055129984e-05
Absidia,0,0,0,4.9565877264e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.79480075436e-07,0,0,0,0,0
Absiella,0.000163776085628,0.000157835900763,8.15797574673e-05,8.09575995312e-05,6.68120990741e-05,4.03640581768e-05,5.57112122042e-05,4.395265016e-05,6.16332616041e-05,4.85470840252e-05,4.58815151133e-05,4.41955330113e-05,5.47111889163e-05,0.000102903421802,0.000107816497846,4.44339816967e-05,0.00014405528093,7.94944025145e-05,6.48903472041e-05,7.1834231663e-05,4.45436726277e-05,9.25639821326e-05,0.000110110414167,7.79189995986e-05
Abyssibacter,0,0,0,0,0,0,0,0,0,0,0,5.28233462287e-07,0,0,0,0,0,0,0,0,0,3.34770278961e-07,0,0
Abyssicoccus,0,0,7.46725468808e-07,2.14785468144e-06,2.13230103428e-06,0,0,0,0,0,0,0,4.21937189586e-07,5.26809326632e-07,7.62492912628e-07,1.47132389724e-06,0,0,0,0,5.63843957313e-07,0,0,0
Abyssisolibacter,1.1489859014e-05,1.18122351539e-05,1.06408379305e-05,8.09575995312e-06,1.23673459988e-05,1.08918887144e-05,9.20550072903e-06,1.28357296928e-05,1.17318004662e-05,1.27147124828e-05,1.17179409102e-05,9.68428014193e-06,4.078726166e-06,5.26809326632e-07,1.37248724273e-06,2.35411823559e-06,9.07434840507e-06,5.23419934252e-06,1.07018111881e-05,2.05699813263e-05,1.46599428901e-05,6.52802043973e-06,5.16379873335e-06,1.276823943e-05
Acadevirus,0,0,0,0,0,0,0,7.77923011682e-07,0,0,0,5.28233462287e-07,0,0,0,0,0,0,0,0,0,0,0,0
