Taxon,K1,K2,K3,K4,K5,K6,M1,M2,M3,M4,M5,M6,Y1,Y2,Y3,Y4,Y5,Y6,Z1,Z2,Z3,Z4,Z5,Z6
Unassigned,0.100620707717,0.0997634905399,0.0932365153981,0.0961771325843,0.0940691610419,0.0642896934862,0.0939142793336,0.0967969603436,0.096651694576,0.101884532302,0.0940364758045,0.0943030549326,0.0807817033407,0.0853346819652,0.082986983636,0.105388135244,0.0705391232429,0.0685025838952,0.0997638127258,0.111699498285,0.109753729875,0.10699760271,0.0987260604772,0.094552577973
Abditibacteriota,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51206217755e-07,6.09994330103e-07,1.47132389724e-06,0,0,0,0,0,0,0,0
Acidobacteria,3.86642874755e-05,3.99172084511e-05,5.09640132462e-05,5.22093907181e-05,4.69106227542e-05,1.31343363909e-05,7.43613175773e-05,5.52325338294e-05,7.4356481828e-05,6.916033002e-05,6.65116927721e-05,6.10990038045e-05,0.00013220698607,0.000138902059122,4.71220620004e-05,0.000102109878469,0.000104192964722,0.000167330810231,3.53329639227e-05,8.14764104097e-05,4.96182682435e-05,3.26401021987e-05,3.26534331668e-05,4.07601489497e-05
Actinobacteria,0.00224179915872,0.00214616093193,0.00238952150019,0.00225475175674,0.00223891608599,0.00415573606903,0.00841908795246,0.00561252004853,0.00700041490917,0.010365573028,0.00302884016316,0.00270473140473,0.00348632635182,0.00260682815129,0.0021145453453,0.00254906865197,0.00209455406221,0.00158220032001,0.0164814687098,0.00796010066435,0.0175128053661,0.0188609575166,0.0222782983764,0.0105887991765
Aquificae,2.38916116005e-05,2.13842188131e-05,2.01615876578e-05,2.41220602685e-05,1.89064025039e-05,1.47360847312e-05,1.60199623077e-05,9.72403764603e-06,1.71846091336e-05,1.75308914535e-05,1.74943906547e-05,1.49666147648e-05,3.65678897641e-06,5.26809326632e-07,8.23492345639e-06,3.38404496366e-06,2.91675484449e-06,7.03345536651e-06,5.7755806412e-06,2.21770111174e-05,2.19899143352e-05,8.1181792648e-05,8.17095211336e-05,6.87520584694e-06
Armatimonadetes,1.24017525865e-05,1.3645168195e-05,5.60044101606e-07,1.32175672704e-06,1.56368742514e-06,1.12122383824e-06,1.27920594546e-05,6.41786484638e-06,1.25579835976e-05,1.34853011181e-05,1.10577752251e-05,1.1092902708e-05,0.000441486946037,0.000518204774297,9.18041466805e-05,0.000178618721125,0.000138383813177,1.97918162639e-05,3.22753035832e-06,8.03514895559e-07,8.26971137392e-06,3.84985820805e-06,3.94878726668e-06,4.25607981001e-06
Artverviricota,3.28281686113e-06,1.42561458754e-06,9.3340683601e-07,8.42619913488e-06,2.70091464342e-06,2.01820290884e-05,7.8426084133e-05,0.000247185036962,0.000105916677448,0.000276063378603,0.000118829823315,0.000129593276081,1.25174699577e-05,1.73847077789e-05,0.000271294978313,5.88529558897e-07,2.26858710127e-06,6.21561171924e-06,0.000387643383036,2.95693481566e-05,0.000147163272859,0.000173076234223,1.54913962001e-05,0.00029612493755
Ascomycota,1.24017525865e-05,1.18122351539e-05,1.53078721106e-05,2.37916210867e-05,1.52104140445e-05,2.56279734456e-06,1.2194299667e-05,8.5571531285e-06,8.75754119308e-06,9.05441646501e-06,8.41711248481e-06,1.09168248873e-05,0,7.0241243551e-07,6.86243621366e-06,4.41397169173e-07,4.86125807414e-07,6.54274917815e-07,2.17433624139e-05,1.62310008903e-05,1.8043006634e-05,9.03879753194e-06,6.37881020002e-06,2.1771485182e-05
Atribacterota,8.38942086733e-06,7.33173216449e-06,5.97380375047e-06,5.7826856808e-06,5.54398268913e-06,2.24244767649e-06,9.80326051663e-06,3.50065355257e-06,8.92277781936e-06,7.7058863532e-06,7.59190537845e-06,8.45173539659e-06,0.000208436971656,0.000272009215651,3.11097108352e-05,7.51846511491e-05,4.84505388056e-05,8.34200520214e-06,2.03844022631e-06,2.55517736788e-05,1.93586425344e-05,8.33577994612e-05,8.41395440669e-05,3.43760292347e-06
Bacteroidetes,0.41200792399,0.387845983932,0.426506252612,0.509132595496,0.462715152728,0.308817880893,0.499186209825,0.473368875339,0.475630984974,0.49256141158,0.512603305615,0.512990933577,0.00647673586015,0.00606339974643,0.00438509674053,0.00916502368831,0.00366068937177,0.0418457880561,0.368258665834,0.304987738363,0.360477282633,0.1676372215,0.104323770181,0.36261914568
Balneolaeota,6.74801243677e-06,6.92441371091e-06,1.62412789466e-05,1.30523476795e-05,1.12301187805e-05,3.52384634877e-06,5.26028613087e-06,2.91721129381e-06,5.61804529367e-06,5.58676760607e-06,5.6114083232e-06,4.40194551906e-06,1.1251658389e-06,5.26809326632e-07,9.14991495154e-07,1.17705911779e-06,3.2408387161e-07,1.30854983563e-06,3.90701043376e-06,3.85687149868e-06,2.81921978656e-06,1.6738513948e-06,4.55629300002e-07,3.43760292347e-06
Basidiomycota,9.11893572536e-07,5.09148066979e-06,1.43744652746e-05,1.32175672704e-05,5.40182928684e-06,4.80524502105e-06,4.42342242823e-06,1.2252287434e-05,5.12233541482e-06,1.0210299418e-05,9.90248527624e-06,1.74317042555e-05,0,4.74128393969e-06,1.23523851846e-05,2.20698584586e-06,9.56047421248e-06,0,2.49708927723e-05,7.71374299737e-06,6.39023151621e-06,1.18843449031e-05,1.68582841001e-05,1.35867163166e-05
Blastocladiomycota,0,0,2.24017640642e-06,9.9131754528e-07,5.68613609141e-07,0,0,2.13928828213e-06,6.60946505138e-07,4.81617897075e-06,8.25207106354e-07,1.58470038686e-06,0,7.0241243551e-07,5.79494613598e-06,0,0,0,5.26597058463e-06,9.64217874671e-07,0,2.00862167376e-06,6.07505733335e-07,4.91086131924e-07
Caldiserica,1.09427228704e-06,1.22195536075e-06,5.60044101606e-07,1.15653713616e-06,1.42153402285e-06,0,0,7.77923011682e-07,2.64378602055e-06,1.34853011181e-06,8.25207106354e-07,7.04311283049e-07,0,5.26809326632e-07,0,0,4.86125807414e-06,4.90706188361e-07,1.18909013201e-06,8.03514895559e-07,0,1.17169597636e-06,0,1.14586764116e-06
Calditrichaeota,5.47136143522e-07,6.10977680374e-07,1.15742447665e-05,1.80089354059e-05,1.23673459988e-05,2.88314701263e-06,2.03238327784e-06,0,2.47854939427e-06,1.34853011181e-06,1.48537279144e-06,1.23254474534e-06,1.68774875834e-06,5.26809326632e-07,2.13498015536e-06,7.35661948621e-07,6.643719368e-06,2.1263934829e-06,2.54805028288e-06,8.03514895559e-07,1.16527751178e-05,3.34770278961e-06,4.25254013335e-06,2.45543065962e-06
Candidatus_Abawacabacteria,1.09427228704e-06,4.07318453583e-07,0,0,0,6.40699336139e-07,3.10835089552e-06,3.69513430549e-06,3.13949589941e-06,2.69706022362e-06,2.97074558287e-06,3.34547859448e-06,0,1.96675481943e-05,1.92148213982e-05,1.29476502957e-05,4.09966097586e-05,3.27137458907e-07,0,3.85687149868e-06,0,0,4.55629300002e-07,9.82172263848e-07
