"ID","Name","Display_Name","Short_Label","Ion_Mode","Log2FC","Taxon","Spearman_rho","Abs_Spearman_rho","Spearman_P","Spearman_direction","Edge_Type","Disease_Module","Mantel_r","Abs_Mantel_r","Mantel_P","Mantel_direction","rd","pd","link_type"
"neg_12234","12,13-DiHODE","12,13-DiHODE","12,13-DiHODE","NEG",1.28057296641633,"g_Coprococcus",0.653250773993808,0.653250773993808,0.00413405068112623,"Positive","Gut microbiota Spearman",NA,NA,NA,NA,NA,NA,NA,NA
"neg_12260","PE(P-18:0/18:1(12Z)-2OH(9,10))","PE(P-18:0/18:1(12Z)-2OH(9,10))","PE(P-18:0/18:1(12Z)-2OH(9,10))","NEG",1.25227347962165,"g_Coprococcus",0.640866873065016,0.640866873065016,0.00512263339287237,"Positive","Gut microbiota Spearman",NA,NA,NA,NA,NA,NA,NA,NA
"pos_4360","8-Amino-7-oxononanoate","8-Amino-7-oxononanoate","8-Amino-7-oxononanoate","POS",0.808107072957069,"g_Clostridium",-0.719298245614035,0.719298245614035,0.00109899659305399,"Negative","Gut microbiota Spearman",NA,NA,NA,NA,NA,NA,NA,NA
"pos_7892","Thyroxine","Thyroxine","Thyroxine","POS",1.30214469906815,"g_Anaerostipes",0.64499484004128,0.64499484004128,0.00477392319573354,"Positive","Gut microbiota Spearman",NA,NA,NA,NA,NA,NA,NA,NA
"pos_7892","Thyroxine","Thyroxine","Thyroxine","POS",1.30214469906815,"g_Chlamydia",-0.630546955624355,0.630546955624355,0.00608534846789957,"Negative","Gut microbiota Spearman",NA,NA,NA,NA,NA,NA,NA,NA
"pos_7892","Thyroxine","Thyroxine","Thyroxine","POS",1.30214469906815,"g_Coprococcus",0.680082559339525,0.680082559339525,0.00251438131976343,"Positive","Gut microbiota Spearman",NA,NA,NA,NA,NA,NA,NA,NA
"pos_7892","Thyroxine","Thyroxine","Thyroxine","POS",1.30214469906815,"p_Chlamydiae",-0.630546955624355,0.630546955624355,0.00608534846789957,"Negative","Gut microbiota Spearman",NA,NA,NA,NA,NA,NA,NA,NA
"pos_8061","N-Oleoyl Alanine","N-Oleoyl Alanine","N-Oleoyl Alanine","POS",0.586328876698065,"g_Clostridium",-0.764705882352941,0.764705882352941,0.0003342935808702,"Negative","Gut microbiota Spearman",NA,NA,NA,NA,NA,NA,NA,NA
"pos_4360","8-Amino-7-oxononanoate","8-Amino-7-oxononanoate","8-Amino-7-oxononanoate","POS",0.808107072957069,NA,NA,NA,NA,NA,"Disease phenotype Mantel","Serum Cytokines",0.572340687731732,0.572340687731732,0.001,"Positive",">= 0.4","< 0.01","Positive"
"pos_4360","8-Amino-7-oxononanoate","8-Amino-7-oxononanoate","8-Amino-7-oxononanoate","POS",0.808107072957069,NA,NA,NA,NA,NA,"Disease phenotype Mantel","Ileum Cytokines",0.450250673683382,0.450250673683382,0.018,"Positive",">= 0.4","0.01 - 0.05","Positive"
"neg_12234","12,13-DiHODE","12,13-DiHODE","12,13-DiHODE","NEG",1.28057296641633,NA,NA,NA,NA,NA,"Disease phenotype Mantel","Lung Pathology",0.447656044684628,0.447656044684628,0.01,"Positive",">= 0.4","< 0.01","Positive"
"neg_12260","PE(P-18:0/18:1(12Z)-2OH(9,10))","PE(P-18:0/18:1(12Z)-2OH(9,10))","PE(P-18:0/18:1(12Z)-2OH(9,10))","NEG",1.25227347962165,NA,NA,NA,NA,NA,"Disease phenotype Mantel","Lung Pathology",0.452103036397261,0.452103036397261,0.006,"Positive",">= 0.4","< 0.01","Positive"
"pos_7892","Thyroxine","Thyroxine","Thyroxine","POS",1.30214469906815,NA,NA,NA,NA,NA,"Disease phenotype Mantel","Lung Pathology",0.680903529692511,0.680903529692511,0.001,"Positive",">= 0.4","< 0.01","Positive"
"pos_8061","N-Oleoyl Alanine","N-Oleoyl Alanine","N-Oleoyl Alanine","POS",0.586328876698065,NA,NA,NA,NA,NA,"Disease phenotype Mantel","Lung Pathology",0.705969574767823,0.705969574767823,0.001,"Positive",">= 0.4","< 0.01","Positive"
"neg_12260","PE(P-18:0/18:1(12Z)-2OH(9,10))","PE(P-18:0/18:1(12Z)-2OH(9,10))","PE(P-18:0/18:1(12Z)-2OH(9,10))","NEG",1.25227347962165,NA,NA,NA,NA,NA,"Disease phenotype Mantel","Immune Cells",0.438895909706012,0.438895909706012,0.004,"Positive",">= 0.4","< 0.01","Positive"
"pos_7892","Thyroxine","Thyroxine","Thyroxine","POS",1.30214469906815,NA,NA,NA,NA,NA,"Disease phenotype Mantel","Immune Cells",0.475188674027743,0.475188674027743,0.005,"Positive",">= 0.4","< 0.01","Positive"
"pos_8061","N-Oleoyl Alanine","N-Oleoyl Alanine","N-Oleoyl Alanine","POS",0.586328876698065,NA,NA,NA,NA,NA,"Disease phenotype Mantel","Immune Cells",0.696757547219849,0.696757547219849,0.001,"Positive",">= 0.4","< 0.01","Positive"
