"spec","env","r","p","rd","pd","link_type"
"Serum Cytokines","Serotonin",-0.0155493719942815,0.358,"< 0.2",">= 0.05","Negative"
"Serum Cytokines","PC(17:2(9Z,12Z)/0:0)",0.0318547323537456,0.33,"< 0.2",">= 0.05","Positive"
"Serum Cytokines","1-Hexadecyl-2-tridecanoyl-glyce...",-0.10228758862955,0.547,"< 0.2",">= 0.05","Negative"
"Serum Cytokines","PGF1a",0.0954714566407136,0.198,"< 0.2",">= 0.05","Positive"
"Serum Cytokines","12,13-DiHODE",-0.0330276118459629,0.528,"< 0.2",">= 0.05","Negative"
"Serum Cytokines","PE(P-18:0/18:1(12Z)-2OH(9,10))",0.0341592537258772,0.373,"< 0.2",">= 0.05","Positive"
"Serum Cytokines","dADP",0.0351367832614486,0.295,"< 0.2",">= 0.05","Positive"
"Serum Cytokines","alpha-CEHC glucuronide",0.00894333367209313,0.362,"< 0.2",">= 0.05","Positive"
"Serum Cytokines","Pelargonidin 3-(6''-malonylgluc...",-0.16604904661302,0.87,"< 0.2",">= 0.05","Negative"
"Serum Cytokines","Lovastatin acid",-0.107569873931353,0.61,"< 0.2",">= 0.05","Negative"
"Serum Cytokines","ROSAMICIN",-0.145702734762268,0.709,"< 0.2",">= 0.05","Negative"
"Serum Cytokines","MG(0:0/14:1(9Z)/0:0)",-0.0806548670643348,0.571,"< 0.2",">= 0.05","Negative"
"Serum Cytokines","Dihydrojasmonic Acid",-0.150972814051362,0.783,"< 0.2",">= 0.05","Negative"
"Serum Cytokines","Corchorosol A",-0.152514475388641,0.837,"< 0.2",">= 0.05","Negative"
"Serum Cytokines","N-Arachidonoyl Proline",-0.137004984327265,0.721,"< 0.2",">= 0.05","Negative"
"Serum Cytokines","2,3-Dinor-8-iso prostaglandin F...",0.0418353979384844,0.243,"< 0.2",">= 0.05","Positive"
"Serum Cytokines","PS(O-18:0/0:0)",-0.0945994329774605,0.643,"< 0.2",">= 0.05","Negative"
"Serum Cytokines","PG(TXB2/i-19:0)",-0.0974536811284081,0.654,"< 0.2",">= 0.05","Negative"
"Serum Cytokines","10-Oxo-11-octadecen-13-olide",-0.085810067161453,0.626,"< 0.2",">= 0.05","Negative"
"Serum Cytokines","Nordalbergin",-0.0100047777788688,0.437,"< 0.2",">= 0.05","Negative"
"Serum Cytokines","Caryoptosidic acid",-0.00319979828472642,0.43,"< 0.2",">= 0.05","Negative"
"Serum Cytokines","8-Amino-7-oxononanoate",0.572340687731732,0.001,">= 0.4","< 0.01","Positive"
"Serum Cytokines","epsilon-(Carboxyethyl)lysine",0.338480915574921,0.03,"0.2 - 0.4","0.01 - 0.05","Positive"
"Serum Cytokines","(-)-Epigallocatechin 7-glucuronide",-0.15051333047365,0.953,"< 0.2",">= 0.05","Negative"
"Serum Cytokines","Azelaic acid",-0.0153159507545112,0.436,"< 0.2",">= 0.05","Negative"
