"","Serotonin","PC(17:2(9Z,12Z)/0:0)","1-Hexadecyl-2-tridecanoyl-glyce...","PGF1a","12,13-DiHODE","PE(P-18:0/18:1(12Z)-2OH(9,10))","dADP","alpha-CEHC glucuronide","Pelargonidin 3-(6''-malonylgluc...","Lovastatin acid","ROSAMICIN","MG(0:0/14:1(9Z)/0:0)","Dihydrojasmonic Acid","Corchorosol A","N-Arachidonoyl Proline","2,3-Dinor-8-iso prostaglandin F...","PS(O-18:0/0:0)","PG(TXB2/i-19:0)","10-Oxo-11-octadecen-13-olide","Nordalbergin","Caryoptosidic acid","8-Amino-7-oxononanoate","epsilon-(Carboxyethyl)lysine","(-)-Epigallocatechin 7-glucuronide","Azelaic acid","L-Isoleucine","9-Hydroxy-12-oxo-10(E),15(Z)-oc...","Thyroxine","Cynaratriol","N-Oleoyl Alanine","3-Oxo-5β-chola-8(14),11-dien-24...","Prostaglandin F2alpha"
"g_Acetatifactor",0.0998132281191095,0.079223729697066,0.0187095289058169,0.0776647150730813,0.0243927635262133,0.0219747871743939,0.137425937821873,0.103596036482681,0.0817696700398923,0.0776647150730813,0.0241793423522585,0.124104416678016,0.109466401615886,0.170867035517352,0.0237693637480185,0.0533721365012576,0.190830491289927,0.103596036482681,0.0776647150730813,0.0362530543066905,0.0407626128705261,0.0263411908394651,0.0533721365012576,0.0491935484549041,0.0225605599606702,0.063317021933223,0.184971375145792,0.0182052179117299,0.0277072178579419,0.0354000209334607,0.0660107195776449,0.162772538741214
"g_Anaerostipes",0.0488744819670028,0.0569494758569887,0.0172292187694979,0.0345628106754307,0.0141379383468187,0.0162955736236612,0.0502385586492515,0.0488744819670028,0.0429959388703907,0.0522189799050733,0.0668179268557149,0.00231888646375503,0.0702135650803009,0.184971375145792,0.0256784893216006,0.0049457913182515,0.0488744819670028,0.0840419526401249,0.0467385588813681,0.00988456683371248,0.00608534846789954,0.07165861198449,0.0545448000069743,0.10765360202234,0.130792164042428,0.0426842681550531,0.00294517889023746,0.00477392319573354,0.00900242120386986,0.0177118386947014,0.0313682126528439,0.133077875000402
"g_Butyrivibrio",0.041714820372853,0.0633170219332229,0.0446757031307602,0.041714820372853,0.01975164281787,0.0214011898892728,0.132667006048598,0.0594346633177114,0.138918356394678,0.0761288973075674,0.0682977231690143,0.0291286844692409,0.13539208407141,0.168138433374769,0.0467385588813681,0.0154029298966383,0.140106622694815,0.111476224789762,0.0581819021877405,0.0313682126528439,0.0214011898892728,0.0660107195776449,0.0716586119844903,0.149280606975384,0.137734948345756,0.0646531876238973,0.0557371774524319,0.0105104880229655,0.020289797305034,0.037122111442511,0.043671160756054,0.162772538741214
"g_Chlamydia",0.0256784893216006,0.0105104880229655,0.541140264466277,0.00494579131825152,0.01975164281787,0.0214011898892728,0.0281572568379162,0.0284109251462966,0.572597941574729,0.137734948345756,0.144304386954319,0.0716586119844903,0.245767487807465,0.111476224789762,0.111476224789762,0.0291286844692409,0.0446757031307603,0.0731260477785555,0.020289797305034,0.0456981006135632,0.0731260477785555,0.0776647150730813,0.0510851232183648,0.942364167784553,0.278641213072873,0.041714820372853,0.084041952640125,0.00608534846789957,0.040762612870526,0.0380073936456322,0.0499703595118137,0.0687907035145821
"g_Clostridium",0.152402404662019,0.0122161096072448,0.222022688948552,0.0145499573725929,0.0256784893216006,0.0129578195790805,0.114782660285479,0.0306071335037593,0.266797939693544,0.103596036482681,0.0334081293638339,0.252844060934109,0.339317439034284,0.0426842681550531,0.0673898232038122,0.041714820372853,0.0105104880229655,0.206028882692499,0.0125825650568413,0.063317021933223,0.218759819456238,0.00109899659305399,0.0362530543066905,0.1440350394611,0.0101936501860012,0.039827441561119,0.225317751858876,0.0256784893216006,0.0277072178579419,0.000334293580870201,0.124104416678016,0.179236912912538
"g_Coprococcus",0.0167571870016306,0.0208395866709162,0.00792629233163519,0.0145499573725929,0.00413405068112623,0.00512263339287237,0.0468582820191742,0.0214011898892728,0.0424635430931818,0.0172292187694979,0.0300726204567286,0.00144928790857469,0.037122111442511,0.0979605009779129,0.00872294116731394,0.00188306951059854,0.0362530543066905,0.0407626128705261,0.0172292187694979,0.00444467777263717,0.00477392319573354,0.0660107195776449,0.0291286844692409,0.0607622558724354,0.0808061413810854,0.0250290763148189,0.00231888646375503,0.00251438131976343,0.00222583009099637,0.0172292187694979,0.00718954233781837,0.0776647150730813
"g_Dorea",0.113512863844971,0.0746160754362021,0.00568410841324273,0.0856957483813476,0.0256784893216006,0.0256784893216006,0.0752998518546768,0.0746160754362021,0.0181297427666691,0.043671160756054,0.0325487232320819,0.0149715669864975,0.0345628106754307,0.162772538741214,0.0137353486536732,0.0187095289058169,0.103596036482681,0.0943314641540551,0.0943314641540551,0.0137353486536732,0.00767422794252732,0.0187095289058169,0.063317021933223,0.0213421992489285,0.0214011898892728,0.0446757031307603,0.0208395866709162,0.0108352249391974,0.0192249454960464,0.0321441226549969,0.0407626128705261,0.107483216044424
"g_Eisenbergiella",0.0687907035145821,0.0687907035145821,0.0187095289058169,0.0660107195776449,0.0192249454960464,0.0182052179117299,0.191642296279328,0.0824121495170548,0.0766988631027118,0.0673898232038121,0.0370219473472347,0.0646531876238973,0.0840419526401249,0.126305597300531,0.0231586908815683,0.0306071335037593,0.147396020606921,0.0925547758378966,0.0569494758569887,0.0298606891656832,0.0298606891656832,0.0337412235749259,0.0522189799050734,0.0486037299707913,0.0354000209334607,0.0581819021877405,0.111476224789762,0.0182052179117299,0.0172292187694979,0.037122111442511,0.0426842681550531,0.137734948345756
"g_Escherichia",0.084041952640125,0.0158442102509198,0.698648866851906,0.00988456683371251,0.0533721365012576,0.0488744819670029,0.101567507947469,0.0673898232038122,0.43701035657197,0.179236912912538,0.15746652870917,0.347960540100274,0.686448935621915,0.21233038916785,0.157527546214355,0.0776647150730813,0.0808061413810854,0.339317439034284,0.040762612870526,0.165440309293558,0.513905239687731,0.179236912912538,0.0620020167434612,0.66038669186523,0.426557175191658,0.13539208407141,0.202925904973613,0.0620020167434612,0.0979605009779129,0.00988456683371251,0.0792237296970661,0.330803679453263
"g_Faecalibaculum",0.23882115173451,0.0488744819670029,0.656285911861525,0.040762612870526,0.176416157919719,0.157527546214355,0.1268817987854,0.128534791936702,0.207394877325448,0.482125637546877,0.300619794484171,0.760687928044681,0.973759651081858,0.339317439034284,0.524718975929255,0.242278060261314,0.165440309293558,0.451372451515003,0.119785433577192,0.416842725361349,0.717084757605609,0.121931084588846,0.170867035517352,0.442192753561603,0.379221854973508,0.218759819456238,0.563399997880221,0.126305597300531,0.278641213072874,0.063317021933223,0.407250951572985,0.379221854973508
