"","Serotonin","PC(17:2(9Z,12Z)/0:0)","1-Hexadecyl-2-tridecanoyl-glyce...","PGF1a","12,13-DiHODE","PE(P-18:0/18:1(12Z)-2OH(9,10))","dADP","alpha-CEHC glucuronide","Pelargonidin 3-(6''-malonylgluc...","Lovastatin acid","ROSAMICIN","MG(0:0/14:1(9Z)/0:0)","Dihydrojasmonic Acid","Corchorosol A","N-Arachidonoyl Proline","2,3-Dinor-8-iso prostaglandin F...","PS(O-18:0/0:0)","PG(TXB2/i-19:0)","10-Oxo-11-octadecen-13-olide","Nordalbergin","Caryoptosidic acid","8-Amino-7-oxononanoate","epsilon-(Carboxyethyl)lysine","(-)-Epigallocatechin 7-glucuronide","Azelaic acid","L-Isoleucine","9-Hydroxy-12-oxo-10(E),15(Z)-oc...","Thyroxine","Cynaratriol","N-Oleoyl Alanine","3-Oxo-5β-chola-8(14),11-dien-24...","Prostaglandin F2alpha"
"g_Acetatifactor",0.401444788441692,0.426212590299278,0.554179566563468,0.42827657378741,0.533539731682147,0.541795665634675,0.36411278154687,0.397316821465428,0.421144451341127,0.42827657378741,0.528395501320746,0.376676986584107,0.391124871001032,0.337461300309598,0.535603715170279,0.465428276573787,0.323013415892673,0.397316821465428,0.42827657378741,0.500515995872033,0.490196078431373,0.52734778121775,-0.465428276573787,0.469738041880488,-0.539731682146543,-0.448916408668731,0.327141382868937,0.5562435500516,0.523219814241486,0.502579979360165,0.444788441692466,0.343653250773994
"g_Anaerostipes",0.473684210526316,0.459236326109391,0.560371517027864,0.504643962848297,0.574819401444788,0.564499484004128,0.467848616745409,0.473684210526316,0.481616475123443,0.46749226006192,0.441215559452937,0.684210526315789,0.43859649122807,0.327141382868937,0.529411764705882,0.642930856553148,0.473684210526316,0.420020639834881,0.47781217750258,0.599587203302374,0.630546955624355,0.436532507739938,-0.463364293085655,0.391988297017511,-0.370485036119711,-0.486068111455108,0.671826625386997,0.64499484004128,0.60577915376677,0.558307533539732,0.512899896800826,0.368421052631579
"g_Butyrivibrio",0.48813209494324,0.448916408668731,0.481940144478844,0.48813209494324,0.550051599587203,0.543859649122807,0.368262214954812,0.455108359133127,0.362832142693894,0.430340557275542,0.439089219407381,0.519091847265222,0.366357069143447,0.33952528379773,0.47781217750258,0.568627450980392,0.362229102167183,0.3890608875129,0.457172342621259,0.512899896800826,0.543859649122807,0.444788441692466,-0.436532507739938,0.354193282153563,-0.364293085655315,-0.446852425180599,0.461300309597523,0.595459236326109,0.547987616099071,0.498452012383901,0.484004127966976,0.343653250773994
"g_Chlamydia",-0.529411764705882,-0.595459236326109,-0.153766769865841,-0.642930856553148,-0.550051599587203,-0.543859649122807,-0.516604459288722,-0.521155830753354,0.142541198915458,-0.364293085655315,-0.35828829767624,-0.436532507739938,-0.287925696594427,-0.3890608875129,-0.3890608875129,-0.519091847265222,-0.481940144478844,-0.434468524251806,-0.547987616099071,-0.479876160990712,-0.434468524251806,-0.42827657378741,0.469556243550052,0.018357578648203,0.269349845201238,0.48813209494324,-0.420020639834881,-0.630546955624355,-0.490196078431373,-0.496388028895769,-0.471620227038184,-0.440660474716202
"g_Clostridium",-0.351909184726522,-0.585139318885449,-0.302373581011352,-0.572755417956656,-0.529411764705882,-0.581011351909185,-0.384859948586578,-0.514963880288958,-0.276443537290586,-0.397316821465428,-0.50287942077407,-0.283797729618163,-0.238390092879257,-0.486068111455108,-0.442724458204334,-0.48813209494324,-0.595459236326109,-0.312693498452012,-0.583075335397317,-0.448916408668731,-0.304437564499484,-0.719298245614035,0.500515995872033,-0.358512712423729,0.597523219814242,0.492260061919505,-0.30030959752322,-0.529411764705882,-0.523219814241486,-0.764705882352941,-0.376676986584107,-0.331269349845201
"g_Coprococcus",0.562435500515996,0.545923632610939,0.614035087719298,0.572755417956656,0.653250773993808,0.640866873065016,0.474072766857321,0.543859649122807,0.482696332690984,0.560371517027864,0.511384780956295,0.706914344685243,0.498452012383901,0.403508771929825,0.607843137254902,0.69453044375645,0.500515995872033,0.490196078431373,0.560371517027864,0.649122807017544,0.64499484004128,0.444788441692466,-0.519091847265222,0.450300605664744,-0.424148606811146,-0.531475748194014,0.684210526315789,0.680082559339525,0.686274509803922,0.560371517027864,0.620227038183695,0.42827657378741
"g_Dorea",0.386996904024768,0.432404540763674,0.634674922600619,0.417956656346749,0.529411764705882,0.529411764705882,0.42946635772195,0.432404540763674,0.549647501878548,0.484004127966976,0.505005760819627,0.570691434468524,0.504643962848297,0.343653250773994,0.576883384932921,0.554179566563468,0.397316821465428,0.407636738906089,0.407636738906089,0.576883384932921,0.61609907120743,0.554179566563468,-0.448916408668731,0.537769068635593,-0.543859649122807,-0.481940144478844,0.545923632610939,0.593395252837977,0.552115583075335,0.510835913312694,0.490196078431373,0.393188854489164
"g_Eisenbergiella",0.440660474716202,0.440660474716202,0.554179566563468,0.444788441692466,0.552115583075335,0.5562435500516,0.322618447467455,0.422084623323013,0.427623596746375,0.442724458204334,0.494374060591845,0.446852425180599,0.420020639834881,0.374613003095975,0.537667698658411,0.514963880288958,0.356037151702786,0.409700722394221,0.459236326109391,0.51702786377709,0.51702786377709,0.506707946336429,-0.46749226006192,0.470817899448029,-0.502579979360165,-0.457172342621259,0.3890608875129,0.5562435500516,0.560371517027864,0.498452012383901,0.486068111455108,0.364293085655315
"g_Escherichia",-0.420020639834881,-0.56656346749226,-0.0980392156862745,-0.599587203302374,-0.465428276573787,-0.473684210526316,-0.398345607162388,-0.442724458204334,0.195454219724985,-0.331269349845201,-0.347656597448459,-0.234262125902993,-0.102167182662539,-0.308565531475748,-0.347781217750258,-0.42827657378741,-0.424148606811146,-0.238390092879257,-0.490196078431373,-0.341589267285862,-0.164086687306502,-0.331269349845201,0.450980392156863,0.111225329456759,0.199174406604747,0.366357069143447,-0.314757481940144,-0.450980392156863,-0.403508771929825,-0.599587203302374,-0.426212590299278,-0.242518059855521
"g_Faecalibaculum",-0.292053663570691,-0.473684210526316,0.112487100103199,-0.490196078431373,-0.333333333333333,-0.347781217750258,-0.373449006714739,-0.372549019607843,0.312078837019451,-0.176470588235294,-0.258350315535093,-0.0773993808049536,0.00928792569659443,-0.238390092879257,-0.159958720330237,-0.289989680082559,-0.341589267285862,-0.188854489164087,-0.380804953560372,-0.203302373581011,-0.0918472652218782,-0.378740970072239,0.337461300309598,0.193294504589902,0.219814241486068,0.304437564499484,-0.145510835913313,-0.374613003095975,-0.269349845201238,-0.448916408668731,-0.207430340557276,-0.219814241486068
