"ID","Name","Display_Name","Short_Label","Ion_Mode","Log2FC","Disease_Module","Mantel_r","Abs_Mantel_r","Mantel_P","Mantel_direction","rd","pd","link_type"
"pos_4360","8-Amino-7-oxononanoate","8-Amino-7-oxononanoate","8-Amino-7-oxononanoate","POS",0.808107072957069,"Serum Cytokines",0.572340687731732,0.572340687731732,0.001,"Positive",">= 0.4","< 0.01","Positive"
"pos_4360","8-Amino-7-oxononanoate","8-Amino-7-oxononanoate","8-Amino-7-oxononanoate","POS",0.808107072957069,"Ileum Cytokines",0.450250673683382,0.450250673683382,0.018,"Positive",">= 0.4","0.01 - 0.05","Positive"
"neg_10083","PC(17:2(9Z,12Z)/0:0)","PC(17:2(9Z,12Z)/0:0)","PC(17:2(9Z,12Z)/0:0)","NEG",1.30601157755859,"Lung Pathology",0.450305025803521,0.450305025803521,0.006,"Positive",">= 0.4","< 0.01","Positive"
"neg_12234","12,13-DiHODE","12,13-DiHODE","12,13-DiHODE","NEG",1.28057296641633,"Lung Pathology",0.447656044684628,0.447656044684628,0.01,"Positive",">= 0.4","< 0.01","Positive"
"neg_12260","PE(P-18:0/18:1(12Z)-2OH(9,10))","PE(P-18:0/18:1(12Z)-2OH(9,10))","PE(P-18:0/18:1(12Z)-2OH(9,10))","NEG",1.25227347962165,"Lung Pathology",0.452103036397261,0.452103036397261,0.006,"Positive",">= 0.4","< 0.01","Positive"
"pos_10117","PS(O-18:0/0:0)","PS(O-18:0/0:0)","PS(O-18:0/0:0)","POS",0.530792130931598,"Lung Pathology",0.42531962911082,0.42531962911082,0.012,"Positive",">= 0.4","0.01 - 0.05","Positive"
"pos_7892","Thyroxine","Thyroxine","Thyroxine","POS",1.30214469906815,"Lung Pathology",0.680903529692511,0.680903529692511,0.001,"Positive",">= 0.4","< 0.01","Positive"
"pos_8061","N-Oleoyl Alanine","N-Oleoyl Alanine","N-Oleoyl Alanine","POS",0.586328876698065,"Lung Pathology",0.705969574767823,0.705969574767823,0.001,"Positive",">= 0.4","< 0.01","Positive"
"neg_12260","PE(P-18:0/18:1(12Z)-2OH(9,10))","PE(P-18:0/18:1(12Z)-2OH(9,10))","PE(P-18:0/18:1(12Z)-2OH(9,10))","NEG",1.25227347962165,"Immune Cells",0.438895909706012,0.438895909706012,0.004,"Positive",">= 0.4","< 0.01","Positive"
"pos_4442","epsilon-(Carboxyethyl)lysine","epsilon-(Carboxyethyl)lysine","epsilon-(Carboxyethyl)lysine","POS",-0.675913731290435,"Immune Cells",0.502146547558737,0.502146547558737,0.003,"Positive",">= 0.4","< 0.01","Positive"
"pos_7892","Thyroxine","Thyroxine","Thyroxine","POS",1.30214469906815,"Immune Cells",0.475188674027743,0.475188674027743,0.005,"Positive",">= 0.4","< 0.01","Positive"
"pos_8061","N-Oleoyl Alanine","N-Oleoyl Alanine","N-Oleoyl Alanine","POS",0.586328876698065,"Immune Cells",0.696757547219849,0.696757547219849,0.001,"Positive",">= 0.4","< 0.01","Positive"
