"ID","Name","Display_Name","Short_Label","Ion_Mode","Log2FC","Taxon","Spearman_rho","Abs_Spearman_rho","Spearman_P","Spearman_direction"
"neg_11385","1-Hexadecyl-2-tridecanoyl-glycero-3-phosphoethanolamine","1-Hexadecyl-2-tridecanoyl-glycero-3-phosphoethanolamine","1-Hexadecyl-2-tridecanoyl-glyce...","NEG",6.72756894009051,"g_Coprococcus",0.614035087719298,0.614035087719298,0.00792629233163519,"Positive"
"neg_11385","1-Hexadecyl-2-tridecanoyl-glycero-3-phosphoethanolamine","1-Hexadecyl-2-tridecanoyl-glycero-3-phosphoethanolamine","1-Hexadecyl-2-tridecanoyl-glyce...","NEG",6.72756894009051,"g_Dorea",0.634674922600619,0.634674922600619,0.00568410841324273,"Positive"
"neg_11385","1-Hexadecyl-2-tridecanoyl-glycero-3-phosphoethanolamine","1-Hexadecyl-2-tridecanoyl-glycero-3-phosphoethanolamine","1-Hexadecyl-2-tridecanoyl-glyce...","NEG",6.72756894009051,"g_Roseburia",0.601651186790506,0.601651186790506,0.00958309493364592,"Positive"
"neg_11571","PGF1a","PGF1a","PGF1a","NEG",1.39213423597771,"g_Chlamydia",-0.642930856553148,0.642930856553148,0.00494579131825152,"Negative"
"neg_11571","PGF1a","PGF1a","PGF1a","NEG",1.39213423597771,"p_Chlamydiae",-0.642930856553148,0.642930856553148,0.00494579131825152,"Negative"
"neg_12234","12,13-DiHODE","12,13-DiHODE","12,13-DiHODE","NEG",1.28057296641633,"g_Coprococcus",0.653250773993808,0.653250773993808,0.00413405068112623,"Positive"
"neg_12260","PE(P-18:0/18:1(12Z)-2OH(9,10))","PE(P-18:0/18:1(12Z)-2OH(9,10))","PE(P-18:0/18:1(12Z)-2OH(9,10))","NEG",1.25227347962165,"g_Coprococcus",0.640866873065016,0.640866873065016,0.00512263339287237,"Positive"
"neg_8249","Pelargonidin 3-(6''-malonylglucoside)","Pelargonidin 3-(6''-malonylglucoside)","Pelargonidin 3-(6''-malonylgluc...","NEG",32.1295400555656,"g_Paraprevotella",-0.610119525660864,0.610119525660864,0.00717098196869742,"Negative"
"neg_8249","Pelargonidin 3-(6''-malonylglucoside)","Pelargonidin 3-(6''-malonylglucoside)","Pelargonidin 3-(6''-malonylgluc...","NEG",32.1295400555656,"g_Roseburia",0.634956249714315,0.634956249714315,0.00463894827626882,"Positive"
"neg_9101","MG(0:0/14:1(9Z)/0:0)","MG(0:0/14:1(9Z)/0:0)","MG(0:0/14:1(9Z)/0:0)","NEG",2.08599970996344,"g_Anaerostipes",0.684210526315789,0.684210526315789,0.00231888646375503,"Positive"
"neg_9101","MG(0:0/14:1(9Z)/0:0)","MG(0:0/14:1(9Z)/0:0)","MG(0:0/14:1(9Z)/0:0)","NEG",2.08599970996344,"g_Coprococcus",0.706914344685243,0.706914344685243,0.00144928790857469,"Positive"
