"spec","env","r","p","rd","pd","link_type"
"Serum Cytokines","g_Acetatifactor",0.275542505975436,0.061,"0.2 - 0.4",">= 0.05","Positive"
"Serum Cytokines","g_Anaerostipes",0.242395854519196,0.071,"0.2 - 0.4",">= 0.05","Positive"
"Serum Cytokines","g_Butyrivibrio",0.252452530335284,0.148,"0.2 - 0.4",">= 0.05","Positive"
"Serum Cytokines","g_Chlamydia",-0.082721015800248,0.714,"< 0.2",">= 0.05","Negative"
"Serum Cytokines","g_Clostridium",-0.218912373851499,0.899,"< 0.2",">= 0.05","Negative"
"Serum Cytokines","g_Coprococcus",0.161025860678527,0.176,"< 0.2",">= 0.05","Positive"
"Serum Cytokines","g_Dorea",0.235054873842361,0.068,"0.2 - 0.4",">= 0.05","Positive"
"Serum Cytokines","g_Eisenbergiella",0.242269105513611,0.115,"0.2 - 0.4",">= 0.05","Positive"
"Serum Cytokines","g_Escherichia",-0.205888065354336,0.939,"< 0.2",">= 0.05","Negative"
"Serum Cytokines","g_Faecalibaculum",-0.14960317342007,0.871,"< 0.2",">= 0.05","Negative"
"Serum Cytokines","g_Lachnoclostridium",0.399630311328965,0.009,"0.2 - 0.4","< 0.01","Positive"
"Serum Cytokines","g_Paraprevotella",0.455316649091638,0.003,">= 0.4","< 0.01","Positive"
"Serum Cytokines","g_Roseburia",0.144221880903706,0.174,"< 0.2",">= 0.05","Positive"
"Serum Cytokines","g_Schaedlerella",0.224758372291482,0.063,"0.2 - 0.4",">= 0.05","Positive"
"Serum Cytokines","g_Subdoligranulum",-0.122424806841709,0.64,"< 0.2",">= 0.05","Negative"
"Serum Cytokines","p_Actinobacteria",-0.126917017205922,0.794,"< 0.2",">= 0.05","Negative"
"Serum Cytokines","p_Chlamydiae",-0.082722444535859,0.74,"< 0.2",">= 0.05","Negative"
"Serum Cytokines","p_Firmicutes",0.0580789362394735,0.252,"< 0.2",">= 0.05","Positive"
"Ileum Cytokines","g_Acetatifactor",0.239849283764475,0.093,"0.2 - 0.4",">= 0.05","Positive"
