id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,fdr
053Uc4,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",thyroxine,Inverse variance weighted (multiplicative random effects),7,-0.0194924333535953,0.0151068060875965,0.196943726474933,0.692385240888786
C100003101,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",METSIM_C100003101_alpha_CEHC_glucuronide,Inverse variance weighted (multiplicative random effects),18,0.00604831485949566,0.0154190361193871,0.69486401914595,0.821202931717941
C1094,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",METSIM_C1094_thyroxine,Inverse variance weighted (multiplicative random effects),20,0.00340756386909812,0.0386571358728586,0.929758745012494,0.929758745012494
C2029,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",METSIM_C2029_azelate_C9_DC,Inverse variance weighted (multiplicative random effects),10,-0.0357976529683493,0.0321804673653805,0.265964854833191,0.692385240888786
C376,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",METSIM_C376_isoleucine,Inverse variance weighted (multiplicative random effects),23,0.0425671143950457,0.0350315657194914,0.224325135330459,0.692385240888786
C504,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",METSIM_C504_serotonin,Inverse variance weighted (multiplicative random effects),19,0.0412603082830827,0.0410129146138759,0.314400132903403,0.692385240888786
GCST90200293,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",Thyroxine levels,Inverse variance weighted (multiplicative random effects),21,-0.0322431146199184,0.0393125611718544,0.412117297505027,0.692385240888786
GCST90200399,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",Isoleucine levels,Inverse variance weighted (multiplicative random effects),22,0.0159221940993626,0.0259106791860596,0.538882889081021,0.778386395339253
GCST90200422,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",Serotonin levels,Inverse variance weighted (multiplicative random effects),25,-0.0128503961889794,0.029956234351637,0.667943348220506,0.821202931717941
GCST90243423,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",Isoleucine levels,Inverse variance weighted (multiplicative random effects),18,0.319998107132569,0.402052154356978,0.42608322516233,0.692385240888786
GCST90243460,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",Serotonin 5HT levels,Inverse variance weighted (multiplicative random effects),16,-0.156846115746713,0.184433142126678,0.395090165093954,0.692385240888786
o9MEwk,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",isoleucine,Inverse variance weighted (multiplicative random effects),11,-0.00621623644338798,0.0212771353599996,0.770167578490457,0.834348210031328
Qg2eCT,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",serotonin,Inverse variance weighted (multiplicative random effects),8,0.031668684405816,0.0202866732804828,0.118509941154882,0.692385240888786
