id.exposure,id.outcome,exposure,outcome,method,nsnp,b,se,pval,fdr,egger_intercept,egger_pval,QE,QEp,I2,correct_causal_direction,steiger_pval
053Uc4,J10_PNEUMOBACTEROTH,thyroxine,"Bacterial pneumonia, not elsewhere classified",Inverse variance weighted (multiplicative random effects),7,-0.0194924333535953,0.0151068060875965,0.196943726474933,0.692385240888786,0.00736269337165686,0.574549223878672,2.26085621952411,0.894213110587006,0,TRUE,1.62466442603912e-35
053Uc4,J10_PNEUMOBACTEROTH,thyroxine,"Bacterial pneumonia, not elsewhere classified",Contamination mixture,,-0.0267865596127717,0.0459183673469388,0.355175772248859,,0.00736269337165686,0.574549223878672,2.26085621952411,0.894213110587006,0,TRUE,1.62466442603912e-35
053Uc4,J10_PNEUMOBACTEROTH,thyroxine,"Bacterial pneumonia, not elsewhere classified",Weighted median,7,-0.0325779700683134,0.0321147232363262,0.310380119706338,,0.00736269337165686,0.574549223878672,2.26085621952411,0.894213110587006,0,TRUE,1.62466442603912e-35
C100003101,J10_PNEUMOBACTEROTH,METSIM_C100003101_alpha_CEHC_glucuronide,"Bacterial pneumonia, not elsewhere classified",Inverse variance weighted (multiplicative random effects),18,0.00604831485949566,0.0154190361193871,0.69486401914595,0.821202931717941,0.00753108385450395,0.553299488756968,16.5847441214258,0.482824858515913,0,TRUE,9.63147351158961e-111
C100003101,J10_PNEUMOBACTEROTH,METSIM_C100003101_alpha_CEHC_glucuronide,"Bacterial pneumonia, not elsewhere classified",Contamination mixture,,-0.0153646153846154,0.0255102040816327,0.457513863944453,,0.00753108385450395,0.553299488756968,16.5847441214258,0.482824858515913,0,TRUE,9.63147351158961e-111
C100003101,J10_PNEUMOBACTEROTH,METSIM_C100003101_alpha_CEHC_glucuronide,"Bacterial pneumonia, not elsewhere classified",Weighted median,18,-0.005330567891675,0.0205767901337833,0.795591022650474,,0.00753108385450395,0.553299488756968,16.5847441214258,0.482824858515913,0,TRUE,9.63147351158961e-111
C1094,J10_PNEUMOBACTEROTH,METSIM_C1094_thyroxine,"Bacterial pneumonia, not elsewhere classified",Inverse variance weighted (multiplicative random effects),20,0.00340756386909812,0.0386571358728586,0.929758745012494,0.929758745012494,-0.00318781109687107,0.782844679694847,25.5702857389416,0.142614247234802,25.6950032002793,TRUE,4.68617118515859e-92
C1094,J10_PNEUMOBACTEROTH,METSIM_C1094_thyroxine,"Bacterial pneumonia, not elsewhere classified",Contamination mixture,,0.0940908,0.114795918367347,0.130679135079661,,-0.00318781109687107,0.782844679694847,25.5702857389416,0.142614247234802,25.6950032002793,TRUE,4.68617118515859e-92
C1094,J10_PNEUMOBACTEROTH,METSIM_C1094_thyroxine,"Bacterial pneumonia, not elsewhere classified",Weighted median,20,0.00903897102005239,0.05118945432707,0.859839268991609,,-0.00318781109687107,0.782844679694847,25.5702857389416,0.142614247234802,25.6950032002793,TRUE,4.68617118515859e-92
C2029,J10_PNEUMOBACTEROTH,METSIM_C2029_azelate_C9_DC,"Bacterial pneumonia, not elsewhere classified",Inverse variance weighted (multiplicative random effects),10,-0.0357976529683493,0.0321804673653805,0.265964854833191,0.692385240888786,-0.0162458582645045,0.244032414359493,4.21024243308627,0.89703779729048,0,TRUE,1.59937109989864e-44
C2029,J10_PNEUMOBACTEROTH,METSIM_C2029_azelate_C9_DC,"Bacterial pneumonia, not elsewhere classified",Contamination mixture,,-0.0391084615384614,0.112244897959184,0.553467136920165,,-0.0162458582645045,0.244032414359493,4.21024243308627,0.89703779729048,0,TRUE,1.59937109989864e-44
C2029,J10_PNEUMOBACTEROTH,METSIM_C2029_azelate_C9_DC,"Bacterial pneumonia, not elsewhere classified",Weighted median,10,0.00744481552880828,0.0620320934425692,0.904470833494199,,-0.0162458582645045,0.244032414359493,4.21024243308627,0.89703779729048,0,TRUE,1.59937109989864e-44
C376,J10_PNEUMOBACTEROTH,METSIM_C376_isoleucine,"Bacterial pneumonia, not elsewhere classified",Inverse variance weighted (multiplicative random effects),23,0.0425671143950457,0.0350315657194914,0.224325135330459,0.692385240888786,-0.00417269078114097,0.706827971027897,28.5436456309107,0.158356732529454,22.9250520957436,TRUE,3.38621231270673e-104
C376,J10_PNEUMOBACTEROTH,METSIM_C376_isoleucine,"Bacterial pneumonia, not elsewhere classified",Contamination mixture,,0.020846111111111,0.0535714285714286,0.634226885474576,,-0.00417269078114097,0.706827971027897,28.5436456309107,0.158356732529454,22.9250520957436,TRUE,3.38621231270673e-104
