exposure,outcome,id.exposure,id.outcome,method,nsnp,b,se,pval,fdr,PRESSO_pval.x,egger_intercept,egger_pval,QE,QEp,I2,correct_causal_direction,steiger_pval,PRESSO_pval.y,lo_ci,up_ci,or,or_lci95,or_uci95
METSIM_C100003101_alpha_CEHC_glucuronide,Bacterial pneumoniae,C100003101,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),19,0.0059251235744101,0.00988059776942455,0.548724464510846,0.600189797282501,,-0.00198261768035829,0.828171070215044,13.8359955786421,0.739718177183353,0,TRUE,4.41197047138104e-122,,-0.013440848053662,0.0252910952024822,1.00594271183949,0.986649076804893,1.02561362828203
METSIM_C100003101_alpha_CEHC_glucuronide,Bacterial pneumoniae,C100003101,J10_PNEUMOBACT,Contamination mixture,,-0.00710045000000001,0.0102040816326531,0.469169195342624,,,-0.00198261768035829,0.828171070215044,13.8359955786421,0.739718177183353,0,TRUE,4.41197047138104e-122,,-0.02710045,0.01289955,0.992924698637684,0.973263472298167,1.01298310809583
METSIM_C100003101_alpha_CEHC_glucuronide,Bacterial pneumoniae,C100003101,J10_PNEUMOBACT,Weighted median,19,-0.00575292194586151,0.0157466553858048,0.714855780951566,,,-0.00198261768035829,0.828171070215044,13.8359955786421,0.739718177183353,0,TRUE,4.41197047138104e-122,,-0.036616366502039,0.0251105226103159,0.99426359442196,0.964045904719182,1.02542844729042
METSIM_C1094_thyroxine,Bacterial pneumoniae,C1094,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),21,0.0146112930187208,0.0278773588504057,0.600189797282501,0.600189797282501,,0.00312262359149286,0.709801119547408,26.2844151305821,0.156622670166316,23.9092827417343,TRUE,1.66530204870224e-100,,-0.0400283303280745,0.069250916365516,1.01471855975908,0.960762220057866,1.07170508375894
METSIM_C1094_thyroxine,Bacterial pneumoniae,C1094,J10_PNEUMOBACT,Contamination mixture,,0.1348292,0.0816326530612245,0.337865334023873,,,0.00312262359149286,0.709801119547408,26.2844151305821,0.156622670166316,23.9092827417343,TRUE,1.66530204870224e-100,,-0.0251708,0.2948292,1.14434131416218,0.975143343320731,1.34289697229437
METSIM_C1094_thyroxine,Bacterial pneumoniae,C1094,J10_PNEUMOBACT,Weighted median,21,-0.0142161805444898,0.0345216342360662,0.680482378411781,,,0.00312262359149286,0.709801119547408,26.2844151305821,0.156622670166316,23.9092827417343,TRUE,1.66530204870224e-100,,-0.0818785836471796,0.0534462225582,0.985884392199318,0.921383822968468,1.05490026040481
METSIM_C2029_azelate_C9_DC,Bacterial pneumoniae,C2029,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),12,-0.0152981284168781,0.0257956333155805,0.55314696240511,0.600189797282501,,-0.00598307545462919,0.494422771276242,7.14676151212677,0.787076925749054,0,TRUE,5.09615326341066e-54,,-0.0658575697154158,0.0352613128816596,0.984818293514358,0.936264207172835,1.03589036493146
METSIM_C2029_azelate_C9_DC,Bacterial pneumoniae,C2029,J10_PNEUMOBACT,Contamination mixture,,0.0107376923076923,0,0.736030878567284,,,-0.00598307545462919,0.494422771276242,7.14676151212677,0.787076925749054,0,TRUE,5.09615326341066e-54,,0.0107376923076923,0.0107376923076923,1.01079554821997,1.01079554821997,1.01079554821997
METSIM_C2029_azelate_C9_DC,Bacterial pneumoniae,C2029,J10_PNEUMOBACT,Contamination mixture,,0.0107376923076923,0.0510204081632653,0.736030878567284,,,-0.00598307545462919,0.494422771276242,7.14676151212677,0.787076925749054,0,TRUE,5.09615326341066e-54,,-0.0892623076923077,0.110737692307692,1.01079554821997,0.914605634013602,1.11710184401304
METSIM_C2029_azelate_C9_DC,Bacterial pneumoniae,C2029,J10_PNEUMOBACT,Weighted median,12,0.00698698705884422,0.0410392957017643,0.864812631356465,,,-0.00598307545462919,0.494422771276242,7.14676151212677,0.787076925749054,0,TRUE,5.09615326341066e-54,,-0.0734500325166138,0.0874240066343023,1.00701145300081,0.929182573546377,1.09135932522327
METSIM_C376_isoleucine,Bacterial pneumoniae,C376,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),24,0.0227630721653443,0.0249571734745726,0.361723792611287,0.600189797282501,,0.00268268293319998,0.737881382336991,28.5668537600628,0.195102195350137,19.4871084047952,TRUE,8.64461541920409e-114,,-0.0261529878448179,0.0716791321755066,1.02302412793989,0.974186039584971,1.07431057705676
