exposure,outcome,id.exposure,id.outcome,method,nsnp,b,se,pval,fdr,PRESSO_pval.x,egger_intercept,egger_pval,QE,QEp,I2,correct_causal_direction,steiger_pval,PRESSO_pval.y,lo_ci,up_ci,or,or_lci95,or_uci95
Clostridium I abundance in stool,Bacterial pneumoniae,GCST90032323,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),13,0.0923864331560929,0.0730974355970257,0.206272874173461,0.858829861051667,,0.00500063772390132,0.592978305005713,5.20336112301628,0.950839164730407,0,TRUE,2.66311068130874e-58,,-0.0508845406140774,0.235657406926263,1.09678857567019,0.950388395458446,1.26574060191504
Clostridium I abundance in stool,Bacterial pneumoniae,GCST90032323,J10_PNEUMOBACT,Contamination mixture,,0.168892386273402,0.196428571428571,0.356657110712666,,,0.00500063772390132,0.592978305005713,5.20336112301628,0.950839164730407,0,TRUE,2.66311068130874e-58,,-0.216107613726598,0.553892386273402,1.18399271819931,0.805648598360321,1.74001265514774
Clostridium I abundance in stool,Bacterial pneumoniae,GCST90032323,J10_PNEUMOBACT,Weighted median,13,0.124903535754701,0.146033125633899,0.392379768711663,,,0.00500063772390132,0.592978305005713,5.20336112301628,0.950839164730407,0,TRUE,2.66311068130874e-58,,-0.161321390487741,0.411128461997142,1.13303915002849,0.851018517894263,1.50851913149179
Clostridium P abundance in stool,Bacterial pneumoniae,GCST90032326,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),24,0.00503104387673557,0.0621543457650672,0.935486199745749,0.964655523797553,,-0.000400606498810994,0.955637195886095,21.978023891929,0.521578827921485,0,TRUE,9.44880256879563e-109,,-0.116791473822796,0.126853561576267,1.0050437208285,0.889770714305374,1.13525076127659
Clostridium P abundance in stool,Bacterial pneumoniae,GCST90032326,J10_PNEUMOBACT,Contamination mixture,,0.0187577238108922,0.160714285714286,0.82320494485176,,,-0.000400606498810994,0.955637195886095,21.978023891929,0.521578827921485,0,TRUE,9.44880256879563e-109,,-0.296242276189108,0.333757723810892,1.01893475508099,0.743607247864175,1.39620483540742
Clostridium P abundance in stool,Bacterial pneumoniae,GCST90032326,J10_PNEUMOBACT,Weighted median,24,-0.0506215963246024,0.0893486330420852,0.571011371927584,,,-0.000400606498810994,0.955637195886095,21.978023891929,0.521578827921485,0,TRUE,9.44880256879563e-109,,-0.225744917087089,0.124501724437885,0.950638327517479,0.797921611877614,1.13258397352927
Firmicutes A abundance in stool,Bacterial pneumoniae,GCST90032396,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),19,-0.359409187109011,0.133099789800552,0.00692772500298549,0.193976300083594,,0.00135716940540804,0.884168730134791,14.180819355811,0.717230066122325,0,TRUE,1.0809158169043e-88,0.733,-0.620284775118093,-0.0985335990999286,0.6980886440276,0.537791266214665,0.906165245766136
Firmicutes A abundance in stool,Bacterial pneumoniae,GCST90032396,J10_PNEUMOBACT,Contamination mixture,,-0.611997558594615,0.272959183673469,0.041316987717077,,,0.00135716940540804,0.884168730134791,14.180819355811,0.717230066122325,0,TRUE,1.0809158169043e-88,0.733,-1.14699755859462,-0.0769975585946151,0.542266577204909,0.317588881340846,0.925892114081729
Firmicutes A abundance in stool,Bacterial pneumoniae,GCST90032396,J10_PNEUMOBACT,MR-PRESSO (Outlier-corrected),,-0.359409187109011,0.133099789800552,0.0146423731843578,,0.733,0.00135716940540804,0.884168730134791,14.180819355811,0.717230066122325,0,TRUE,1.0809158169043e-88,0.733,-0.620284775118093,-0.0985335990999286,0.6980886440276,0.537791266214665,0.906165245766136
Firmicutes A abundance in stool,Bacterial pneumoniae,GCST90032396,J10_PNEUMOBACT,Weighted median,19,-0.389590925238119,0.211905943268827,0.0659874776167572,,,0.00135716940540804,0.884168730134791,14.180819355811,0.717230066122325,0,TRUE,1.0809158169043e-88,0.733,-0.804926574045019,0.0257447235687812,0.677333898035686,0.447120755622562,1.02607898125735
Firmicutes E abundance in stool,Bacterial pneumoniae,GCST90032397,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),20,0.0436993131028297,0.156015070303806,0.77940328319193,0.964655523797553,,-0.00275466989108492,0.749982803658543,18.2668841645506,0.504682157311139,0,TRUE,3.66110695101487e-92,,-0.26209022469263,0.349488850898289,1.04466818962161,0.769441597943993,1.41834237884125
Firmicutes E abundance in stool,Bacterial pneumoniae,GCST90032397,J10_PNEUMOBACT,Contamination mixture,,-0.299425906706285,0.214285714285714,0.174215936875918,,,-0.00275466989108492,0.749982803658543,18.2668841645506,0.504682157311139,0,TRUE,3.66110695101487e-92,,-0.719425906706285,0.120574093293715,0.741243641558025,0.487031777393832,1.12814432579807
Firmicutes E abundance in stool,Bacterial pneumoniae,GCST90032397,J10_PNEUMOBACT,Weighted median,20,-0.0052034471423129,0.218701292770528,0.981018134766926,,,-0.00275466989108492,0.749982803658543,18.2668841645506,0.504682157311139,0,TRUE,3.66110695101487e-92,,-0.433857980972548,0.423451086687922,0.99481006733798,0.648004277888061,1.52722305059837
Firmicutes I abundance in stool,Bacterial pneumoniae,GCST90032398,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),23,-0.548540499400205,0.223141477996452,0.0139610786183803,0.195455100657324,,0.00674016133741397,0.488155235629413,9.89087653877393,0.987267392007538,0,TRUE,5.89859176378619e-108,0.99,-0.985897796273251,-0.111183202527159,0.57779248376636,0.373104105048533,0.894774808906147
Firmicutes I abundance in stool,Bacterial pneumoniae,GCST90032398,J10_PNEUMOBACT,Contamination mixture,,-1.11839844759867,0.5,0.0563993759729541,,,0.00674016133741397,0.488155235629413,9.89087653877393,0.987267392007538,0,TRUE,5.89859176378619e-108,0.99,-2.09839844759867,-0.138398447598667,0.326802767484061,0.122652705772121,0.870751673702714
Firmicutes I abundance in stool,Bacterial pneumoniae,GCST90032398,J10_PNEUMOBACT,MR-PRESSO (Outlier-corrected),,-0.548540499400205,0.223141477996452,0.0223044259913776,,0.99,0.00674016133741397,0.488155235629413,9.89087653877393,0.987267392007538,0,TRUE,5.89859176378619e-108,0.99,-0.985897796273251,-0.111183202527159,0.57779248376636,0.373104105048533,0.894774808906147
Firmicutes I abundance in stool,Bacterial pneumoniae,GCST90032398,J10_PNEUMOBACT,Weighted median,23,-0.77056505281373,0.441369180737944,0.0808367567553823,,,0.00674016133741397,0.488155235629413,9.89087653877393,0.987267392007538,0,TRUE,5.89859176378619e-108,0.99,-1.6356486470601,0.0945185414326395,0.462751515376755,0.194825957020237,1.09912954238043
G_Clostridium_XlVa abundance,Bacterial pneumoniae,GCST90011328,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),7,-0.0458063033048781,0.0370685279055826,0.216562841225969,0.858829861051667,,0.0166185646938223,0.425399913068102,3.43177718319674,0.753023209724628,0,TRUE,3.07107584427913e-31,,-0.11846061799982,0.0268480113900639,0.955226968579478,0.888286797478791,1.02721166642503
G_Clostridium_XlVa abundance,Bacterial pneumoniae,GCST90011328,J10_PNEUMOBACT,Contamination mixture,,-0.0780101642627328,0.0739795918367347,0.168491166642599,,,0.0166185646938223,0.425399913068102,3.43177718319674,0.753023209724628,0,TRUE,3.07107584427913e-31,,-0.223010164262733,0.0669898357372673,0.924955025009869,0.80010671675834,1.06928460962966
G_Clostridium_XlVa abundance,Bacterial pneumoniae,GCST90011328,J10_PNEUMOBACT,Weighted median,7,-0.046084060767484,0.0619528782593056,0.456963200848838,,,0.0166185646938223,0.425399913068102,3.43177718319674,0.753023209724628,0,TRUE,3.07107584427913e-31,,-0.167511702155723,0.0753435806207549,0.954961684004564,0.845766719937072,1.07825455461842
G_Coprococcus abundance,Bacterial pneumoniae,GCST90011329,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),14,0.00154426977677222,0.0258537863215037,0.952369965601478,0.964655523797553,,-0.013814040115362,0.491516847156898,8.91657637736209,0.779214552045679,0,TRUE,7.9974443451697e-61,,-0.049129151413375,0.0522176909669194,1.00154546277537,0.952058162100706,1.05360507785849
G_Coprococcus abundance,Bacterial pneumoniae,GCST90011329,J10_PNEUMOBACT,Contamination mixture,,0.0347392643781153,0.0688775510204082,0.486596192897747,,,-0.013814040115362,0.491516847156898,8.91657637736209,0.779214552045679,0,TRUE,7.9974443451697e-61,,-0.100260735621885,0.169739264378115,1.03534972105005,0.904601525443201,1.18499584040966
G_Coprococcus abundance,Bacterial pneumoniae,GCST90011329,J10_PNEUMOBACT,Weighted median,14,0.0265644882863276,0.0409087184052215,0.516105666351341,,,-0.013814040115362,0.491516847156898,8.91657637736209,0.779214552045679,0,TRUE,7.9974443451697e-61,,-0.0536165997879064,0.106745576360562,1.02692046946765,0.947795421815509,1.11265113371368
G_Paraprevotella abundance,Bacterial pneumoniae,GCST90011336,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),15,-0.00633641734663069,0.0259555574931966,0.807133507525846,0.964655523797553,,0.00380876619570796,0.769874972159268,27.0968214485902,0.0187030614172059,48.3334234365397,TRUE,1.99872865063925e-64,,-0.0572093100332961,0.0445364753400347,0.99368361541146,0.944396377040628,1.04554311255549
G_Paraprevotella abundance,Bacterial pneumoniae,GCST90011336,J10_PNEUMOBACT,Contamination mixture,,-0.0165162950499371,0.0229591836734694,0.349344782922808,,,0.00380876619570796,0.769874972159268,27.0968214485902,0.0187030614172059,48.3334234365397,TRUE,1.99872865063925e-64,,-0.0615162950499371,0.0284837049500629,0.983619351133636,0.940337622766064,1.02889324483112
G_Paraprevotella abundance,Bacterial pneumoniae,GCST90011336,J10_PNEUMOBACT,Weighted median,15,-0.01764266683304,0.0264630075252045,0.50496909700713,,,0.00380876619570796,0.769874972159268,27.0968214485902,0.0187030614172059,48.3334234365397,TRUE,1.99872865063925e-64,,-0.0695101615824408,0.0342248279163607,0.982512053782522,0.932850654097567,1.03481723637939
G_Roseburia abundance,Bacterial pneumoniae,GCST90011342,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),12,0.00728257946515433,0.0383636444864091,0.849442166297922,0.964655523797553,,0.000210773707120267,0.983622306423197,12.4706615189954,0.32932388464222,11.7929711808416,TRUE,1.69743833378794e-49,,-0.0679101637282074,0.0824753226585161,1.00730916193746,0.934344407825156,1.08597187420961
