exposure,outcome,id.exposure,id.outcome,method,nsnp,b,se,pval,fdr,PRESSO_pval.x,egger_intercept,egger_pval,QE,QEp,I2,correct_causal_direction,steiger_pval,PRESSO_pval.y
Clostridium I abundance in stool,Bacterial pneumoniae,GCST90032323,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),13,0.0923864331560929,0.0730974355970257,0.206272874173461,0.858829861051667,,0.00500063772390132,0.592978305005713,5.20336112301628,0.950839164730407,0,TRUE,2.66311068130874e-58,
Clostridium I abundance in stool,Bacterial pneumoniae,GCST90032323,J10_PNEUMOBACT,Contamination mixture,,0.168892386273402,0.196428571428571,0.356657110712666,,,0.00500063772390132,0.592978305005713,5.20336112301628,0.950839164730407,0,TRUE,2.66311068130874e-58,
Clostridium I abundance in stool,Bacterial pneumoniae,GCST90032323,J10_PNEUMOBACT,Weighted median,13,0.124903535754701,0.146033125633899,0.392379768711663,,,0.00500063772390132,0.592978305005713,5.20336112301628,0.950839164730407,0,TRUE,2.66311068130874e-58,
Clostridium P abundance in stool,Bacterial pneumoniae,GCST90032326,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),24,0.00503104387673557,0.0621543457650672,0.935486199745749,0.964655523797553,,-0.000400606498810994,0.955637195886095,21.978023891929,0.521578827921485,0,TRUE,9.44880256879563e-109,
Clostridium P abundance in stool,Bacterial pneumoniae,GCST90032326,J10_PNEUMOBACT,Contamination mixture,,0.0187577238108922,0.160714285714286,0.82320494485176,,,-0.000400606498810994,0.955637195886095,21.978023891929,0.521578827921485,0,TRUE,9.44880256879563e-109,
Clostridium P abundance in stool,Bacterial pneumoniae,GCST90032326,J10_PNEUMOBACT,Weighted median,24,-0.0506215963246024,0.0893486330420852,0.571011371927584,,,-0.000400606498810994,0.955637195886095,21.978023891929,0.521578827921485,0,TRUE,9.44880256879563e-109,
Firmicutes A abundance in stool,Bacterial pneumoniae,GCST90032396,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),19,-0.359409187109011,0.133099789800552,0.00692772500298549,0.193976300083594,,0.00135716940540804,0.884168730134791,14.180819355811,0.717230066122325,0,TRUE,1.0809158169043e-88,0.733
Firmicutes A abundance in stool,Bacterial pneumoniae,GCST90032396,J10_PNEUMOBACT,Contamination mixture,,-0.611997558594615,0.272959183673469,0.041316987717077,,,0.00135716940540804,0.884168730134791,14.180819355811,0.717230066122325,0,TRUE,1.0809158169043e-88,0.733
Firmicutes A abundance in stool,Bacterial pneumoniae,GCST90032396,J10_PNEUMOBACT,MR-PRESSO (Outlier-corrected),,-0.359409187109011,0.133099789800552,0.0146423731843578,,0.733,0.00135716940540804,0.884168730134791,14.180819355811,0.717230066122325,0,TRUE,1.0809158169043e-88,0.733
Firmicutes A abundance in stool,Bacterial pneumoniae,GCST90032396,J10_PNEUMOBACT,Weighted median,19,-0.389590925238119,0.211905943268827,0.0659874776167572,,,0.00135716940540804,0.884168730134791,14.180819355811,0.717230066122325,0,TRUE,1.0809158169043e-88,0.733
Firmicutes E abundance in stool,Bacterial pneumoniae,GCST90032397,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),20,0.0436993131028297,0.156015070303806,0.77940328319193,0.964655523797553,,-0.00275466989108492,0.749982803658543,18.2668841645506,0.504682157311139,0,TRUE,3.66110695101487e-92,
Firmicutes E abundance in stool,Bacterial pneumoniae,GCST90032397,J10_PNEUMOBACT,Contamination mixture,,-0.299425906706285,0.214285714285714,0.174215936875918,,,-0.00275466989108492,0.749982803658543,18.2668841645506,0.504682157311139,0,TRUE,3.66110695101487e-92,
Firmicutes E abundance in stool,Bacterial pneumoniae,GCST90032397,J10_PNEUMOBACT,Weighted median,20,-0.0052034471423129,0.218701292770528,0.981018134766926,,,-0.00275466989108492,0.749982803658543,18.2668841645506,0.504682157311139,0,TRUE,3.66110695101487e-92,
Firmicutes I abundance in stool,Bacterial pneumoniae,GCST90032398,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),23,-0.548540499400205,0.223141477996452,0.0139610786183803,0.195455100657324,,0.00674016133741397,0.488155235629413,9.89087653877393,0.987267392007538,0,TRUE,5.89859176378619e-108,0.99
Firmicutes I abundance in stool,Bacterial pneumoniae,GCST90032398,J10_PNEUMOBACT,Contamination mixture,,-1.11839844759867,0.5,0.0563993759729541,,,0.00674016133741397,0.488155235629413,9.89087653877393,0.987267392007538,0,TRUE,5.89859176378619e-108,0.99
Firmicutes I abundance in stool,Bacterial pneumoniae,GCST90032398,J10_PNEUMOBACT,MR-PRESSO (Outlier-corrected),,-0.548540499400205,0.223141477996452,0.0223044259913776,,0.99,0.00674016133741397,0.488155235629413,9.89087653877393,0.987267392007538,0,TRUE,5.89859176378619e-108,0.99
Firmicutes I abundance in stool,Bacterial pneumoniae,GCST90032398,J10_PNEUMOBACT,Weighted median,23,-0.77056505281373,0.441369180737944,0.0808367567553823,,,0.00674016133741397,0.488155235629413,9.89087653877393,0.987267392007538,0,TRUE,5.89859176378619e-108,0.99
G_Clostridium_XlVa abundance,Bacterial pneumoniae,GCST90011328,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),7,-0.0458063033048781,0.0370685279055826,0.216562841225969,0.858829861051667,,0.0166185646938223,0.425399913068102,3.43177718319674,0.753023209724628,0,TRUE,3.07107584427913e-31,
G_Clostridium_XlVa abundance,Bacterial pneumoniae,GCST90011328,J10_PNEUMOBACT,Contamination mixture,,-0.0780101642627328,0.0739795918367347,0.168491166642599,,,0.0166185646938223,0.425399913068102,3.43177718319674,0.753023209724628,0,TRUE,3.07107584427913e-31,
G_Clostridium_XlVa abundance,Bacterial pneumoniae,GCST90011328,J10_PNEUMOBACT,Weighted median,7,-0.046084060767484,0.0619528782593056,0.456963200848838,,,0.0166185646938223,0.425399913068102,3.43177718319674,0.753023209724628,0,TRUE,3.07107584427913e-31,
G_Coprococcus abundance,Bacterial pneumoniae,GCST90011329,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),14,0.00154426977677222,0.0258537863215037,0.952369965601478,0.964655523797553,,-0.013814040115362,0.491516847156898,8.91657637736209,0.779214552045679,0,TRUE,7.9974443451697e-61,
G_Coprococcus abundance,Bacterial pneumoniae,GCST90011329,J10_PNEUMOBACT,Contamination mixture,,0.0347392643781153,0.0688775510204082,0.486596192897747,,,-0.013814040115362,0.491516847156898,8.91657637736209,0.779214552045679,0,TRUE,7.9974443451697e-61,
G_Coprococcus abundance,Bacterial pneumoniae,GCST90011329,J10_PNEUMOBACT,Weighted median,14,0.0265644882863276,0.0409087184052215,0.516105666351341,,,-0.013814040115362,0.491516847156898,8.91657637736209,0.779214552045679,0,TRUE,7.9974443451697e-61,
G_Paraprevotella abundance,Bacterial pneumoniae,GCST90011336,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),15,-0.00633641734663069,0.0259555574931966,0.807133507525846,0.964655523797553,,0.00380876619570796,0.769874972159268,27.0968214485902,0.0187030614172059,48.3334234365397,TRUE,1.99872865063925e-64,
G_Paraprevotella abundance,Bacterial pneumoniae,GCST90011336,J10_PNEUMOBACT,Contamination mixture,,-0.0165162950499371,0.0229591836734694,0.349344782922808,,,0.00380876619570796,0.769874972159268,27.0968214485902,0.0187030614172059,48.3334234365397,TRUE,1.99872865063925e-64,
G_Paraprevotella abundance,Bacterial pneumoniae,GCST90011336,J10_PNEUMOBACT,Weighted median,15,-0.01764266683304,0.0264630075252045,0.50496909700713,,,0.00380876619570796,0.769874972159268,27.0968214485902,0.0187030614172059,48.3334234365397,TRUE,1.99872865063925e-64,
G_Roseburia abundance,Bacterial pneumoniae,GCST90011342,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),12,0.00728257946515433,0.0383636444864091,0.849442166297922,0.964655523797553,,0.000210773707120267,0.983622306423197,12.4706615189954,0.32932388464222,11.7929711808416,TRUE,1.69743833378794e-49,
G_Roseburia abundance,Bacterial pneumoniae,GCST90011342,J10_PNEUMOBACT,Contamination mixture,,-0.0346873421213139,0.0816326530612245,0.556045305274981,,,0.000210773707120267,0.983622306423197,12.4706615189954,0.32932388464222,11.7929711808416,TRUE,1.69743833378794e-49,
G_Roseburia abundance,Bacterial pneumoniae,GCST90011342,J10_PNEUMOBACT,Weighted median,12,0.0045729807556319,0.0524957412483427,0.930582914864494,,,0.000210773707120267,0.983622306423197,12.4706615189954,0.32932388464222,11.7929711808416,TRUE,1.69743833378794e-49,
G_Subdoligranulum abundance,Bacterial pneumoniae,GCST90011346,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),11,0.0538547477882695,0.0422254551961622,0.202164328789507,0.858829861051667,,-0.00292321780989029,0.826570849328712,10.9709824170225,0.359783213148293,8.85046006013011,TRUE,1.35296417018374e-45,
G_Subdoligranulum abundance,Bacterial pneumoniae,GCST90011346,J10_PNEUMOBACT,Contamination mixture,,0.104805833841392,0.102040816326531,0.208249125755165,,,-0.00292321780989029,0.826570849328712,10.9709824170225,0.359783213148293,8.85046006013011,TRUE,1.35296417018374e-45,
G_Subdoligranulum abundance,Bacterial pneumoniae,GCST90011346,J10_PNEUMOBACT,Weighted median,11,0.0559867914487758,0.0616824279454445,0.364056864789502,,,-0.00292321780989029,0.826570849328712,10.9709824170225,0.359783213148293,8.85046006013011,TRUE,1.35296417018374e-45,
P_Actinobacteria abundance,Bacterial pneumoniae,GCST90011481,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),16,0.0032663771231913,0.0215355395565555,0.87944422249858,0.964655523797553,,-0.000297508095156987,0.974023147469033,8.31133303657299,0.91069520180763,0,TRUE,3.63190841586805e-71,
