id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,fdr
0Rtwbb,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",g_Coprococcus1,Inverse variance weighted (multiplicative random effects),14,-0.0665204037255388,0.0622842914780792,0.285514859725922,0.879738625288083
2ceLcs,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",g_Clostridiumsensustricto1,Inverse variance weighted (multiplicative random effects),9,0.0982337196851127,0.0640808907346865,0.125284644090904,0.80668740259256
3SIwNH,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",p_Firmicutes,Inverse variance weighted (multiplicative random effects),17,-0.051206344488257,0.0520071850796109,0.324819927724175,0.879738625288083
5Tx4np,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",g_Escherichia_Shigella,Inverse variance weighted (multiplicative random effects),15,-0.0584306606175806,0.0515723973565035,0.257221301676509,0.879738625288083
abBjaX,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",g_Lachnoclostridium,Inverse variance weighted (multiplicative random effects),14,-0.027996486980288,0.0649591367159066,0.666478455152579,0.880085095873808
b57lAH,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",g_Coprococcus2,Inverse variance weighted (multiplicative random effects),11,-0.050751523326856,0.0637937807021798,0.426290164797714,0.880085095873808
DL0nTm,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",g_Eisenbergiella,Inverse variance weighted (multiplicative random effects),12,-0.0056503869222433,0.0513061397677196,0.912305630960165,0.915848526025684
GCST90011328,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",G_Clostridium_XlVa abundance,Inverse variance weighted (multiplicative random effects),7,0.0814585572491056,0.0789753421810188,0.302333164301629,0.879738625288083
GCST90011329,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",G_Coprococcus abundance,Inverse variance weighted (multiplicative random effects),14,0.019639864997686,0.0351960721815755,0.576835523168204,0.880085095873808
GCST90011336,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",G_Paraprevotella abundance,Inverse variance weighted (multiplicative random effects),15,-0.0248181127440603,0.0280944834097514,0.377030839409178,0.879738625288083
GCST90011342,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",G_Roseburia abundance,Inverse variance weighted (multiplicative random effects),12,-0.0149279381142778,0.0493395149922902,0.762228685915164,0.889266800234358
GCST90011346,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",G_Subdoligranulum abundance,Inverse variance weighted (multiplicative random effects),10,0.0145166648987034,0.0833110685373535,0.861671716377396,0.915848526025684
GCST90011481,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",P_Actinobacteria abundance,Inverse variance weighted (multiplicative random effects),16,-0.0164345538764431,0.0355280113349347,0.643665318110756,0.880085095873808
GCST90011483,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",P_Firmicutes abundance,Inverse variance weighted (multiplicative random effects),8,0.0800819344030789,0.0433627961041106,0.0647777282488817,0.604592130322895
GCST90032323,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",Clostridium I abundance in stool,Inverse variance weighted (multiplicative random effects),13,0.26616967892777,0.109331108146917,0.0149112130019432,0.417513964054409
GCST90032326,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",Clostridium P abundance in stool,Inverse variance weighted (multiplicative random effects),24,0.033538900408597,0.0945957938150126,0.722927043039199,0.880085095873808
GCST90032396,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",Firmicutes A abundance in stool,Inverse variance weighted (multiplicative random effects),19,-0.0768774943657695,0.162043663233212,0.635197179432566,0.880085095873808
GCST90032397,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",Firmicutes E abundance in stool,Inverse variance weighted (multiplicative random effects),20,-0.0644773291469661,0.157580066164177,0.682413542002749,0.880085095873808
GCST90032398,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",Firmicutes I abundance in stool,Inverse variance weighted (multiplicative random effects),23,-0.03885092376209,0.367681802331192,0.915848526025684,0.915848526025684
hwr8uN,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",g_Coprococcus3,Inverse variance weighted (multiplicative random effects),10,0.101254321834924,0.112815810445265,0.369442094068245,0.879738625288083
kYZi2a,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",g_Roseburia,Inverse variance weighted (multiplicative random effects),17,-0.0850599453395519,0.0631460734813444,0.177969091944449,0.830522429074095
SqPjyB,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",g_Paraprevotella,Inverse variance weighted (multiplicative random effects),13,-0.0232482021655968,0.0372141591361623,0.532158854297903,0.880085095873808
t0b6Ao,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",g_Subdoligranulum,Inverse variance weighted (multiplicative random effects),13,0.0254260446934612,0.0683131180958089,0.709745012609476,0.880085095873808
uJZmym,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",g_Dorea,Inverse variance weighted (multiplicative random effects),13,0.0453662823707667,0.065427938299601,0.488072466812101,0.880085095873808
Uu05GB,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",g_Clostridiuminnocuumgroup,Inverse variance weighted (multiplicative random effects),11,-0.0618068696119542,0.0423082824486375,0.144051321891529,0.80668740259256
wodMEV,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",g_Anaerostipes,Inverse variance weighted (multiplicative random effects),15,-0.00876082042544631,0.069916759814918,0.900283216750205,0.915848526025684
XK1LhR,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",g_Butyrivibrio,Inverse variance weighted (multiplicative random effects),16,-0.052494970053692,0.0255098380762847,0.0396062294462746,0.554487212247845
XSQUzn,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",p_Actinobacteria,Inverse variance weighted (multiplicative random effects),17,-0.0292970229903211,0.0638691599916799,0.64644692309878,0.880085095873808
