exposure,outcome,id.exposure,id.outcome,method,nsnp,b,se,pval,fdr,PRESSO_pval.x,egger_intercept,egger_pval,QE,QEp,I2,correct_causal_direction,steiger_pval,PRESSO_pval.y,lo_ci,up_ci,or,or_lci95,or_uci95
Clostridium I abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032323,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),13,0.26616967892777,0.109331108146917,0.0149112130019432,0.417513964054409,,0.00400011862311537,0.750062544228172,6.4168593091662,0.893628811742951,0,TRUE,2.58988259537315e-55,0.918,0.0518807069598129,0.480458650895728,1.30495646351605,1.05325008961349,1.61681578617024
Clostridium I abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032323,J10_PNEUMOBACTEROTH,Contamination mixture,,0.296886113530718,0.346938775510204,0.207393885154146,,,0.00400011862311537,0.750062544228172,6.4168593091662,0.893628811742951,0,TRUE,2.58988259537315e-55,0.918,-0.383113886469282,0.976886113530718,1.3456620380227,0.681735254443612,2.65617233196086
Clostridium I abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032323,J10_PNEUMOBACTEROTH,MR-PRESSO (Outlier-corrected),,0.26616967892777,0.109331108146917,0.0314710261022598,,0.918,0.00400011862311537,0.750062544228172,6.4168593091662,0.893628811742951,0,TRUE,2.58988259537315e-55,0.918,0.0518807069598129,0.480458650895728,1.30495646351605,1.05325008961349,1.61681578617024
Clostridium I abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032323,J10_PNEUMOBACTEROTH,Weighted median,13,0.190801847019934,0.192604070673451,0.321860002462658,,,0.00400011862311537,0.750062544228172,6.4168593091662,0.893628811742951,0,TRUE,2.58988259537315e-55,0.918,-0.186702131500029,0.568305825539897,1.21021961969616,0.82969083834709,1.76527383478809
Clostridium P abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032326,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),24,0.033538900408597,0.0945957938150126,0.722927043039199,0.880085095873808,,-3.48019937052534e-05,0.997463109059975,28.1274831590436,0.210999204278419,18.2294417529321,TRUE,6.35561842879766e-103,,-0.151868855468828,0.218946656286022,1.03410767015476,0.859100939743628,1.24476487453504
Clostridium P abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032326,J10_PNEUMOBACTEROTH,Contamination mixture,,0.188413726581921,0.219387755102041,0.274059176212829,,,-3.48019937052534e-05,0.997463109059975,28.1274831590436,0.210999204278419,18.2294417529321,TRUE,6.35561842879766e-103,,-0.241586273418079,0.618413726581921,1.20733291775576,0.78538104335896,1.85598161124754
Clostridium P abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032326,J10_PNEUMOBACTEROTH,Weighted median,24,0.0464956951080204,0.125295369586443,0.710571471414912,,,-3.48019937052534e-05,0.997463109059975,28.1274831590436,0.210999204278419,18.2294417529321,TRUE,6.35561842879766e-103,,-0.199083229281407,0.292074619497448,1.04759356928167,0.819481685622705,1.3392029445617
Firmicutes A abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032396,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),19,-0.0768774943657695,0.162043663233212,0.635197179432566,0.880085095873808,,0.00807103645008088,0.521470368921988,11.6580180384721,0.86438131963114,0,TRUE,9.31698343307478e-88,,-0.394483074302865,0.240728085571326,0.926003287278229,0.674028371796068,1.27217506551716
Firmicutes A abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032396,J10_PNEUMOBACTEROTH,Contamination mixture,,0.211493155029242,0.372448979591837,0.575717925719693,,,0.00807103645008088,0.521470368921988,11.6580180384721,0.86438131963114,0,TRUE,9.31698343307478e-88,,-0.518506844970758,0.941493155029242,1.23552150849116,0.595408922391698,2.56380672263428
Firmicutes A abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032396,J10_PNEUMOBACTEROTH,Weighted median,19,0.118033496936231,0.266642457883997,0.658007483159488,,,0.00807103645008088,0.521470368921988,11.6580180384721,0.86438131963114,0,TRUE,9.31698343307478e-88,,-0.404585720516403,0.640652714388865,1.12528180422888,0.667253182910931,1.89771914373562
Firmicutes E abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032397,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),20,-0.0644773291469661,0.157580066164177,0.682413542002749,0.880085095873808,,0.00156342846297285,0.892541239445387,10.2651691416047,0.946098408217176,0,TRUE,2.33107794033459e-91,,-0.373334258828754,0.244379600534822,0.937557369246444,0.688435078877462,1.27682892344998
Firmicutes E abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032397,J10_PNEUMOBACTEROTH,Contamination mixture,,-0.211504897848927,0.331632653061225,0.367842320009475,,,0.00156342846297285,0.892541239445387,10.2651691416047,0.946098408217176,0,TRUE,2.33107794033459e-91,,-0.861504897848927,0.438495102151073,0.809365316893969,0.422525745541338,1.55037231009817
Firmicutes E abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032397,J10_PNEUMOBACTEROTH,Weighted median,20,-0.103058698969586,0.290548744590215,0.72281161941453,,,0.00156342846297285,0.892541239445387,10.2651691416047,0.946098408217176,0,TRUE,2.33107794033459e-91,,-0.672534238366409,0.466416840427236,0.902074021111877,0.510413428078496,1.59427141763952
Firmicutes I abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032398,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),23,-0.03885092376209,0.367681802331192,0.915848526025684,0.915848526025684,,-0.000269962067960979,0.98342081395146,14.8675211588193,0.867860300958395,0,TRUE,7.57139253964519e-104,,-0.759507256331226,0.681805408807046,0.961894094011266,0.467896923464087,1.97744460733726
Firmicutes I abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032398,J10_PNEUMOBACTEROTH,Contamination mixture,,-0.738243069238739,0.903061224489796,0.374270578443287,,,-0.000269962067960979,0.98342081395146,14.8675211588193,0.867860300958395,0,TRUE,7.57139253964519e-104,,-2.50824306923874,1.03175693076126,0.477952908446261,0.0814111474134489,2.80599143913432
Firmicutes I abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032398,J10_PNEUMOBACTEROTH,Weighted median,23,-0.378143147158292,0.612162612554266,0.536762017349407,,,-0.000269962067960979,0.98342081395146,14.8675211588193,0.867860300958395,0,TRUE,7.57139253964519e-104,,-1.57798186776465,0.821695573448069,0.685132418887156,0.206391202926197,2.27435290242491
G_Clostridium_XlVa abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011328,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),7,0.0814585572491056,0.0789753421810188,0.302333164301629,0.879738625288083,,0.0314379223059243,0.353662487230356,8.64112449123151,0.194789487432165,30.5645925355151,TRUE,4.6401979350517e-28,,-0.0733331134256913,0.236250227923902,1.08486825672744,0.929291219079422,1.26649118197925
G_Clostridium_XlVa abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011328,J10_PNEUMOBACTEROTH,Contamination mixture,,-0.0121870822501889,0.211734693877551,0.851357832438906,,,0.0314379223059243,0.353662487230356,8.64112449123151,0.194789487432165,30.5645925355151,TRUE,4.6401979350517e-28,,-0.427187082250189,0.402812917749811,0.987886879472603,0.652341499295708,1.49602698538688
G_Clostridium_XlVa abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011328,J10_PNEUMOBACTEROTH,Weighted median,7,-0.0223249740949381,0.0937625360750763,0.811802589638676,,,0.0314379223059243,0.353662487230356,8.64112449123151,0.194789487432165,30.5645925355151,TRUE,4.6401979350517e-28,,-0.206099544802088,0.161449596612212,0.977922383965674,0.81375206746248,1.17521322193778
G_Coprococcus abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011329,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),14,0.019639864997686,0.0351960721815755,0.576835523168204,0.880085095873808,,-0.0126948341281301,0.636274421700567,9.15595144440464,0.761065827987011,0,TRUE,4.33965691811383e-58,,-0.049344436478202,0.088624166473574,1.0198339959655,0.951853220258809,1.0926699171582
G_Coprococcus abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011329,J10_PNEUMOBACTEROTH,Contamination mixture,,0.0569776720316856,0.0714285714285714,0.389289446267715,,,-0.0126948341281301,0.636274421700567,9.15595144440464,0.761065827987011,0,TRUE,4.33965691811383e-58,,-0.0830223279683144,0.196977672031686,1.058632173026,0.920330597878285,1.2177168512591
G_Coprococcus abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011329,J10_PNEUMOBACTEROTH,Weighted median,14,0.0538765099360192,0.0563640856817074,0.339139967017401,,,-0.0126948341281301,0.636274421700567,9.15595144440464,0.761065827987011,0,TRUE,4.33965691811383e-58,,-0.0565970980001272,0.164350117872166,1.05535426834166,0.944974724884425,1.17862690120435
G_Paraprevotella abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011336,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),15,-0.0248181127440603,0.0280944834097514,0.377030839409178,0.879738625288083,,0.0153863348487319,0.263666473391222,17.6158118173822,0.224842659065905,20.5259448435656,TRUE,1.30071646178522e-62,,-0.0798833002271729,0.0302470747390524,0.975487324605977,0.923224080140682,1.03070916469372
G_Paraprevotella abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011336,J10_PNEUMOBACTEROTH,Contamination mixture,,-0.0847776372238224,0.0408163265306123,0.104588720056494,,,0.0153863348487319,0.263666473391222,17.6158118173822,0.224842659065905,20.5259448435656,TRUE,1.30071646178522e-62,,-0.164777637223822,-0.00477763722382241,0.918716550052667,0.848082265049553,0.995233757531008
G_Paraprevotella abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011336,J10_PNEUMOBACTEROTH,Weighted median,15,-0.0492430426368872,0.0352463015405481,0.162379793143293,,,0.0153863348487319,0.263666473391222,17.6158118173822,0.224842659065905,20.5259448435656,TRUE,1.30071646178522e-62,,-0.118325793656361,0.0198397083825871,0.951949737206208,0.88840656823689,1.0200378234094
G_Roseburia abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011342,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),12,-0.0149279381142778,0.0493395149922902,0.762228685915164,0.889266800234358,,-0.00475417324938919,0.718181710082989,11.4122616115204,0.409399069991985,3.61244445276468,TRUE,2.83247645280303e-47,,-0.111633387499167,0.081777511270611,0.985182931184941,0.894372085390685,1.08521433500932
G_Roseburia abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011342,J10_PNEUMOBACTEROTH,Contamination mixture,,0.0524826152076454,0.107142857142857,0.315535304670479,,,-0.00475417324938919,0.718181710082989,11.4122616115204,0.409399069991985,3.61244445276468,TRUE,2.83247645280303e-47,,-0.157517384792355,0.262482615207645,1.05388424036059,0.854261962312555,1.30015386506704
G_Roseburia abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011342,J10_PNEUMOBACTEROTH,Weighted median,12,0.0423020331112073,0.0659220960808184,0.521069722509539,,,-0.00475417324938919,0.718181710082989,11.4122616115204,0.409399069991985,3.61244445276468,TRUE,2.83247645280303e-47,,-0.0869052752071967,0.171509341429611,1.04320951498813,0.916763931793808,1.18709523184704
G_Subdoligranulum abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011346,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),10,0.0145166648987034,0.0833110685373535,0.861671716377396,0.915848526025684,,-0.00232648523054343,0.929154428076441,19.7538075182078,0.0194940409870341,54.4391632261053,TRUE,7.46378217955853e-37,,-0.14877302943451,0.177806359231916,1.01462254339242,0.861764687921996,1.19459397674146
G_Subdoligranulum abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011346,J10_PNEUMOBACTEROTH,Contamination mixture,,0.0394076429901106,0.102040816326531,0.609149539759712,,,-0.00232648523054343,0.929154428076441,19.7538075182078,0.0194940409870341,54.4391632261053,TRUE,7.46378217955853e-37,,-0.160592357009889,0.239407642990111,1.04019442520167,0.851639165092884,1.27049633996415
G_Subdoligranulum abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011346,J10_PNEUMOBACTEROTH,Weighted median,10,-0.0109137966754338,0.080599658281654,0.892289709841604,,,-0.00232648523054343,0.929154428076441,19.7538075182078,0.0194940409870341,54.4391632261053,TRUE,7.46378217955853e-37,,-0.168889126907476,0.147061533556608,0.989145542734561,0.844602541890717,1.15842524286204
P_Actinobacteria abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011481,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),16,-0.0164345538764431,0.0355280113349347,0.643665318110756,0.880085095873808,,0.0141459310171408,0.260003823310342,12.5442362044637,0.63745490496123,0,TRUE,1.28568289480035e-66,,-0.086069456092915,0.0532003483400288,0.983699756619844,0.917530500923223,1.05464091951196
P_Actinobacteria abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011481,J10_PNEUMOBACTEROTH,Contamination mixture,,0.0276951473019167,0.0918367346938775,0.627264475155562,,,0.0141459310171408,0.260003823310342,12.5442362044637,0.63745490496123,0,TRUE,1.28568289480035e-66,,-0.152304852698083,0.207695147301917,1.02808222300454,0.858726455757172,1.2308378880979
P_Actinobacteria abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011481,J10_PNEUMOBACTEROTH,Weighted median,16,-0.00556601231939424,0.0560507307466189,0.920897602990338,,,0.0141459310171408,0.260003823310342,12.5442362044637,0.63745490496123,0,TRUE,1.28568289480035e-66,,-0.115425444582767,0.104293419943979,0.994449449227488,0.89098699766822,1.10992608158925
P_Firmicutes abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011483,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),8,0.0800819344030789,0.0433627961041106,0.0647777282488817,0.604592130322895,,0.00639249660667509,0.639696458798583,3.74326124199474,0.808828170659975,0,TRUE,4.58101420678153e-33,,-0.00490914596097798,0.165073014767136,1.0833758297905,0.995102884202062,1.17947923496916
P_Firmicutes abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011483,J10_PNEUMOBACTEROTH,Contamination mixture,,0.107931969441518,0.086734693877551,0.116016657581192,,,0.00639249660667509,0.639696458798583,3.74326124199474,0.808828170659975,0,TRUE,4.58101420678153e-33,,-0.0620680305584817,0.277931969441518,1.11397195867411,0.939818948208307,1.32039636685127
P_Firmicutes abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011483,J10_PNEUMOBACTEROTH,Weighted median,8,0.0732333735920541,0.0790889078361314,0.354465398065273,,,0.00639249660667509,0.639696458798583,3.74326124199474,0.808828170659975,0,TRUE,4.58101420678153e-33,,-0.0817808857667635,0.228247632950872,1.07598161331035,0.921473844612412,1.25639641206409
g_Anaerostipes,"Bacterial pneumonia, not elsewhere classified",wodMEV,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),15,-0.00876082042544631,0.069916759814918,0.900283216750205,0.915848526025684,,0.0106067417922369,0.467883123136957,14.3626916961797,0.423054577665896,2.52523485048546,TRUE,6.44007748445879e-68,,-0.145797669662686,0.128276028811793,0.991277443738463,0.86433256619367,1.13686676737399
g_Anaerostipes,"Bacterial pneumonia, not elsewhere classified",wodMEV,J10_PNEUMOBACTEROTH,Contamination mixture,,-0.132475680176366,0.0918367346938776,0.130542891436445,,,0.0106067417922369,0.467883123136957,14.3626916961797,0.423054577665896,2.52523485048546,TRUE,6.44007748445879e-68,,-0.312475680176366,0.047524319823634,0.875924236170111,0.731633421926066,1.04867170432207
g_Anaerostipes,"Bacterial pneumonia, not elsewhere classified",wodMEV,J10_PNEUMOBACTEROTH,Weighted median,15,-0.145322518952194,0.0976705835930642,0.136781432948841,,,0.0106067417922369,0.467883123136957,14.3626916961797,0.423054577665896,2.52523485048546,TRUE,6.44007748445879e-68,,-0.3367568627946,0.0461118248902117,0.864743352011456,0.714082438806285,1.04719150648496
g_Butyrivibrio,"Bacterial pneumonia, not elsewhere classified",XK1LhR,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),16,-0.052494970053692,0.0255098380762847,0.0396062294462746,0.554487212247845,,0.0337119919117387,0.0857691102505013,11.2480037557817,0.734823837351618,0,TRUE,3.81642358737044e-75,0.766,-0.10249425268321,-0.002495687424174,0.948859093754093,0.902583337170387,0.997507424214588
g_Butyrivibrio,"Bacterial pneumonia, not elsewhere classified",XK1LhR,J10_PNEUMOBACTEROTH,Contamination mixture,,-0.0661328594911942,0.0459183673469388,0.0840128039593798,,,0.0337119919117387,0.0857691102505013,11.2480037557817,0.734823837351618,0,TRUE,3.81642358737044e-75,0.766,-0.156132859491194,0.0238671405088058,0.936006498683057,0.855445528762978,1.02415424023996
g_Butyrivibrio,"Bacterial pneumonia, not elsewhere classified",XK1LhR,J10_PNEUMOBACTEROTH,MR-PRESSO (Outlier-corrected),,-0.052494970053692,0.0255098380762847,0.0574214192459604,,0.766,0.0337119919117387,0.0857691102505013,11.2480037557817,0.734823837351618,0,TRUE,3.81642358737044e-75,0.766,-0.10249425268321,-0.002495687424174,0.948859093754093,0.902583337170387,0.997507424214588
g_Butyrivibrio,"Bacterial pneumonia, not elsewhere classified",XK1LhR,J10_PNEUMOBACTEROTH,Weighted median,16,-0.0748848078766747,0.0403768746868022,0.0636467991368482,,,0.0337119919117387,0.0857691102505013,11.2480037557817,0.734823837351618,0,TRUE,3.81642358737044e-75,0.766,-0.154023482262807,0.00425386650945761,0.927850361226099,0.857251890560918,1.00426292704247
g_Clostridiuminnocuumgroup,"Bacterial pneumonia, not elsewhere classified",Uu05GB,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),11,-0.0618068696119542,0.0423082824486375,0.144051321891529,0.80668740259256,,0.00698148933698701,0.816187578793957,12.0406950193834,0.282342169080568,16.948315824778,TRUE,5.5037722630327e-47,,-0.144731103211284,0.0211173639873752,0.94006442426737,0.865254926103258,1.02134191336309
g_Clostridiuminnocuumgroup,"Bacterial pneumonia, not elsewhere classified",Uu05GB,J10_PNEUMOBACTEROTH,Contamination mixture,,-0.106462921213605,0.0561224489795919,0.0360183244400746,,,0.00698148933698701,0.816187578793957,12.0406950193834,0.282342169080568,16.948315824778,TRUE,5.5037722630327e-47,,-0.216462921213605,0.00353707878639517,0.899008381682996,0.805362396229318,1.00354334163145
g_Clostridiuminnocuumgroup,"Bacterial pneumonia, not elsewhere classified",Uu05GB,J10_PNEUMOBACTEROTH,Weighted median,11,-0.0810547892185831,0.0529942023930866,0.126139806784808,,,0.00698148933698701,0.816187578793957,12.0406950193834,0.282342169080568,16.948315824778,TRUE,5.5037722630327e-47,,-0.184923425909033,0.0228138474718667,0.922143166556994,0.831167927343851,1.02307607362233
g_Clostridiumsensustricto1,"Bacterial pneumonia, not elsewhere classified",2ceLcs,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),9,0.0982337196851127,0.0640808907346865,0.125284644090904,0.80668740259256,,-0.0161122114880459,0.39352216547296,6.26558000229572,0.617509868288054,0,TRUE,7.53072948405453e-42,,-0.0273648261548729,0.223832265525098,1.10322059935029,0.97300619865369,1.25086118928622
g_Clostridiumsensustricto1,"Bacterial pneumonia, not elsewhere classified",2ceLcs,J10_PNEUMOBACTEROTH,Contamination mixture,,0.0606198857897313,0.114795918367347,0.41105299628324,,,-0.0161122114880459,0.39352216547296,6.26558000229572,0.617509868288054,0,TRUE,7.53072948405453e-42,,-0.164380114210269,0.285619885789731,1.06249496798354,0.848419464285085,1.33058658424534
g_Clostridiumsensustricto1,"Bacterial pneumonia, not elsewhere classified",2ceLcs,J10_PNEUMOBACTEROTH,Weighted median,9,0.0750899128978727,0.0959938242040727,0.434075353628485,,,-0.0161122114880459,0.39352216547296,6.26558000229572,0.617509868288054,0,TRUE,7.53072948405453e-42,,-0.11305798254211,0.263237808337855,1.07798107092932,0.893098874471601,1.30113610317721
g_Coprococcus1,"Bacterial pneumonia, not elsewhere classified",0Rtwbb,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),14,-0.0665204037255388,0.0622842914780792,0.285514859725922,0.879738625288083,,0.0048906748774849,0.687866200723351,11.8140172489405,0.542950340534065,0,TRUE,1.72242989703131e-63,,-0.188597615022574,0.0555568075714964,0.935643825041761,0.828119662573509,1.05712906830185
