exposure,outcome,id.exposure,id.outcome,method,nsnp,b,se,pval,fdr,PRESSO_pval.x,egger_intercept,egger_pval,QE,QEp,I2,correct_causal_direction,steiger_pval,PRESSO_pval.y
Clostridium I abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032323,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),13,0.26616967892777,0.109331108146917,0.0149112130019432,0.417513964054409,,0.00400011862311537,0.750062544228172,6.4168593091662,0.893628811742951,0,TRUE,2.58988259537315e-55,0.918
Clostridium I abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032323,J10_PNEUMOBACTEROTH,Contamination mixture,,0.296886113530718,0.346938775510204,0.207393885154146,,,0.00400011862311537,0.750062544228172,6.4168593091662,0.893628811742951,0,TRUE,2.58988259537315e-55,0.918
Clostridium I abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032323,J10_PNEUMOBACTEROTH,MR-PRESSO (Outlier-corrected),,0.26616967892777,0.109331108146917,0.0314710261022598,,0.918,0.00400011862311537,0.750062544228172,6.4168593091662,0.893628811742951,0,TRUE,2.58988259537315e-55,0.918
Clostridium I abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032323,J10_PNEUMOBACTEROTH,Weighted median,13,0.190801847019934,0.192604070673451,0.321860002462658,,,0.00400011862311537,0.750062544228172,6.4168593091662,0.893628811742951,0,TRUE,2.58988259537315e-55,0.918
Clostridium P abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032326,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),24,0.033538900408597,0.0945957938150126,0.722927043039199,0.880085095873808,,-3.48019937052534e-05,0.997463109059975,28.1274831590436,0.210999204278419,18.2294417529321,TRUE,6.35561842879766e-103,
Clostridium P abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032326,J10_PNEUMOBACTEROTH,Contamination mixture,,0.188413726581921,0.219387755102041,0.274059176212829,,,-3.48019937052534e-05,0.997463109059975,28.1274831590436,0.210999204278419,18.2294417529321,TRUE,6.35561842879766e-103,
Clostridium P abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032326,J10_PNEUMOBACTEROTH,Weighted median,24,0.0464956951080204,0.125295369586443,0.710571471414912,,,-3.48019937052534e-05,0.997463109059975,28.1274831590436,0.210999204278419,18.2294417529321,TRUE,6.35561842879766e-103,
Firmicutes A abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032396,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),19,-0.0768774943657695,0.162043663233212,0.635197179432566,0.880085095873808,,0.00807103645008088,0.521470368921988,11.6580180384721,0.86438131963114,0,TRUE,9.31698343307478e-88,
Firmicutes A abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032396,J10_PNEUMOBACTEROTH,Contamination mixture,,0.211493155029242,0.372448979591837,0.575717925719693,,,0.00807103645008088,0.521470368921988,11.6580180384721,0.86438131963114,0,TRUE,9.31698343307478e-88,
Firmicutes A abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032396,J10_PNEUMOBACTEROTH,Weighted median,19,0.118033496936231,0.266642457883997,0.658007483159488,,,0.00807103645008088,0.521470368921988,11.6580180384721,0.86438131963114,0,TRUE,9.31698343307478e-88,
Firmicutes E abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032397,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),20,-0.0644773291469661,0.157580066164177,0.682413542002749,0.880085095873808,,0.00156342846297285,0.892541239445387,10.2651691416047,0.946098408217176,0,TRUE,2.33107794033459e-91,
Firmicutes E abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032397,J10_PNEUMOBACTEROTH,Contamination mixture,,-0.211504897848927,0.331632653061225,0.367842320009475,,,0.00156342846297285,0.892541239445387,10.2651691416047,0.946098408217176,0,TRUE,2.33107794033459e-91,
Firmicutes E abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032397,J10_PNEUMOBACTEROTH,Weighted median,20,-0.103058698969586,0.290548744590215,0.72281161941453,,,0.00156342846297285,0.892541239445387,10.2651691416047,0.946098408217176,0,TRUE,2.33107794033459e-91,
Firmicutes I abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032398,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),23,-0.03885092376209,0.367681802331192,0.915848526025684,0.915848526025684,,-0.000269962067960979,0.98342081395146,14.8675211588193,0.867860300958395,0,TRUE,7.57139253964519e-104,
Firmicutes I abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032398,J10_PNEUMOBACTEROTH,Contamination mixture,,-0.738243069238739,0.903061224489796,0.374270578443287,,,-0.000269962067960979,0.98342081395146,14.8675211588193,0.867860300958395,0,TRUE,7.57139253964519e-104,
Firmicutes I abundance in stool,"Bacterial pneumonia, not elsewhere classified",GCST90032398,J10_PNEUMOBACTEROTH,Weighted median,23,-0.378143147158292,0.612162612554266,0.536762017349407,,,-0.000269962067960979,0.98342081395146,14.8675211588193,0.867860300958395,0,TRUE,7.57139253964519e-104,
G_Clostridium_XlVa abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011328,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),7,0.0814585572491056,0.0789753421810188,0.302333164301629,0.879738625288083,,0.0314379223059243,0.353662487230356,8.64112449123151,0.194789487432165,30.5645925355151,TRUE,4.6401979350517e-28,
G_Clostridium_XlVa abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011328,J10_PNEUMOBACTEROTH,Contamination mixture,,-0.0121870822501889,0.211734693877551,0.851357832438906,,,0.0314379223059243,0.353662487230356,8.64112449123151,0.194789487432165,30.5645925355151,TRUE,4.6401979350517e-28,
G_Clostridium_XlVa abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011328,J10_PNEUMOBACTEROTH,Weighted median,7,-0.0223249740949381,0.0937625360750763,0.811802589638676,,,0.0314379223059243,0.353662487230356,8.64112449123151,0.194789487432165,30.5645925355151,TRUE,4.6401979350517e-28,
G_Coprococcus abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011329,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),14,0.019639864997686,0.0351960721815755,0.576835523168204,0.880085095873808,,-0.0126948341281301,0.636274421700567,9.15595144440464,0.761065827987011,0,TRUE,4.33965691811383e-58,
G_Coprococcus abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011329,J10_PNEUMOBACTEROTH,Contamination mixture,,0.0569776720316856,0.0714285714285714,0.389289446267715,,,-0.0126948341281301,0.636274421700567,9.15595144440464,0.761065827987011,0,TRUE,4.33965691811383e-58,
G_Coprococcus abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011329,J10_PNEUMOBACTEROTH,Weighted median,14,0.0538765099360192,0.0563640856817074,0.339139967017401,,,-0.0126948341281301,0.636274421700567,9.15595144440464,0.761065827987011,0,TRUE,4.33965691811383e-58,
G_Paraprevotella abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011336,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),15,-0.0248181127440603,0.0280944834097514,0.377030839409178,0.879738625288083,,0.0153863348487319,0.263666473391222,17.6158118173822,0.224842659065905,20.5259448435656,TRUE,1.30071646178522e-62,
G_Paraprevotella abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011336,J10_PNEUMOBACTEROTH,Contamination mixture,,-0.0847776372238224,0.0408163265306123,0.104588720056494,,,0.0153863348487319,0.263666473391222,17.6158118173822,0.224842659065905,20.5259448435656,TRUE,1.30071646178522e-62,
G_Paraprevotella abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011336,J10_PNEUMOBACTEROTH,Weighted median,15,-0.0492430426368872,0.0352463015405481,0.162379793143293,,,0.0153863348487319,0.263666473391222,17.6158118173822,0.224842659065905,20.5259448435656,TRUE,1.30071646178522e-62,
G_Roseburia abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011342,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),12,-0.0149279381142778,0.0493395149922902,0.762228685915164,0.889266800234358,,-0.00475417324938919,0.718181710082989,11.4122616115204,0.409399069991985,3.61244445276468,TRUE,2.83247645280303e-47,
G_Roseburia abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011342,J10_PNEUMOBACTEROTH,Contamination mixture,,0.0524826152076454,0.107142857142857,0.315535304670479,,,-0.00475417324938919,0.718181710082989,11.4122616115204,0.409399069991985,3.61244445276468,TRUE,2.83247645280303e-47,
G_Roseburia abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011342,J10_PNEUMOBACTEROTH,Weighted median,12,0.0423020331112073,0.0659220960808184,0.521069722509539,,,-0.00475417324938919,0.718181710082989,11.4122616115204,0.409399069991985,3.61244445276468,TRUE,2.83247645280303e-47,
G_Subdoligranulum abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011346,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),10,0.0145166648987034,0.0833110685373535,0.861671716377396,0.915848526025684,,-0.00232648523054343,0.929154428076441,19.7538075182078,0.0194940409870341,54.4391632261053,TRUE,7.46378217955853e-37,
G_Subdoligranulum abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011346,J10_PNEUMOBACTEROTH,Contamination mixture,,0.0394076429901106,0.102040816326531,0.609149539759712,,,-0.00232648523054343,0.929154428076441,19.7538075182078,0.0194940409870341,54.4391632261053,TRUE,7.46378217955853e-37,
G_Subdoligranulum abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011346,J10_PNEUMOBACTEROTH,Weighted median,10,-0.0109137966754338,0.080599658281654,0.892289709841604,,,-0.00232648523054343,0.929154428076441,19.7538075182078,0.0194940409870341,54.4391632261053,TRUE,7.46378217955853e-37,
P_Actinobacteria abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011481,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),16,-0.0164345538764431,0.0355280113349347,0.643665318110756,0.880085095873808,,0.0141459310171408,0.260003823310342,12.5442362044637,0.63745490496123,0,TRUE,1.28568289480035e-66,
P_Actinobacteria abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011481,J10_PNEUMOBACTEROTH,Contamination mixture,,0.0276951473019167,0.0918367346938775,0.627264475155562,,,0.0141459310171408,0.260003823310342,12.5442362044637,0.63745490496123,0,TRUE,1.28568289480035e-66,
P_Actinobacteria abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011481,J10_PNEUMOBACTEROTH,Weighted median,16,-0.00556601231939424,0.0560507307466189,0.920897602990338,,,0.0141459310171408,0.260003823310342,12.5442362044637,0.63745490496123,0,TRUE,1.28568289480035e-66,
P_Firmicutes abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011483,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),8,0.0800819344030789,0.0433627961041106,0.0647777282488817,0.604592130322895,,0.00639249660667509,0.639696458798583,3.74326124199474,0.808828170659975,0,TRUE,4.58101420678153e-33,
P_Firmicutes abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011483,J10_PNEUMOBACTEROTH,Contamination mixture,,0.107931969441518,0.086734693877551,0.116016657581192,,,0.00639249660667509,0.639696458798583,3.74326124199474,0.808828170659975,0,TRUE,4.58101420678153e-33,
P_Firmicutes abundance,"Bacterial pneumonia, not elsewhere classified",GCST90011483,J10_PNEUMOBACTEROTH,Weighted median,8,0.0732333735920541,0.0790889078361314,0.354465398065273,,,0.00639249660667509,0.639696458798583,3.74326124199474,0.808828170659975,0,TRUE,4.58101420678153e-33,
g_Anaerostipes,"Bacterial pneumonia, not elsewhere classified",wodMEV,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),15,-0.00876082042544631,0.069916759814918,0.900283216750205,0.915848526025684,,0.0106067417922369,0.467883123136957,14.3626916961797,0.423054577665896,2.52523485048546,TRUE,6.44007748445879e-68,
g_Anaerostipes,"Bacterial pneumonia, not elsewhere classified",wodMEV,J10_PNEUMOBACTEROTH,Contamination mixture,,-0.132475680176366,0.0918367346938776,0.130542891436445,,,0.0106067417922369,0.467883123136957,14.3626916961797,0.423054577665896,2.52523485048546,TRUE,6.44007748445879e-68,
g_Anaerostipes,"Bacterial pneumonia, not elsewhere classified",wodMEV,J10_PNEUMOBACTEROTH,Weighted median,15,-0.145322518952194,0.0976705835930642,0.136781432948841,,,0.0106067417922369,0.467883123136957,14.3626916961797,0.423054577665896,2.52523485048546,TRUE,6.44007748445879e-68,
g_Butyrivibrio,"Bacterial pneumonia, not elsewhere classified",XK1LhR,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),16,-0.052494970053692,0.0255098380762847,0.0396062294462746,0.554487212247845,,0.0337119919117387,0.0857691102505013,11.2480037557817,0.734823837351618,0,TRUE,3.81642358737044e-75,0.766
g_Butyrivibrio,"Bacterial pneumonia, not elsewhere classified",XK1LhR,J10_PNEUMOBACTEROTH,Contamination mixture,,-0.0661328594911942,0.0459183673469388,0.0840128039593798,,,0.0337119919117387,0.0857691102505013,11.2480037557817,0.734823837351618,0,TRUE,3.81642358737044e-75,0.766
g_Butyrivibrio,"Bacterial pneumonia, not elsewhere classified",XK1LhR,J10_PNEUMOBACTEROTH,MR-PRESSO (Outlier-corrected),,-0.052494970053692,0.0255098380762847,0.0574214192459604,,0.766,0.0337119919117387,0.0857691102505013,11.2480037557817,0.734823837351618,0,TRUE,3.81642358737044e-75,0.766
g_Butyrivibrio,"Bacterial pneumonia, not elsewhere classified",XK1LhR,J10_PNEUMOBACTEROTH,Weighted median,16,-0.0748848078766747,0.0403768746868022,0.0636467991368482,,,0.0337119919117387,0.0857691102505013,11.2480037557817,0.734823837351618,0,TRUE,3.81642358737044e-75,0.766
g_Clostridiuminnocuumgroup,"Bacterial pneumonia, not elsewhere classified",Uu05GB,J10_PNEUMOBACTEROTH,Inverse variance weighted (multiplicative random effects),11,-0.0618068696119542,0.0423082824486375,0.144051321891529,0.80668740259256,,0.00698148933698701,0.816187578793957,12.0406950193834,0.282342169080568,16.948315824778,TRUE,5.5037722630327e-47,
