exposure,outcome,id.exposure,id.outcome,method,nsnp,b,se,pval,fdr,egger_intercept,egger_pval,QE,QEp,I2,correct_causal_direction,steiger_pval,lo_ci,up_ci,or,or_lci95,or_uci95
Clostridium I abundance in stool,Bacterial pneumoniae,GCST90032323,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),12,0.0669943951929727,0.0784753366858522,0.393271232286911,0.979261035609148,0.000719053938520879,0.937783621241953,5.31655495030691,0.914872238541505,0,TRUE,8.05929071881736e-54,-0.0868172647112977,0.220806055097243,1.06928948499659,0.916844620192728,1.2470815419999
Clostridium I abundance in stool,Bacterial pneumoniae,GCST90032323,J10_PNEUMOBACT,Contamination mixture,,0.116658272943836,0.224489795918367,0.428889063938743,,0.000719053938520879,0.937783621241953,5.31655495030691,0.914872238541505,0,TRUE,8.05929071881736e-54,-0.323341727056164,0.556658272943836,1.12373535329544,0.723726495180993,1.74483199475821
Clostridium I abundance in stool,Bacterial pneumoniae,GCST90032323,J10_PNEUMOBACT,Weighted median,12,0.118490881305293,0.152581984377867,0.437411386305112,,0.000719053938520879,0.937783621241953,5.31655495030691,0.914872238541505,0,TRUE,8.05929071881736e-54,-0.180569808075326,0.417551570685913,1.12579660825961,0.834794403272264,1.51823969854225
Clostridium P abundance in stool,Bacterial pneumoniae,GCST90032326,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),24,0.00524402066894532,0.0615796238843899,0.932135482702344,0.992988908725174,-0.000236403497601981,0.973555846137134,22.684858884493,0.479294452690164,0,TRUE,7.97813950810373e-109,-0.115452042144459,0.12594008348235,1.00525779461176,0.890963299901735,1.13421420808146
Clostridium P abundance in stool,Bacterial pneumoniae,GCST90032326,J10_PNEUMOBACT,Contamination mixture,,0.0624493461704267,0.114795918367347,0.38851198475075,,-0.000236403497601981,0.973555846137134,22.684858884493,0.479294452690164,0,TRUE,7.97813950810373e-109,-0.162550653829573,0.287449346170427,1.06444053956258,0.849973034745701,1.33302306772974
Clostridium P abundance in stool,Bacterial pneumoniae,GCST90032326,J10_PNEUMOBACT,Weighted median,24,0.00694277565611217,0.0844525289848468,0.934480350039743,,-0.000236403497601981,0.973555846137134,22.684858884493,0.479294452690164,0,TRUE,7.97813950810373e-109,-0.158584181154187,0.172469732466412,1.00696693259606,0.853351124684624,1.18823585510204
Firmicutes A abundance in stool,Bacterial pneumoniae,GCST90032396,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),19,-0.25492407289242,0.132976424231199,0.0552300334307015,0.74560545131447,-0.00191260582811331,0.833259782489029,14.8812577192968,0.670103677883182,0,TRUE,2.67912712097464e-89,-0.51555786438557,0.00570971860073066,0.774975337363112,0.597167363273735,1.00572605011196
Firmicutes A abundance in stool,Bacterial pneumoniae,GCST90032396,J10_PNEUMOBACT,Contamination mixture,,-0.285742689413498,0.331632653061225,0.306575306009713,,-0.00191260582811331,0.833259782489029,14.8812577192968,0.670103677883182,0,TRUE,2.67912712097464e-89,-0.935742689413498,0.364257310586502,0.75145594864342,0.39229440441124,1.43944455083184
Firmicutes A abundance in stool,Bacterial pneumoniae,GCST90032396,J10_PNEUMOBACT,Weighted median,19,-0.241023867427344,0.202175910500442,0.23320271440733,,-0.00191260582811331,0.833259782489029,14.8812577192968,0.670103677883182,0,TRUE,2.67912712097464e-89,-0.637288652008211,0.155240917153523,0.785822870594251,0.528724037221791,1.16793930382619
Firmicutes E abundance in stool,Bacterial pneumoniae,GCST90032397,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),20,0.131915879520779,0.154721212643394,0.393879105919406,0.979261035609148,-0.0019260666767417,0.82236641814998,18.9045681658109,0.462973447297,0,TRUE,4.17693339531137e-92,-0.171337697260273,0.435169456301831,1.14101233272585,0.842537002987401,1.54522488486117
Firmicutes E abundance in stool,Bacterial pneumoniae,GCST90032397,J10_PNEUMOBACT,Contamination mixture,,-0.202209079147533,0.224489795918367,0.249219075889377,,-0.0019260666767417,0.82236641814998,18.9045681658109,0.462973447297,0,TRUE,4.17693339531137e-92,-0.642209079147533,0.237790920852467,0.816924108289285,0.526128878999168,1.26844395991671
Firmicutes E abundance in stool,Bacterial pneumoniae,GCST90032397,J10_PNEUMOBACT,Weighted median,20,-0.041843010335463,0.217521513139541,0.847458162698895,,-0.0019260666767417,0.82236641814998,18.9045681658109,0.462973447297,0,TRUE,4.17693339531137e-92,-0.468185176088964,0.384499155418038,0.959020325034324,0.626137567215857,1.46887845736283
Firmicutes I abundance in stool,Bacterial pneumoniae,GCST90032398,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),23,-0.535783531698754,0.216432841346902,0.0133042819016339,0.359215611344116,0.00700603189191483,0.460405495814257,9.78315105778567,0.988166500685622,0,TRUE,3.78455541477814e-108,-0.959991900738682,-0.111575162658826,0.585210579421642,0.382895987137211,0.894424161578611
Firmicutes I abundance in stool,Bacterial pneumoniae,GCST90032398,J10_PNEUMOBACT,Contamination mixture,,-0.892149440431583,0.443877551020408,0.038679517890468,,0.00700603189191483,0.460405495814257,9.78315105778567,0.988166500685622,0,TRUE,3.78455541477814e-108,-1.76214944043158,-0.0221494404315827,0.40977402062873,0.17167546078384,0.978094057330995
Firmicutes I abundance in stool,Bacterial pneumoniae,GCST90032398,J10_PNEUMOBACT,Weighted median,23,-0.845443529222654,0.421856843771279,0.045059291387489,,0.00700603189191483,0.460405495814257,9.78315105778567,0.988166500685622,0,TRUE,3.78455541477814e-108,-1.67228294301436,-0.0186041154309479,0.42936687921419,0.187817798497922,0.981567872909405
G_Clostridium_XlVa abundance,Bacterial pneumoniae,GCST90011328,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),7,-0.0394104962634235,0.0467235048882405,0.398958199692616,0.979261035609148,0.0209178405679201,0.314060280202637,5.73099272122982,0.453988909827272,0,TRUE,1.03537455475857e-30,-0.130988565844375,0.052167573317528,0.961355995093782,0.877227804692937,1.05355227497179
G_Clostridium_XlVa abundance,Bacterial pneumoniae,GCST90011328,J10_PNEUMOBACT,Contamination mixture,,-0.0754825016618952,0.076530612244898,0.180747804420321,,0.0209178405679201,0.314060280202637,5.73099272122982,0.453988909827272,0,TRUE,1.03537455475857e-30,-0.225482501661895,0.0745174983381048,0.927295956530205,0.798131026292251,1.07736419544027
G_Clostridium_XlVa abundance,Bacterial pneumoniae,GCST90011328,J10_PNEUMOBACT,Weighted median,7,-0.0606733179412627,0.0658046403065883,0.356517164730932,,0.0209178405679201,0.314060280202637,5.73099272122982,0.453988909827272,0,TRUE,1.03537455475857e-30,-0.189650412942176,0.0683037770596505,0.941130640057232,0.827248278691625,1.07069051029686
G_Coprococcus abundance,Bacterial pneumoniae,GCST90011329,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),14,-0.00512864912378291,0.0219844798029999,0.815540114302767,0.992988908725174,-0.00812319226504168,0.676311889378854,6.77695719323885,0.913276912556651,0,TRUE,1.23631794562438e-61,-0.0482182295376626,0.0379609312900968,0.994884479942753,0.952925807826253,1.03869065178202
G_Coprococcus abundance,Bacterial pneumoniae,GCST90011329,J10_PNEUMOBACT,Contamination mixture,,0.0146874369077146,0.0637755102040816,0.56588318276149,,-0.00812319226504168,0.676311889378854,6.77695719323885,0.913276912556651,0,TRUE,1.23631794562438e-61,-0.110312563092285,0.139687436907715,1.01479582731814,0.895554174364032,1.14991432190422
G_Coprococcus abundance,Bacterial pneumoniae,GCST90011329,J10_PNEUMOBACT,Weighted median,14,0.000730822737099557,0.040736653266328,0.985686578197481,,-0.00812319226504168,0.676311889378854,6.77695719323885,0.913276912556651,0,TRUE,1.23631794562438e-61,-0.0791130176649033,0.0805746631391024,1.0007310898531,0.923935497511704,1.08390977172721
G_Paraprevotella abundance,Bacterial pneumoniae,GCST90011336,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),14,-0.0105917753923426,0.0274695972052582,0.699806450567556,0.982799643084618,0.000662279773860397,0.962022199855839,27.9022299940348,0.00933823016742529,53.4087418719605,TRUE,4.25282329541942e-60,-0.0644321859146487,0.0432486351299635,0.989464119942964,0.937599694571918,1.04419748675527
G_Paraprevotella abundance,Bacterial pneumoniae,GCST90011336,J10_PNEUMOBACT,Contamination mixture,,-0.0267032145223979,0.0229591836734694,0.338842842172446,,0.000662279773860397,0.962022199855839,27.9022299940348,0.00933823016742529,53.4087418719605,TRUE,4.25282329541942e-60,-0.0717032145223979,0.0182967854776022,0.973650163877141,0.930807104852931,1.01846519722018
G_Paraprevotella abundance,Bacterial pneumoniae,GCST90011336,J10_PNEUMOBACT,Weighted median,14,-0.0140423013105049,0.0261970744578275,0.591940890672767,,0.000662279773860397,0.962022199855839,27.9022299940348,0.00933823016742529,53.4087418719605,TRUE,4.25282329541942e-60,-0.0653885672478468,0.0373039646268369,0.986055831926703,0.936703420384285,1.03800849075343
G_Roseburia abundance,Bacterial pneumoniae,GCST90011342,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),11,0.0335117016421403,0.0353548587659275,0.34319719928159,0.979261035609148,0.0014870407562892,0.873210143778328,9.423729265013,0.492416663100387,0,TRUE,1.54957114293766e-45,-0.0357838215390776,0.102807224823358,1.03407954408425,0.964848850479065,1.10827774004452
G_Roseburia abundance,Bacterial pneumoniae,GCST90011342,J10_PNEUMOBACT,Contamination mixture,,0.00264867890049064,0.107142857142857,1,,0.0014870407562892,0.873210143778328,9.423729265013,0.492416663100387,0,TRUE,1.54957114293766e-45,-0.207351321099509,0.212648678900491,1.00265218974947,0.812734069198431,1.23695000826151
G_Roseburia abundance,Bacterial pneumoniae,GCST90011342,J10_PNEUMOBACT,Weighted median,11,0.0416393267345622,0.0518035686458373,0.421516746304601,,0.0014870407562892,0.873210143778328,9.423729265013,0.492416663100387,0,TRUE,1.54957114293766e-45,-0.0598956678112788,0.143174321280403,1.04251840241802,0.941862795065126,1.15393093885301
G_Subdoligranulum abundance,Bacterial pneumoniae,GCST90011346,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),11,0.0442184762879641,0.0418457171181364,0.290647357553106,0.979261035609148,-0.00899550148122086,0.490854202311624,11.3224870279062,0.332951381117884,11.6801814358164,TRUE,9.12592870212787e-46,-0.0377991292635832,0.126236081839511,1.04521068369563,0.962906341172172,1.13454998331573
G_Subdoligranulum abundance,Bacterial pneumoniae,GCST90011346,J10_PNEUMOBACT,Contamination mixture,,0.054033237923789,0.10969387755102,0.294183378818387,,-0.00899550148122086,0.490854202311624,11.3224870279062,0.332951381117884,11.6801814358164,TRUE,9.12592870212787e-46,-0.160966762076211,0.269033237923789,1.05551968485488,0.851320366758375,1.30869863874919
G_Subdoligranulum abundance,Bacterial pneumoniae,GCST90011346,J10_PNEUMOBACT,Weighted median,11,0.0632646962436351,0.0561026983494863,0.259464083260068,,-0.00899550148122086,0.490854202311624,11.3224870279062,0.332951381117884,11.6801814358164,TRUE,9.12592870212787e-46,-0.0466965925213581,0.173225985008628,1.06530878514839,0.954376918761301,1.18913480136057
P_Firmicutes abundance,Bacterial pneumoniae,GCST90011483,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),8,0.0497873858566884,0.0297646065288694,0.0943855188314044,0.790542093584329,0.00556302120029087,0.57785289807474,3.32367930160823,0.853533095817481,0,TRUE,6.43133306826078e-35,-0.00855124293989566,0.108126014653272,1.05104760503203,0.991485214943927,1.11418814057257
P_Firmicutes abundance,Bacterial pneumoniae,GCST90011483,J10_PNEUMOBACT,Contamination mixture,,0.0281950855972443,0.11734693877551,0.573544563788782,,0.00556302120029087,0.57785289807474,3.32367930160823,0.853533095817481,0,TRUE,6.43133306826078e-35,-0.201804914402756,0.258195085597244,1.02859632917854,0.81725434694393,1.29459135011753
P_Firmicutes abundance,Bacterial pneumoniae,GCST90011483,J10_PNEUMOBACT,Weighted median,8,0.0221770304240971,0.0578067048349084,0.701244440046258,,0.00556302120029087,0.57785289807474,3.32367930160823,0.853533095817481,0,TRUE,6.43133306826078e-35,-0.0911241110523234,0.135478171900518,1.02242476874052,0.912904402341944,1.14508420054979
g_Anaerostipes,Bacterial pneumoniae,2v0Q66,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),14,-0.0163716032383489,0.0470735739167647,0.727999735618235,0.982799643084618,0.00361450756673993,0.745795539747878,10.5976904530241,0.644479923574262,0,TRUE,1.31890574564367e-69,-0.108635808115208,0.07589260163851,0.983761683096352,0.897057058915601,1.07884670156708
g_Anaerostipes,Bacterial pneumoniae,2v0Q66,J10_PNEUMOBACT,Contamination mixture,,0.0339142777759892,0.122448979591837,0.55765243938789,,0.00361450756673993,0.745795539747878,10.5976904530241,0.644479923574262,0,TRUE,1.31890574564367e-69,-0.206085722224011,0.273914277775989,1.03449592363581,0.813763315691707,1.31510206393298
g_Anaerostipes,Bacterial pneumoniae,2v0Q66,J10_PNEUMOBACT,Weighted median,14,0.014438305698368,0.0731997919193097,0.843635681147413,,0.00361450756673993,0.745795539747878,10.5976904530241,0.644479923574262,0,TRUE,1.31890574564367e-69,-0.129033286463479,0.157909897860215,1.01454304149617,0.878944708097721,1.17106067488133
g_Butyrivibrio,Bacterial pneumoniae,0uansG,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),16,-0.0115458593854337,0.0184261633688658,0.530920563852582,0.982799643084618,0.00884752854196711,0.513999380432235,11.1536755118729,0.7416264228465,0,TRUE,7.73960343993617e-78,-0.0476611395884107,0.0245694208175432,0.988520538264053,0.953456821113526,1.02487373621034
g_Butyrivibrio,Bacterial pneumoniae,0uansG,J10_PNEUMOBACT,Contamination mixture,,-0.0247065488699773,0.0535714285714286,0.530715179975977,,0.00884752854196711,0.513999380432235,11.1536755118729,0.7416264228465,0,TRUE,7.73960343993617e-78,-0.129706548869977,0.0802934511300227,0.975596159821955,0.878353146828696,1.08360500613653
