exposure,outcome,id.exposure,id.outcome,method,nsnp,b,se,pval,fdr,egger_intercept,egger_pval,QE,QEp,I2,correct_causal_direction,steiger_pval
Clostridium I abundance in stool,Bacterial pneumoniae,GCST90032323,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),12,0.0669943951929727,0.0784753366858522,0.393271232286911,0.979261035609148,0.000719053938520879,0.937783621241953,5.31655495030691,0.914872238541505,0,TRUE,8.05929071881736e-54
Clostridium I abundance in stool,Bacterial pneumoniae,GCST90032323,J10_PNEUMOBACT,Contamination mixture,,0.116658272943836,0.224489795918367,0.428889063938743,,0.000719053938520879,0.937783621241953,5.31655495030691,0.914872238541505,0,TRUE,8.05929071881736e-54
Clostridium I abundance in stool,Bacterial pneumoniae,GCST90032323,J10_PNEUMOBACT,Weighted median,12,0.118490881305293,0.152581984377867,0.437411386305112,,0.000719053938520879,0.937783621241953,5.31655495030691,0.914872238541505,0,TRUE,8.05929071881736e-54
Clostridium P abundance in stool,Bacterial pneumoniae,GCST90032326,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),24,0.00524402066894532,0.0615796238843899,0.932135482702344,0.992988908725174,-0.000236403497601981,0.973555846137134,22.684858884493,0.479294452690164,0,TRUE,7.97813950810373e-109
Clostridium P abundance in stool,Bacterial pneumoniae,GCST90032326,J10_PNEUMOBACT,Contamination mixture,,0.0624493461704267,0.114795918367347,0.38851198475075,,-0.000236403497601981,0.973555846137134,22.684858884493,0.479294452690164,0,TRUE,7.97813950810373e-109
Clostridium P abundance in stool,Bacterial pneumoniae,GCST90032326,J10_PNEUMOBACT,Weighted median,24,0.00694277565611217,0.0844525289848468,0.934480350039743,,-0.000236403497601981,0.973555846137134,22.684858884493,0.479294452690164,0,TRUE,7.97813950810373e-109
Firmicutes A abundance in stool,Bacterial pneumoniae,GCST90032396,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),19,-0.25492407289242,0.132976424231199,0.0552300334307015,0.74560545131447,-0.00191260582811331,0.833259782489029,14.8812577192968,0.670103677883182,0,TRUE,2.67912712097464e-89
Firmicutes A abundance in stool,Bacterial pneumoniae,GCST90032396,J10_PNEUMOBACT,Contamination mixture,,-0.285742689413498,0.331632653061225,0.306575306009713,,-0.00191260582811331,0.833259782489029,14.8812577192968,0.670103677883182,0,TRUE,2.67912712097464e-89
Firmicutes A abundance in stool,Bacterial pneumoniae,GCST90032396,J10_PNEUMOBACT,Weighted median,19,-0.241023867427344,0.202175910500442,0.23320271440733,,-0.00191260582811331,0.833259782489029,14.8812577192968,0.670103677883182,0,TRUE,2.67912712097464e-89
Firmicutes E abundance in stool,Bacterial pneumoniae,GCST90032397,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),20,0.131915879520779,0.154721212643394,0.393879105919406,0.979261035609148,-0.0019260666767417,0.82236641814998,18.9045681658109,0.462973447297,0,TRUE,4.17693339531137e-92
