id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,fdr
A0FGR8,J10_PNEUMOBACT,Bacterial pneumoniae,ESYT2,Inverse variance weighted (multiplicative random effects),11,0.0113861795326309,0.0361422985427124,0.752733178313389,0.982192525711987
A1E959,J10_PNEUMOBACT,Bacterial pneumoniae,ODAM,Inverse variance weighted (multiplicative random effects),7,0.023830290885445,0.0189796326720299,0.20927127379374,0.792702088569202
A1KZ92,J10_PNEUMOBACT,Bacterial pneumoniae,PXDNL,Inverse variance weighted (multiplicative random effects),9,-0.0135095584609541,0.039215508388659,0.730473827469143,0.979810469735302
A1L4H1,J10_PNEUMOBACT,Bacterial pneumoniae,SSC5D,Inverse variance weighted (multiplicative random effects),52,0.0080897091654791,0.0187375199720958,0.665931466733773,0.97303717632421
A2VDF0,J10_PNEUMOBACT,Bacterial pneumoniae,FUOM,Inverse variance weighted (multiplicative random effects),12,0.0360006857576159,0.0567743996028966,0.526015114856399,0.937020989143648
A6BM72,J10_PNEUMOBACT,Bacterial pneumoniae,MEGF11,Inverse variance weighted (multiplicative random effects),4,-0.120820525942099,0.0303296494465588,6.78853605220416e-05,0.00883707663736929
A6NC86,J10_PNEUMOBACT,Bacterial pneumoniae,PINLYP,Inverse variance weighted (multiplicative random effects),55,0.0244582836663239,0.0127068844697709,0.0542536705482958,0.513091337279396
A6NFN3,J10_PNEUMOBACT,Bacterial pneumoniae,RBFOX3,Inverse variance weighted (multiplicative random effects),5,-0.220978384248068,0.102008621264141,0.0302904348053858,0.403306184452942
A6NGG8,J10_PNEUMOBACT,Bacterial pneumoniae,PCARE,Inverse variance weighted (multiplicative random effects),3,0.0562551407736916,0.0225482642441275,0.0126000878302008,0.260598078207798
A6NHS7,J10_PNEUMOBACT,Bacterial pneumoniae,MANSC4,Inverse variance weighted (multiplicative random effects),40,-0.0290195043397785,0.0170300463702315,0.0883777378358683,0.606743196301947
A6NI73,J10_PNEUMOBACT,Bacterial pneumoniae,LILRA5,Inverse variance weighted (multiplicative random effects),33,0.00705358704568087,0.0302593547891547,0.81568038185055,0.987360662705468
A6NM11,J10_PNEUMOBACT,Bacterial pneumoniae,LRRC37A2,Inverse variance weighted (multiplicative random effects),46,0.00653865378769092,0.0138690815817672,0.637315542297029,0.965352015813364
A8MVW5,J10_PNEUMOBACT,Bacterial pneumoniae,HEPACAM2,Inverse variance weighted (multiplicative random effects),77,0.00285605941277781,0.0166896169431331,0.864123183650118,0.990831401770835
B1AKI9,J10_PNEUMOBACT,Bacterial pneumoniae,ISM1,Inverse variance weighted (multiplicative random effects),18,0.0308502819802489,0.0263899223982047,0.242396567399662,0.808203896371493
E2RYF7,J10_PNEUMOBACT,Bacterial pneumoniae,HCG22,Inverse variance weighted (multiplicative random effects),14,0.0230610101143452,0.0228661768719665,0.313204609750577,0.86376707460814
I3L3R5,J10_PNEUMOBACT,Bacterial pneumoniae,CCER2,Inverse variance weighted (multiplicative random effects),34,0.0134412365764123,0.0188957946566198,0.476876782952314,0.924915267899623
O00161,J10_PNEUMOBACT,Bacterial pneumoniae,SNAP23,Inverse variance weighted (multiplicative random effects),8,0.0592353781576114,0.0636737040035731,0.352217961965259,0.893989599740328
O00175,J10_PNEUMOBACT,Bacterial pneumoniae,CCL24,Inverse variance weighted (multiplicative random effects),58,0.000987434381196877,0.0102362010687808,0.923151328778877,0.991408010221534
O00182,J10_PNEUMOBACT,Bacterial pneumoniae,LGALS9,Inverse variance weighted (multiplicative random effects),32,0.0673661109973912,0.0259631626806987,0.00946788950844548,0.216004530744225
O00194,J10_PNEUMOBACT,Bacterial pneumoniae,RAB27B,Inverse variance weighted (multiplicative random effects),8,0.00189518903330287,0.0620597208343555,0.975637868650713,0.996771625970461
O00203,J10_PNEUMOBACT,Bacterial pneumoniae,AP3B1,Inverse variance weighted (multiplicative random effects),6,0.0508141037268251,0.0760510112894625,0.504032640257803,0.936479549622861
O00206,J10_PNEUMOBACT,Bacterial pneumoniae,TLR4,Inverse variance weighted (multiplicative random effects),4,-0.0998008663273056,0.0167542244039618,2.57290224572165e-09,9.48972111630336e-07
O00214,J10_PNEUMOBACT,Bacterial pneumoniae,LGALS8,Inverse variance weighted (multiplicative random effects),18,0.0207965319400546,0.0372626716711548,0.576771796580352,0.95635796126723
O00220,J10_PNEUMOBACT,Bacterial pneumoniae,TNFRSF10A,Inverse variance weighted (multiplicative random effects),24,0.0225104913973522,0.0187972689282761,0.231095939924958,0.800859048079288
O00221,J10_PNEUMOBACT,Bacterial pneumoniae,NFKBIE,Inverse variance weighted (multiplicative random effects),4,0.0594149600003686,0.0289717964823778,0.0402877734369765,0.443566381174274
O00233,J10_PNEUMOBACT,Bacterial pneumoniae,PSMD9,Inverse variance weighted (multiplicative random effects),3,-0.023356732179724,0.0925727298856253,0.800803907985445,0.987360662705468
O00241,J10_PNEUMOBACT,Bacterial pneumoniae,SIRPB1,Inverse variance weighted (multiplicative random effects),39,0.00126343992640685,0.0173373954497729,0.941906633125958,0.993903793863151
O00244,J10_PNEUMOBACT,Bacterial pneumoniae,ATOX1,Inverse variance weighted (multiplicative random effects),12,0.0236673279524848,0.0445042187191717,0.59486476499103,0.957005067361193
O00253,J10_PNEUMOBACT,Bacterial pneumoniae,AGRP,Inverse variance weighted (multiplicative random effects),29,-0.0356662978328617,0.0435558267499158,0.412864020305892,0.914605207599282
O00273,J10_PNEUMOBACT,Bacterial pneumoniae,DFFA,Inverse variance weighted (multiplicative random effects),7,0.0444950636055755,0.0913057329993488,0.62603193513163,0.96222145426417
O00292,J10_PNEUMOBACT,Bacterial pneumoniae,LEFTY2,Inverse variance weighted (multiplicative random effects),37,0.017836580636224,0.0166861018763498,0.285092955297317,0.83773367428949
O00300,J10_PNEUMOBACT,Bacterial pneumoniae,TNFRSF11B,Inverse variance weighted (multiplicative random effects),40,0.0136404903732345,0.0262114098217546,0.602782877275772,0.957005067361193
O00308,J10_PNEUMOBACT,Bacterial pneumoniae,WWP2,Inverse variance weighted (multiplicative random effects),8,0.0255457823062561,0.034632514243917,0.460742815738378,0.923618363691569
O00339,J10_PNEUMOBACT,Bacterial pneumoniae,MATN2,Inverse variance weighted (multiplicative random effects),28,-0.00246774198599519,0.0174837997987556,0.887755798390012,0.991408010221534
O00391,J10_PNEUMOBACT,Bacterial pneumoniae,QSOX1,Inverse variance weighted (multiplicative random effects),21,0.0267509616535586,0.0186515516894661,0.151501336304834,0.733301789789463
O00399,J10_PNEUMOBACT,Bacterial pneumoniae,DCTN6,Inverse variance weighted (multiplicative random effects),4,0.0295227246574913,0.0332984201105469,0.375288707493752,0.910312384700098
O00401,J10_PNEUMOBACT,Bacterial pneumoniae,WASL,Inverse variance weighted (multiplicative random effects),6,0.126753011664249,0.109983477580678,0.249126671490056,0.811534072946758
O00451,J10_PNEUMOBACT,Bacterial pneumoniae,GFRA2,Inverse variance weighted (multiplicative random effects),27,0.0159147254481559,0.0253541054259012,0.530201687751644,0.938872330294609
O00468,J10_PNEUMOBACT,Bacterial pneumoniae,AGRN,Inverse variance weighted (multiplicative random effects),22,-0.0143763192146572,0.0204379404697408,0.481798218475298,0.928867634429105
O00533,J10_PNEUMOBACT,Bacterial pneumoniae,CHL1,Inverse variance weighted (multiplicative random effects),25,-0.00673044470976089,0.0287139684886221,0.814677419016367,0.987360662705468
O00548,J10_PNEUMOBACT,Bacterial pneumoniae,DLL1,Inverse variance weighted (multiplicative random effects),22,0.0291734438157429,0.0349508497750444,0.403887132990485,0.914605207599282
O00559,J10_PNEUMOBACT,Bacterial pneumoniae,EBAG9,Inverse variance weighted (multiplicative random effects),7,0.0673970255456827,0.0806620484490076,0.40340914709157,0.914605207599282
O00584,J10_PNEUMOBACT,Bacterial pneumoniae,RNASET2,Inverse variance weighted (multiplicative random effects),49,-0.00687414723174377,0.0159489841167282,0.666462212317465,0.97303717632421
O00585,J10_PNEUMOBACT,Bacterial pneumoniae,CCL21,Inverse variance weighted (multiplicative random effects),27,-0.00138173524470913,0.0341724291405208,0.967746955303868,0.996572679230728
O00592,J10_PNEUMOBACT,Bacterial pneumoniae,PODXL,Inverse variance weighted (multiplicative random effects),24,-0.012839217181381,0.0194449573477164,0.509070838062381,0.936790310748483
O00602,J10_PNEUMOBACT,Bacterial pneumoniae,FCN1,Inverse variance weighted (multiplicative random effects),46,-0.023685304655021,0.0274602583526267,0.388395771169413,0.914605207599282
O00622,J10_PNEUMOBACT,Bacterial pneumoniae,CCN1,Inverse variance weighted (multiplicative random effects),22,-0.0354172092769817,0.0448305061948127,0.42951331652143,0.914605207599282
O00626,J10_PNEUMOBACT,Bacterial pneumoniae,CCL22,Inverse variance weighted (multiplicative random effects),17,-0.0244612416873053,0.0404683818881284,0.545542395490285,0.946761310566627
O00748,J10_PNEUMOBACT,Bacterial pneumoniae,CES2,Inverse variance weighted (multiplicative random effects),8,-0.00637304542365939,0.0601256884263821,0.915586014713453,0.991408010221534
O14530,J10_PNEUMOBACT,Bacterial pneumoniae,TXNDC9,Inverse variance weighted (multiplicative random effects),8,-0.0146983968061245,0.0751997565135018,0.845034385523794,0.987360662705468
