exposure,outcome,id.exposure,id.outcome,method,nsnp,b,se,pval,fdr,PRESSO_pval.x,egger_intercept,egger_pval,QE,QEp,I2,correct_causal_direction,steiger_pval,PRESSO_pval.y,lo_ci,up_ci,or,or_lci95,or_uci95
isoleucine,Bacterial pneumoniae,jd9BgS,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),11,-0.00374414463909636,0.0133191593748898,0.778626276313581,0.778626276313581,,0.00925357335952356,0.275060942891106,9.11835452629058,0.520909407719444,0,TRUE,4.14556187529223e-58,,-0.0298496970138803,0.0223614077356876,0.996262855930669,0.970591405372278,1.02261329805042
isoleucine,Bacterial pneumoniae,jd9BgS,J10_PNEUMOBACT,Contamination mixture,,-0.0223481297682904,0.0127551020408163,0.25234397980618,,,0.00925357335952356,0.275060942891106,9.11835452629058,0.520909407719444,0,TRUE,4.14556187529223e-58,,-0.0473481297682904,0.00265187023170957,0.977899739776559,0.953755309174005,1.00265538954981
isoleucine,Bacterial pneumoniae,jd9BgS,J10_PNEUMOBACT,Weighted median,11,-0.0110996606315994,0.0190669252526827,0.560470943988319,,,0.00925357335952356,0.275060942891106,9.11835452629058,0.520909407719444,0,TRUE,4.14556187529223e-58,,-0.0484708341268576,0.0262715128636588,0.988961713314926,0.952685124794133,1.02661965107741
serotonin,Bacterial pneumoniae,qF47S1,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),8,0.0399652873121755,0.0203487148752821,0.0495277479558868,0.14858324386766,,-0.0173255271412467,0.466129114597988,6.67895680482649,0.463054177715585,0,TRUE,3.43270333564956e-38,0.492,8.18061566226422e-05,0.0798487684677285,1.04077464547997,1.00008180950284,1.08312325289912
serotonin,Bacterial pneumoniae,qF47S1,J10_PNEUMOBACT,Contamination mixture,,0.0724631340439372,0.048469387755102,0.166088812830412,,,-0.0173255271412467,0.466129114597988,6.67895680482649,0.463054177715585,0,TRUE,3.43270333564956e-38,0.492,-0.0225368659560629,0.167463134043937,1.07515316881004,0.977715192123608,1.18230170269886
serotonin,Bacterial pneumoniae,qF47S1,J10_PNEUMOBACT,MR-PRESSO (Outlier-corrected),,0.0399652873121755,0.0203487148752821,0.0902832981537843,,0.492,-0.0173255271412467,0.466129114597988,6.67895680482649,0.463054177715585,0,TRUE,3.43270333564956e-38,0.492,8.18061566226422e-05,0.0798487684677285,1.04077464547997,1.00008180950284,1.08312325289912
serotonin,Bacterial pneumoniae,qF47S1,J10_PNEUMOBACT,Weighted median,8,0.0493801348030135,0.0287078250207717,0.0854155003541314,,,-0.0173255271412467,0.466129114597988,6.67895680482649,0.463054177715585,0,TRUE,3.43270333564956e-38,0.492,-0.00688720223769895,0.105647471843726,1.05061965193551,0.993136460185837,1.11142999706863
thyroxine,Bacterial pneumoniae,uXhzUk,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),7,-0.0207130436860458,0.0172273161751094,0.229232896352992,0.343849344529489,,0.00646540873845874,0.502965354578831,5.70376081956906,0.457179261099722,0,TRUE,2.16475495975323e-35,,-0.0544785833892603,0.0130524960171686,0.97949999795431,0.946978789716769,1.01313805167637
thyroxine,Bacterial pneumoniae,uXhzUk,J10_PNEUMOBACT,Contamination mixture,,-0.0336448602949442,0.0153061224489796,0.0987516130324933,,,0.00646540873845874,0.502965354578831,5.70376081956906,0.457179261099722,0,TRUE,2.16475495975323e-35,,-0.0636448602949442,-0.00364486029494421,0.966914833517829,0.938338181509177,0.996361774145357
thyroxine,Bacterial pneumoniae,uXhzUk,J10_PNEUMOBACT,Weighted median,7,-0.0309292320646542,0.023085736164213,0.180324987301276,,,0.00646540873845874,0.502965354578831,5.70376081956906,0.457179261099722,0,TRUE,2.16475495975323e-35,,-0.0761772749465117,0.0143188108172034,0.969544183288374,0.926651919828329,1.01442181603904
