id.exposure,id.outcome,outcome,exposure,method,Q,Q_df,Q_pval
053Uc4,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",thyroxine,MR Egger,1.90063991548899,5,0.862715523590864
053Uc4,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",thyroxine,Inverse variance weighted,2.26085621952411,6,0.894213110587006
C100003101,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",METSIM_C100003101_alpha_CEHC_glucuronide,MR Egger,16.2131538553423,16,0.438185790800653
C100003101,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",METSIM_C100003101_alpha_CEHC_glucuronide,Inverse variance weighted,16.5847441214258,17,0.482824858515912
C1094,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",METSIM_C1094_thyroxine,MR Egger,25.459578417425,18,0.112771719940919
C1094,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",METSIM_C1094_thyroxine,Inverse variance weighted,25.5702857389416,19,0.142614247234802
C2029,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",METSIM_C2029_azelate_C9_DC,MR Egger,2.62889255323819,8,0.955449310193059
C2029,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",METSIM_C2029_azelate_C9_DC,Inverse variance weighted,4.21024243308627,9,0.89703779729048
C376,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",METSIM_C376_isoleucine,MR Egger,28.3474111481528,21,0.130570591834095
C376,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",METSIM_C376_isoleucine,Inverse variance weighted,28.5436456309107,22,0.158356732529454
C504,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",METSIM_C504_serotonin,MR Egger,26.0215131954461,17,0.0740694745486923
C504,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",METSIM_C504_serotonin,Inverse variance weighted,26.1774342797535,18,0.0957695899400117
GCST90200293,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",Thyroxine levels,MR Egger,18.1198992860205,19,0.514442980835023
GCST90200293,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",Thyroxine levels,Inverse variance weighted,18.1750098352094,20,0.575880604631986
GCST90200399,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",Isoleucine levels,MR Egger,18.9579930346032,20,0.524558018041883
GCST90200399,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",Isoleucine levels,Inverse variance weighted,18.9735833176692,21,0.58683476418253
GCST90200422,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",Serotonin levels,MR Egger,20.5341902567687,23,0.6095105369142
GCST90200422,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",Serotonin levels,Inverse variance weighted,20.677486236615,24,0.657670351771837
GCST90243423,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",Isoleucine levels,MR Egger,15.6030561755848,16,0.480990819990204
GCST90243423,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",Isoleucine levels,Inverse variance weighted,16.0147689514847,17,0.522788173472703
GCST90243460,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",Serotonin 5HT levels,MR Egger,21.7507600678006,14,0.0838827091565127
GCST90243460,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",Serotonin 5HT levels,Inverse variance weighted,21.9304088773947,15,0.109641690915957
o9MEwk,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",isoleucine,MR Egger,12.9222574365637,9,0.166155700810754
o9MEwk,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",isoleucine,Inverse variance weighted,12.9305860425335,10,0.227578772140111
Qg2eCT,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",serotonin,MR Egger,3.5819378364834,6,0.733038233644495
Qg2eCT,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",serotonin,Inverse variance weighted,3.67138404764371,7,0.816753399954956
