id.exposure,id.outcome,outcome,exposure,egger_intercept,se,pval
053Uc4,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",thyroxine,0.00736269337165686,0.0122674707514307,0.574549223878672
C100003101,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",METSIM_C100003101_alpha_CEHC_glucuronide,0.00753108385450395,0.012436525921988,0.553299488756968
C1094,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",METSIM_C1094_thyroxine,-0.00318781109687107,0.0113944602524336,0.782844679694847
C2029,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",METSIM_C2029_azelate_C9_DC,-0.0162458582645045,0.0129189933592557,0.244032414359493
C376,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",METSIM_C376_isoleucine,-0.00417269078114097,0.010943987639466,0.706827971027897
C504,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",METSIM_C504_serotonin,-0.00354107420216268,0.0110949261925194,0.753492339647146
GCST90200293,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",Thyroxine levels,0.00361209764262206,0.0153865804616599,0.816909212154132
GCST90200399,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",Isoleucine levels,-0.000930101002458917,0.00744908812559159,0.901880049810771
GCST90200422,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",Serotonin levels,-0.00324904605269189,0.00858299508705593,0.70849778372125
GCST90243423,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",Isoleucine levels,-0.00670001978732752,0.0104418851809168,0.530187168494674
GCST90243460,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",Serotonin 5HT levels,-0.00309366188905184,0.00909774744120684,0.738869163367545
o9MEwk,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",isoleucine,-0.000974838234555013,0.0127995392429517,0.940956405921514
Qg2eCT,J10_PNEUMOBACTEROTH,"Bacterial pneumonia, not elsewhere classified",serotonin,0.00891539655075309,0.0298098431231358,0.774970999605892
