id.exposure,id.outcome,exposure,outcome,snp_r2.exposure,snp_r2.outcome,correct_causal_direction,steiger_pval
053Uc4,J10_PNEUMOBACTEROTH,thyroxine,"Bacterial pneumonia, not elsewhere classified",0.0749168983401126,4.42815422136946e-05,TRUE,1.62466442603912e-35
C100003101,J10_PNEUMOBACTEROTH,METSIM_C100003101_alpha_CEHC_glucuronide,"Bacterial pneumonia, not elsewhere classified",0.380642376418261,0.000231275965992538,TRUE,9.63147351158961e-111
C1094,J10_PNEUMOBACTEROTH,METSIM_C1094_thyroxine,"Bacterial pneumonia, not elsewhere classified",0.075186352028755,0.000355082714576415,TRUE,4.68617118515859e-92
C2029,J10_PNEUMOBACTEROTH,METSIM_C2029_azelate_C9_DC,"Bacterial pneumonia, not elsewhere classified",0.0351799307818164,6.70210660108012e-05,TRUE,1.59937109989864e-44
C376,J10_PNEUMOBACTEROTH,METSIM_C376_isoleucine,"Bacterial pneumonia, not elsewhere classified",0.0851641077359077,0.000437815824141271,TRUE,3.38621231270673e-104
C504,J10_PNEUMOBACTEROTH,METSIM_C504_serotonin,"Bacterial pneumonia, not elsewhere classified",0.0712635881482153,0.00039370497365055,TRUE,5.65541939366908e-83
GCST90200293,J10_PNEUMOBACTEROTH,Thyroxine levels,"Bacterial pneumonia, not elsewhere classified",0.0575571393967692,0.000263844229519318,TRUE,5.59117728454821e-93
GCST90200399,J10_PNEUMOBACTEROTH,Isoleucine levels,"Bacterial pneumonia, not elsewhere classified",0.0573384120472796,0.000271702030342367,TRUE,2.50293959893327e-92
GCST90200422,J10_PNEUMOBACTEROTH,Serotonin levels,"Bacterial pneumonia, not elsewhere classified",0.0715641442043796,0.000291296192354637,TRUE,6.84201619364512e-107
GCST90243423,J10_PNEUMOBACTEROTH,Isoleucine levels,"Bacterial pneumonia, not elsewhere classified",0.049608133890136,0.000235178484231591,TRUE,1.60680995238746e-75
GCST90243460,J10_PNEUMOBACTEROTH,Serotonin 5HT levels,"Bacterial pneumonia, not elsewhere classified",0.0572149310991954,0.000316241436052678,TRUE,1.0349486453e-68
o9MEwk,J10_PNEUMOBACTEROTH,isoleucine,"Bacterial pneumonia, not elsewhere classified",0.1205072566389,0.000180242440929195,TRUE,2.28416716719028e-56
Qg2eCT,J10_PNEUMOBACTEROTH,serotonin,"Bacterial pneumonia, not elsewhere classified",0.0813663302550073,6.8402455049507e-05,TRUE,2.95324841612386e-38
