id.exposure,id.outcome,outcome,exposure,method,Q,Q_df,Q_pval
C100003101,J10_PNEUMOBACT,Bacterial pneumoniae,METSIM_C100003101_alpha_CEHC_glucuronide,MR Egger,13.7874115360528,17,0.682088985053389
C100003101,J10_PNEUMOBACT,Bacterial pneumoniae,METSIM_C100003101_alpha_CEHC_glucuronide,Inverse variance weighted,13.8359955786421,18,0.739718177183352
C1094,J10_PNEUMOBACT,Bacterial pneumoniae,METSIM_C1094_thyroxine,MR Egger,26.0884807228678,19,0.127742388504122
C1094,J10_PNEUMOBACT,Bacterial pneumoniae,METSIM_C1094_thyroxine,Inverse variance weighted,26.284415130582,20,0.156622670166316
C2029,J10_PNEUMOBACT,Bacterial pneumoniae,METSIM_C2029_azelate_C9_DC,MR Egger,6.64384434934419,10,0.758585825197184
C2029,J10_PNEUMOBACT,Bacterial pneumoniae,METSIM_C2029_azelate_C9_DC,Inverse variance weighted,7.14676151212677,11,0.787076925749054
C376,J10_PNEUMOBACT,Bacterial pneumoniae,METSIM_C376_isoleucine,MR Egger,28.4184720993913,22,0.162223964932913
C376,J10_PNEUMOBACT,Bacterial pneumoniae,METSIM_C376_isoleucine,Inverse variance weighted,28.5668537600627,23,0.195102195350137
C504,J10_PNEUMOBACT,Bacterial pneumoniae,METSIM_C504_serotonin,MR Egger,11.7433445681552,17,0.815423330728699
C504,J10_PNEUMOBACT,Bacterial pneumoniae,METSIM_C504_serotonin,Inverse variance weighted,11.944065763979,18,0.850111812995983
