id.exposure,id.outcome,exposure,outcome,I2,H2,QE,QEp
3C1lPZ,J10_PNEUMOBACT,g_Coprococcus2,Bacterial pneumoniae,24.8293795376958,1.33030696547392,13.3030696547392,0.20721700972468
bbcEp8,J10_PNEUMOBACT,g_Butyrivibrio,Bacterial pneumoniae,0,0.733929429049205,11.0089414357381,0.751960269630289
BCwVGo,J10_PNEUMOBACT,g_Subdoligranulum,Bacterial pneumoniae,13.1479963253101,1.15138391480934,13.8166069777121,0.312572489167436
Bt0ck0,J10_PNEUMOBACT,g_Roseburia,Bacterial pneumoniae,15.9354298909185,1.18956178411715,19.0329885458743,0.266956209117496
El0EYI,J10_PNEUMOBACT,p_Firmicutes,Bacterial pneumoniae,10.793511971787,1.12099469680247,19.056909845642,0.325275389208642
GCST90011328,J10_PNEUMOBACT,G_Clostridium_XlVa abundance,Bacterial pneumoniae,0,0.571962863866123,3.43177718319674,0.753023209724628
GCST90011329,J10_PNEUMOBACT,G_Coprococcus abundance,Bacterial pneumoniae,0,0.685890490566315,8.91657637736209,0.779214552045679
GCST90011336,J10_PNEUMOBACT,G_Paraprevotella abundance,Bacterial pneumoniae,48.3334234365397,1.93548724632787,27.0968214485902,0.0187030614172059
GCST90011342,J10_PNEUMOBACT,G_Roseburia abundance,Bacterial pneumoniae,11.7929711808416,1.13369650172686,12.4706615189954,0.32932388464222
GCST90011346,J10_PNEUMOBACT,G_Subdoligranulum abundance,Bacterial pneumoniae,8.85046006013011,1.09709824170225,10.9709824170225,0.359783213148293
GCST90011481,J10_PNEUMOBACT,P_Actinobacteria abundance,Bacterial pneumoniae,0,0.554088869104866,8.31133303657299,0.91069520180763
GCST90011483,J10_PNEUMOBACT,P_Firmicutes abundance,Bacterial pneumoniae,0,0.760216880505248,5.32151816353674,0.620790077138963
GCST90032323,J10_PNEUMOBACT,Clostridium I abundance in stool,Bacterial pneumoniae,0,0.433613426918023,5.20336112301628,0.950839164730407
GCST90032326,J10_PNEUMOBACT,Clostridium P abundance in stool,Bacterial pneumoniae,0,0.955566256170824,21.978023891929,0.521578827921485
GCST90032396,J10_PNEUMOBACT,Firmicutes A abundance in stool,Bacterial pneumoniae,0,0.787823297545056,14.180819355811,0.717230066122325
GCST90032397,J10_PNEUMOBACT,Firmicutes E abundance in stool,Bacterial pneumoniae,0,0.961414956028979,18.2668841645506,0.504682157311139
GCST90032398,J10_PNEUMOBACT,Firmicutes I abundance in stool,Bacterial pneumoniae,0,0.449585297216997,9.89087653877393,0.987267392007538
gD4onr,J10_PNEUMOBACT,g_Coprococcus3,Bacterial pneumoniae,39.0222277200102,1.6399418388201,14.7594765493809,0.0977581764994383
hECb1U,J10_PNEUMOBACT,g_Clostridiumsensustricto1,Bacterial pneumoniae,0,0.840518205225266,6.72414564180213,0.566666593287154
L9wcrw,J10_PNEUMOBACT,g_Anaerostipes,Bacterial pneumoniae,0,0.809441518194178,11.3321812547185,0.659765956001236
mLW8Jk,J10_PNEUMOBACT,g_Coprococcus1,Bacterial pneumoniae,0,0.984791691742113,12.8022919926475,0.463196679027976
MqunR6,J10_PNEUMOBACT,g_Paraprevotella,Bacterial pneumoniae,0,0.614697818216547,7.37637381859856,0.831772506740127
NINZE8,J10_PNEUMOBACT,g_Escherichia_Shigella,Bacterial pneumoniae,0,0.303874788308069,4.25424703631296,0.993732166223109
Oykj5Q,J10_PNEUMOBACT,g_Eisenbergiella,Bacterial pneumoniae,57.7103079160757,2.36464242401077,26.0110666641185,0.00646535534330839
PuRhZ5,J10_PNEUMOBACT,p_Actinobacteria,Bacterial pneumoniae,12.4501692464946,1.1422066626439,18.2753066023024,0.308023888729574
QvK04c,J10_PNEUMOBACT,g_Lachnoclostridium,Bacterial pneumoniae,41.4585982876924,1.70819278450889,22.2065061986155,0.0522435523196471
Ss8cmW,J10_PNEUMOBACT,g_Clostridiuminnocuumgroup,Bacterial pneumoniae,45.6593718751613,1.84024372648521,18.4024372648521,0.0485428414842625
Wc2kVO,J10_PNEUMOBACT,g_Dorea,Bacterial pneumoniae,43.5967829260376,1.77294851584207,21.2753821901049,0.0464904390422096
