id.exposure,id.outcome,outcome,exposure,egger_intercept,se,pval
3C1lPZ,J10_PNEUMOBACT,Bacterial pneumoniae,g_Coprococcus2,-0.0258574506025359,0.0200288076575604,0.228872653561511
bbcEp8,J10_PNEUMOBACT,Bacterial pneumoniae,g_Butyrivibrio,0.0113820820991442,0.0135502274194011,0.415028044677016
BCwVGo,J10_PNEUMOBACT,Bacterial pneumoniae,g_Subdoligranulum,-0.00740104541689337,0.0113529152245764,0.527847434743749
Bt0ck0,J10_PNEUMOBACT,Bacterial pneumoniae,g_Roseburia,0.0146011634877143,0.010897404385996,0.200231855546138
El0EYI,J10_PNEUMOBACT,Bacterial pneumoniae,p_Firmicutes,-0.0046574249079292,0.00965623598925071,0.636108537859904
GCST90011328,J10_PNEUMOBACT,Bacterial pneumoniae,G_Clostridium_XlVa abundance,0.0166185646938223,0.0191597054813731,0.425399913068102
GCST90011329,J10_PNEUMOBACT,Bacterial pneumoniae,G_Coprococcus abundance,-0.013814040115362,0.0194676372701754,0.491516847156898
GCST90011336,J10_PNEUMOBACT,Bacterial pneumoniae,G_Paraprevotella abundance,0.00380876619570796,0.0127502741711461,0.769874972159268
GCST90011342,J10_PNEUMOBACT,Bacterial pneumoniae,G_Roseburia abundance,0.000210773707120267,0.010014493958489,0.983622306423197
GCST90011346,J10_PNEUMOBACT,Bacterial pneumoniae,G_Subdoligranulum abundance,-0.00292321780989029,0.0129589484457515,0.826570849328712
GCST90011481,J10_PNEUMOBACT,Bacterial pneumoniae,P_Actinobacteria abundance,-0.000297508095156987,0.00897466820868239,0.974023147469033
GCST90011483,J10_PNEUMOBACT,Bacterial pneumoniae,P_Firmicutes abundance,0.00826170220617675,0.00969604404036928,0.426871229534587
GCST90032323,J10_PNEUMOBACT,Bacterial pneumoniae,Clostridium I abundance in stool,0.00500063772390132,0.00908377336351116,0.592978305005713
GCST90032326,J10_PNEUMOBACT,Bacterial pneumoniae,Clostridium P abundance in stool,-0.000400606498810994,0.0071197719120955,0.955637195886095
GCST90032396,J10_PNEUMOBACT,Bacterial pneumoniae,Firmicutes A abundance in stool,0.00135716940540804,0.00917682106040161,0.884168730134791
GCST90032397,J10_PNEUMOBACT,Bacterial pneumoniae,Firmicutes E abundance in stool,-0.00275466989108492,0.00851301502971263,0.749982803658543
GCST90032398,J10_PNEUMOBACT,Bacterial pneumoniae,Firmicutes I abundance in stool,0.00674016133741397,0.00955158945034472,0.488155235629413
gD4onr,J10_PNEUMOBACT,Bacterial pneumoniae,g_Coprococcus3,0.0474085038694848,0.0243856519134774,0.0877866872676227
hECb1U,J10_PNEUMOBACT,Bacterial pneumoniae,g_Clostridiumsensustricto1,-0.010281141117561,0.0132060445921986,0.461764186632311
L9wcrw,J10_PNEUMOBACT,Bacterial pneumoniae,g_Anaerostipes,0.00301894489837966,0.0102443441265744,0.772881104102414
mLW8Jk,J10_PNEUMOBACT,Bacterial pneumoniae,g_Coprococcus1,-0.00569972769598008,0.00898300256629164,0.537662645815424
MqunR6,J10_PNEUMOBACT,Bacterial pneumoniae,g_Paraprevotella,-0.0153578974255166,0.0132118314112896,0.269658206994969
NINZE8,J10_PNEUMOBACT,Bacterial pneumoniae,g_Escherichia_Shigella,-0.0125981238531079,0.0110554982577007,0.275042200036782
Oykj5Q,J10_PNEUMOBACT,Bacterial pneumoniae,g_Eisenbergiella,0.0694264556742954,0.034205478730318,0.0698409816859682
PuRhZ5,J10_PNEUMOBACT,Bacterial pneumoniae,p_Actinobacteria,0.00251383810992951,0.0143307406681629,0.863098966786348
QvK04c,J10_PNEUMOBACT,Bacterial pneumoniae,g_Lachnoclostridium,-0.00159773746516558,0.0167432615060184,0.92555173328038
Ss8cmW,J10_PNEUMOBACT,Bacterial pneumoniae,g_Clostridiuminnocuumgroup,0.0147462358523104,0.0264037319839986,0.590131530183576
Wc2kVO,J10_PNEUMOBACT,Bacterial pneumoniae,g_Dorea,0.0079663123152304,0.0134361375011988,0.565236910732382
