id.exposure,id.outcome,exposure,outcome,snp_r2.exposure,snp_r2.outcome,correct_causal_direction,steiger_pval
3C1lPZ,J10_PNEUMOBACT,g_Coprococcus2,Bacterial pneumoniae,0.0202715228638554,0.000103032658333479,TRUE,2.22365925859723e-44
bbcEp8,J10_PNEUMOBACT,g_Butyrivibrio,Bacterial pneumoniae,0.101465686546715,9.15815177580306e-05,TRUE,1.15466410921489e-77
BCwVGo,J10_PNEUMOBACT,g_Subdoligranulum,Bacterial pneumoniae,0.0211661540108401,0.000121506864487902,TRUE,8.74187021500527e-61
Bt0ck0,J10_PNEUMOBACT,g_Roseburia,Bacterial pneumoniae,0.0242978394992522,0.000147322414394049,TRUE,2.67462345391091e-73
El0EYI,J10_PNEUMOBACT,p_Firmicutes,Bacterial pneumoniae,0.0252157948783159,0.000147415090477985,TRUE,6.03574623751962e-79
GCST90011328,J10_PNEUMOBACT,G_Clostridium_XlVa abundance,Bacterial pneumoniae,0.0166804006535222,3.3237517785746e-05,TRUE,3.07107584427913e-31
GCST90011329,J10_PNEUMOBACT,G_Coprococcus abundance,Bacterial pneumoniae,0.0330812629445377,6.84569448139558e-05,TRUE,7.9974443451697e-61
GCST90011336,J10_PNEUMOBACT,G_Paraprevotella abundance,Bacterial pneumoniae,0.0372218667192006,0.0002084791785728,TRUE,1.99872865063925e-64
GCST90011342,J10_PNEUMOBACT,G_Roseburia abundance,Bacterial pneumoniae,0.0276142457810757,9.65894714240696e-05,TRUE,1.69743833378794e-49
GCST90011346,J10_PNEUMOBACT,G_Subdoligranulum abundance,Bacterial pneumoniae,0.0255463169579071,9.80791205038711e-05,TRUE,1.35296417018374e-45
GCST90011481,J10_PNEUMOBACT,P_Actinobacteria abundance,Bacterial pneumoniae,0.0383630136394037,6.39018669900947e-05,TRUE,3.63190841586805e-71
GCST90011483,J10_PNEUMOBACT,P_Firmicutes abundance,Bacterial pneumoniae,0.0186533371289291,4.84627466348155e-05,TRUE,2.40088449746144e-34
GCST90032323,J10_PNEUMOBACT,Clostridium I abundance in stool,Bacterial pneumoniae,0.0455408113603855,4.53690390343314e-05,TRUE,2.66311068130874e-58
GCST90032326,J10_PNEUMOBACT,Clostridium P abundance in stool,Bacterial pneumoniae,0.0859895314314171,0.000171344993453889,TRUE,9.44880256879563e-109
GCST90032396,J10_PNEUMOBACT,Firmicutes A abundance in stool,Bacterial pneumoniae,0.0709156568552624,0.00015388765265091,TRUE,1.0809158169043e-88
GCST90032397,J10_PNEUMOBACT,Firmicutes E abundance in stool,Bacterial pneumoniae,0.0732722581015953,0.000143467478926805,TRUE,3.66110695101487e-92
GCST90032398,J10_PNEUMOBACT,Firmicutes I abundance in stool,Bacterial pneumoniae,0.0837215712678941,9.83006269170705e-05,TRUE,5.89859176378619e-108
gD4onr,J10_PNEUMOBACT,g_Coprococcus3,Bacterial pneumoniae,0.0143174641971334,0.000132953921067646,TRUE,1.40283425200779e-39
hECb1U,J10_PNEUMOBACT,g_Clostridiumsensustricto1,Bacterial pneumoniae,0.0198514981886971,5.22841420261576e-05,TRUE,1.51139218377157e-44
L9wcrw,J10_PNEUMOBACT,g_Anaerostipes,Bacterial pneumoniae,0.0250997950379914,8.8452916807114e-05,TRUE,9.74936366041881e-74
mLW8Jk,J10_PNEUMOBACT,g_Coprococcus1,Bacterial pneumoniae,0.0235145629381021,9.91791784540144e-05,TRUE,9.34817950178843e-68
MqunR6,J10_PNEUMOBACT,g_Paraprevotella,Bacterial pneumoniae,0.0447626180560801,5.82131120063235e-05,TRUE,1.1660444287157e-63
NINZE8,J10_PNEUMOBACT,g_Escherichia_Shigella,Bacterial pneumoniae,0.0294402294684572,3.29224396387602e-05,TRUE,2.37880439400514e-67
Oykj5Q,J10_PNEUMOBACT,g_Eisenbergiella,Bacterial pneumoniae,0.0456139136019111,0.000201538974465651,TRUE,4.49082479923246e-51
PuRhZ5,J10_PNEUMOBACT,p_Actinobacteria,Bacterial pneumoniae,0.0232400646857301,0.000140744658475441,TRUE,1.99384998151843e-75
QvK04c,J10_PNEUMOBACT,g_Lachnoclostridium,Bacterial pneumoniae,0.0173816730128645,0.000171617555454551,TRUE,9.41397906465531e-53
Ss8cmW,J10_PNEUMOBACT,g_Clostridiuminnocuumgroup,Bacterial pneumoniae,0.0564794855389115,0.000145376162532234,TRUE,4.00334361198748e-48
Wc2kVO,J10_PNEUMOBACT,g_Dorea,Bacterial pneumoniae,0.0204747732820036,0.000168842967529145,TRUE,9.26840572734693e-57
