id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval
3C1lPZ,J10_PNEUMOBACT,Bacterial pneumoniae,g_Coprococcus2,Weighted median,11,-0.0165521691825209,0.0705299665391156,0.814454947899112
bbcEp8,J10_PNEUMOBACT,Bacterial pneumoniae,g_Butyrivibrio,Weighted median,16,-0.0213516700179938,0.0306639239860566,0.486233219218192
BCwVGo,J10_PNEUMOBACT,Bacterial pneumoniae,g_Subdoligranulum,Weighted median,13,0.0926105650775448,0.0747123718004193,0.215137700461361
Bt0ck0,J10_PNEUMOBACT,Bacterial pneumoniae,g_Roseburia,Weighted median,17,0.0180516702226919,0.069513900207139,0.795107285121463
El0EYI,J10_PNEUMOBACT,Bacterial pneumoniae,p_Firmicutes,Weighted median,18,0.0354375259692109,0.0658268208127713,0.590339035214844
GCST90011328,J10_PNEUMOBACT,Bacterial pneumoniae,G_Clostridium_XlVa abundance,Weighted median,7,-0.046084060767484,0.0619528782593056,0.456963200848838
GCST90011329,J10_PNEUMOBACT,Bacterial pneumoniae,G_Coprococcus abundance,Weighted median,14,0.0265644882863276,0.0409087184052215,0.516105666351341
GCST90011336,J10_PNEUMOBACT,Bacterial pneumoniae,G_Paraprevotella abundance,Weighted median,15,-0.01764266683304,0.0264630075252045,0.50496909700713
GCST90011342,J10_PNEUMOBACT,Bacterial pneumoniae,G_Roseburia abundance,Weighted median,12,0.0045729807556319,0.0524957412483427,0.930582914864494
GCST90011346,J10_PNEUMOBACT,Bacterial pneumoniae,G_Subdoligranulum abundance,Weighted median,11,0.0559867914487758,0.0616824279454445,0.364056864789502
GCST90011481,J10_PNEUMOBACT,Bacterial pneumoniae,P_Actinobacteria abundance,Weighted median,16,0.0195812917640609,0.0386626546266489,0.612530065406366
GCST90011483,J10_PNEUMOBACT,Bacterial pneumoniae,P_Firmicutes abundance,Weighted median,8,0.0219122037324067,0.0593761121517576,0.712097366509898
GCST90032323,J10_PNEUMOBACT,Bacterial pneumoniae,Clostridium I abundance in stool,Weighted median,13,0.124903535754701,0.146033125633899,0.392379768711663
GCST90032326,J10_PNEUMOBACT,Bacterial pneumoniae,Clostridium P abundance in stool,Weighted median,24,-0.0506215963246024,0.0893486330420852,0.571011371927584
GCST90032396,J10_PNEUMOBACT,Bacterial pneumoniae,Firmicutes A abundance in stool,Weighted median,19,-0.389590925238119,0.211905943268827,0.0659874776167572
GCST90032397,J10_PNEUMOBACT,Bacterial pneumoniae,Firmicutes E abundance in stool,Weighted median,20,-0.0052034471423129,0.218701292770528,0.981018134766926
GCST90032398,J10_PNEUMOBACT,Bacterial pneumoniae,Firmicutes I abundance in stool,Weighted median,23,-0.77056505281373,0.441369180737944,0.0808367567553823
gD4onr,J10_PNEUMOBACT,Bacterial pneumoniae,g_Coprococcus3,Weighted median,10,0.117235115231419,0.0890771880884756,0.188138115076713
hECb1U,J10_PNEUMOBACT,Bacterial pneumoniae,g_Clostridiumsensustricto1,Weighted median,9,-0.00452649309165491,0.0695536720540448,0.948110989881556
L9wcrw,J10_PNEUMOBACT,Bacterial pneumoniae,g_Anaerostipes,Weighted median,15,0.0141557151398048,0.0717760970382212,0.843655017391342
mLW8Jk,J10_PNEUMOBACT,Bacterial pneumoniae,g_Coprococcus1,Weighted median,14,-0.00972123148926139,0.0702992067412374,0.89001624015212
MqunR6,J10_PNEUMOBACT,Bacterial pneumoniae,g_Paraprevotella,Weighted median,13,-0.00792709387466139,0.0441041432082714,0.857359979432806
NINZE8,J10_PNEUMOBACT,Bacterial pneumoniae,g_Escherichia_Shigella,Weighted median,15,0.00669616655912137,0.0554163498426215,0.903822700221373
Oykj5Q,J10_PNEUMOBACT,Bacterial pneumoniae,g_Eisenbergiella,Weighted median,12,-0.0179846080652681,0.0474975715835976,0.704953219711001
PuRhZ5,J10_PNEUMOBACT,Bacterial pneumoniae,p_Actinobacteria,Weighted median,17,0.0040336145847976,0.0689524827312991,0.953351582994178
QvK04c,J10_PNEUMOBACT,Bacterial pneumoniae,g_Lachnoclostridium,Weighted median,14,0.0180860767717055,0.0808427272458912,0.822975742515184
Ss8cmW,J10_PNEUMOBACT,Bacterial pneumoniae,g_Clostridiuminnocuumgroup,Weighted median,11,0.00850724400669303,0.0436531366577026,0.845484726428762
Wc2kVO,J10_PNEUMOBACT,Bacterial pneumoniae,g_Dorea,Weighted median,13,-0.038177134832839,0.0748970533245554,0.610241943646874
