id.exposure,id.outcome,outcome,exposure,method,Q,Q_df,Q_pval
0perSf,J10_PNEUMOBACT,Bacterial pneumoniae,g_Roseburia,MR Egger,17.116891890024,15,0.311924770622487
0perSf,J10_PNEUMOBACT,Bacterial pneumoniae,g_Roseburia,Inverse variance weighted,18.9990064222457,16,0.268714709082338
0uansG,J10_PNEUMOBACT,Bacterial pneumoniae,g_Butyrivibrio,MR Egger,10.7052983485009,14,0.709016306961808
0uansG,J10_PNEUMOBACT,Bacterial pneumoniae,g_Butyrivibrio,Inverse variance weighted,11.1536755118729,15,0.741626422846501
19r4CB,J10_PNEUMOBACT,Bacterial pneumoniae,p_Firmicutes,MR Egger,21.4624624913523,16,0.161411166144952
19r4CB,J10_PNEUMOBACT,Bacterial pneumoniae,p_Firmicutes,Inverse variance weighted,21.9103156894709,17,0.188192725769901
2v0Q66,J10_PNEUMOBACT,Bacterial pneumoniae,g_Anaerostipes,MR Egger,10.4876280319544,12,0.573261871051835
2v0Q66,J10_PNEUMOBACT,Bacterial pneumoniae,g_Anaerostipes,Inverse variance weighted,10.5976904530241,13,0.644479923574262
7Pe0PR,J10_PNEUMOBACT,Bacterial pneumoniae,g_Coprococcus3,MR Egger,8.52896313871408,8,0.383574304836825
7Pe0PR,J10_PNEUMOBACT,Bacterial pneumoniae,g_Coprococcus3,Inverse variance weighted,14.26085796796,9,0.113343876126521
CHDghv,J10_PNEUMOBACT,Bacterial pneumoniae,g_Ruminiclostridium6,MR Egger,15.232570352342,15,0.434798134169952
CHDghv,J10_PNEUMOBACT,Bacterial pneumoniae,g_Ruminiclostridium6,Inverse variance weighted,16.1342491444653,16,0.443631083550036
Cnza8c,J10_PNEUMOBACT,Bacterial pneumoniae,g_Subdoligranulum,MR Egger,13.4887842440594,11,0.262581689470357
Cnza8c,J10_PNEUMOBACT,Bacterial pneumoniae,g_Subdoligranulum,Inverse variance weighted,13.7785270675785,12,0.315074236546783
dEyO43,J10_PNEUMOBACT,Bacterial pneumoniae,g_Erysipelatoclostridium,MR Egger,24.1642713362553,14,0.0437718734554894
dEyO43,J10_PNEUMOBACT,Bacterial pneumoniae,g_Erysipelatoclostridium,Inverse variance weighted,25.0787622917049,15,0.0488956135906077
DqHONl,J10_PNEUMOBACT,Bacterial pneumoniae,g_Paraprevotella,MR Egger,5.21070321893482,11,0.920534240970457
DqHONl,J10_PNEUMOBACT,Bacterial pneumoniae,g_Paraprevotella,Inverse variance weighted,5.74538271649544,12,0.928369136004124
feuRup,J10_PNEUMOBACT,Bacterial pneumoniae,g_Clostridiumsensustricto1,MR Egger,4.33646087284541,7,0.740310003936867
feuRup,J10_PNEUMOBACT,Bacterial pneumoniae,g_Clostridiumsensustricto1,Inverse variance weighted,4.6487647222349,8,0.794371756908228
GCST90011328,J10_PNEUMOBACT,Bacterial pneumoniae,G_Clostridium_XlVa abundance,MR Egger,4.47919448586284,5,0.482671961658174
GCST90011328,J10_PNEUMOBACT,Bacterial pneumoniae,G_Clostridium_XlVa abundance,Inverse variance weighted,5.73099272122982,6,0.453988909827272
GCST90011329,J10_PNEUMOBACT,Bacterial pneumoniae,G_Coprococcus abundance,MR Egger,6.59386971270943,12,0.883245217295153
GCST90011329,J10_PNEUMOBACT,Bacterial pneumoniae,G_Coprococcus abundance,Inverse variance weighted,6.77695719323885,13,0.913276912556651
GCST90011336,J10_PNEUMOBACT,Bacterial pneumoniae,G_Paraprevotella abundance,MR Egger,27.896734622242,12,0.00572770135871303
GCST90011336,J10_PNEUMOBACT,Bacterial pneumoniae,G_Paraprevotella abundance,Inverse variance weighted,27.9022299940348,13,0.00933823016742526
GCST90011342,J10_PNEUMOBACT,Bacterial pneumoniae,G_Roseburia abundance,MR Egger,9.39558612804787,9,0.401587818072286
GCST90011342,J10_PNEUMOBACT,Bacterial pneumoniae,G_Roseburia abundance,Inverse variance weighted,9.423729265013,10,0.492416663100387
GCST90011346,J10_PNEUMOBACT,Bacterial pneumoniae,G_Subdoligranulum abundance,MR Egger,10.708737640967,9,0.29620298127691
GCST90011346,J10_PNEUMOBACT,Bacterial pneumoniae,G_Subdoligranulum abundance,Inverse variance weighted,11.3224870279062,10,0.332951381117884
GCST90011483,J10_PNEUMOBACT,Bacterial pneumoniae,P_Firmicutes abundance,MR Egger,2.97770366861084,6,0.811640014339236
GCST90011483,J10_PNEUMOBACT,Bacterial pneumoniae,P_Firmicutes abundance,Inverse variance weighted,3.32367930160823,7,0.853533095817481
GCST90032323,J10_PNEUMOBACT,Bacterial pneumoniae,Clostridium I abundance in stool,MR Egger,5.310148347314,10,0.869520516126483
GCST90032323,J10_PNEUMOBACT,Bacterial pneumoniae,Clostridium I abundance in stool,Inverse variance weighted,5.31655495030691,11,0.914872238541505
GCST90032326,J10_PNEUMOBACT,Bacterial pneumoniae,Clostridium P abundance in stool,MR Egger,22.6836998202913,22,0.419770037281476
GCST90032326,J10_PNEUMOBACT,Bacterial pneumoniae,Clostridium P abundance in stool,Inverse variance weighted,22.684858884493,23,0.479294452690164
GCST90032396,J10_PNEUMOBACT,Bacterial pneumoniae,Firmicutes A abundance in stool,MR Egger,14.8355548107395,17,0.607325210419754
GCST90032396,J10_PNEUMOBACT,Bacterial pneumoniae,Firmicutes A abundance in stool,Inverse variance weighted,14.8812577192968,18,0.670103677883182
GCST90032397,J10_PNEUMOBACT,Bacterial pneumoniae,Firmicutes E abundance in stool,MR Egger,18.8502223978325,18,0.401100782199937
GCST90032397,J10_PNEUMOBACT,Bacterial pneumoniae,Firmicutes E abundance in stool,Inverse variance weighted,18.9045681658109,19,0.462973447297
GCST90032398,J10_PNEUMOBACT,Bacterial pneumoniae,Firmicutes I abundance in stool,MR Egger,9.21766815049199,21,0.987395450008445
GCST90032398,J10_PNEUMOBACT,Bacterial pneumoniae,Firmicutes I abundance in stool,Inverse variance weighted,9.78315105778567,22,0.988166500685622
IaV7ha,J10_PNEUMOBACT,Bacterial pneumoniae,g_Clostridiuminnocuumgroup,MR Egger,19.8558516547856,9,0.0188231350814397
IaV7ha,J10_PNEUMOBACT,Bacterial pneumoniae,g_Clostridiuminnocuumgroup,Inverse variance weighted,20.4967798253809,10,0.0248890619104798
