id.exposure,id.outcome,exposure,outcome,I2,H2,QE,QEp
0perSf,J10_PNEUMOBACT,g_Roseburia,Bacterial pneumoniae,15.7850697851976,1.18743790139035,18.9990064222457,0.268714709082338
0uansG,J10_PNEUMOBACT,g_Butyrivibrio,Bacterial pneumoniae,0,0.743578367458193,11.1536755118729,0.7416264228465
19r4CB,J10_PNEUMOBACT,p_Firmicutes,Bacterial pneumoniae,22.4109764508348,1.28884209938064,21.9103156894709,0.188192725769901
2v0Q66,J10_PNEUMOBACT,g_Anaerostipes,Bacterial pneumoniae,0,0.815206957924932,10.5976904530241,0.644479923574262
7Pe0PR,J10_PNEUMOBACT,g_Coprococcus3,Bacterial pneumoniae,36.8901925801352,1.58453977421778,14.26085796796,0.113343876126521
CHDghv,J10_PNEUMOBACT,g_Ruminiclostridium6,Bacterial pneumoniae,0.832075563376066,1.00839057152908,16.1342491444653,0.443631083550036
Cnza8c,J10_PNEUMOBACT,g_Subdoligranulum,Bacterial pneumoniae,12.9079622143609,1.14821058896488,13.7785270675785,0.315074236546783
dEyO43,J10_PNEUMOBACT,g_Erysipelatoclostridium,Bacterial pneumoniae,40.188435834565,1.67191748611366,25.0787622917049,0.0488956135906078
DqHONl,J10_PNEUMOBACT,g_Paraprevotella,Bacterial pneumoniae,0,0.478781893041287,5.74538271649545,0.928369136004124
feuRup,J10_PNEUMOBACT,g_Clostridiumsensustricto1,Bacterial pneumoniae,0,0.581095590279363,4.6487647222349,0.794371756908228
GCST90011328,J10_PNEUMOBACT,G_Clostridium_XlVa abundance,Bacterial pneumoniae,0,0.955165453538304,5.73099272122982,0.453988909827272
GCST90011329,J10_PNEUMOBACT,G_Coprococcus abundance,Bacterial pneumoniae,0,0.521304399479911,6.77695719323885,0.913276912556651
GCST90011336,J10_PNEUMOBACT,G_Paraprevotella abundance,Bacterial pneumoniae,53.4087418719605,2.14632538415652,27.9022299940348,0.00933823016742529
GCST90011342,J10_PNEUMOBACT,G_Roseburia abundance,Bacterial pneumoniae,0,0.9423729265013,9.423729265013,0.492416663100387
GCST90011346,J10_PNEUMOBACT,G_Subdoligranulum abundance,Bacterial pneumoniae,11.6801814358164,1.13224870279062,11.3224870279062,0.332951381117884
GCST90011483,J10_PNEUMOBACT,P_Firmicutes abundance,Bacterial pneumoniae,0,0.474811328801175,3.32367930160823,0.853533095817481
GCST90032323,J10_PNEUMOBACT,Clostridium I abundance in stool,Bacterial pneumoniae,0,0.483323177300628,5.31655495030691,0.914872238541505
GCST90032326,J10_PNEUMOBACT,Clostridium P abundance in stool,Bacterial pneumoniae,0,0.986298212369261,22.684858884493,0.479294452690164
GCST90032396,J10_PNEUMOBACT,Firmicutes A abundance in stool,Bacterial pneumoniae,0,0.826736539960933,14.8812577192968,0.670103677883182
GCST90032397,J10_PNEUMOBACT,Firmicutes E abundance in stool,Bacterial pneumoniae,0,0.994977271884782,18.9045681658109,0.462973447297
GCST90032398,J10_PNEUMOBACT,Firmicutes I abundance in stool,Bacterial pneumoniae,0,0.444688684444803,9.78315105778567,0.988166500685622
IaV7ha,J10_PNEUMOBACT,g_Clostridiuminnocuumgroup,Bacterial pneumoniae,51.2118484698893,2.04967798253809,20.4967798253809,0.0248890619104798
Pf9yo3,J10_PNEUMOBACT,g_Eisenbergiella,Bacterial pneumoniae,55.1171237951738,2.22802120665447,24.5082332731992,0.0107526444974011
tYBQdJ,J10_PNEUMOBACT,g_Coprococcus2,Bacterial pneumoniae,32.3630950416988,1.47848279074347,14.7848279074347,0.140105786062939
vEZ3Ql,J10_PNEUMOBACT,g_Lachnoclostridium,Bacterial pneumoniae,38.3452360847587,1.62193468354648,21.0851508861043,0.0712614280866414
YDZwuO,J10_PNEUMOBACT,g_Coprococcus1,Bacterial pneumoniae,14.8484655534395,1.17437695808944,15.2669004551627,0.290988387525628
YoyR09,J10_PNEUMOBACT,g_Dorea,Bacterial pneumoniae,43.5612541984596,1.77183242787919,21.2619891345503,0.0466731587935124
